benchmark_id,display_name,source_paper_url,source_repo,domain,modality,scoring_metric,license,onboarded
fig_qa,Fig-QA,https://arxiv.org/abs/2204.12632,https://github.com/nightingal3/Fig-QA,Literary and Narrative,text->text,exact_match,MIT,true
future_ideas,Future Ideas,https://arxiv.org/abs/2409.06185,https://github.com/sandeep82945/Future-Idea-Generation,Brainstorming,text->text,llm_judge_novelty|llm_judge_relevance|llm_judge_feasibility,MIT,true
futuregen,FutureGen,https://arxiv.org/abs/2503.16561,https://github.com/IbrahimAlAzhar/FutureWorkGeneration,Brainstorming,text->text,bleu_4|rouge_l|bert_score|jaccard_similarity|cosine_similarity,Unknown,true
grapheval_ai_researcher,GraphEval AI Researcher,https://arxiv.org/abs/2503.12600,https://github.com/ulab-uiuc/GraphEval,STEM,text->text,decision_accuracy|decision_parsed|score_parsed|precision_macro|recall_macro|f1_macro|spearman_correlation,MIT,true
grapheval_iclr,GraphEval ICLR,https://arxiv.org/abs/2503.12600,https://github.com/ulab-uiuc/GraphEval,STEM,text->text,decision_accuracy|decision_parsed|score_parsed|precision_macro|recall_macro|f1_macro|spearman_correlation,MIT,true
grapheval_review_advisor,GraphEval Review Advisor,https://arxiv.org/abs/2503.12600,https://github.com/ulab-uiuc/GraphEval,STEM,text->text,decision_accuracy|decision_parsed|score_parsed|precision_macro|recall_macro|f1_macro|spearman_correlation,MIT,true
historical_analogy,Historical Analogy,https://arxiv.org/abs/2409.14820,https://github.com/Nianqi-Li/Historical-Analogy-of-LLMs,Literary and Narrative,text->text,historical_analogy_pass_at_1|historical_analogy_parsed_event_rate,Unknown,true
hummus,HuMMuS (Humorous Multimodal Metaphor Use),https://arxiv.org/abs/2504.02983,https://github.com/xiaoyuisrain/humorous-multimodal-metaphor-use,Unassigned,image+text->text,classification_macro_f1|classification_micro_f1|llm_judge_quality,CC-BY-NC-SA-4.0,true
humor_transfer,Humor Transfer,https://arxiv.org/abs/2508.19402,https://github.com/morturr/HumorTransferLearning,Humor,text->text,accuracy|parsed_label_rate,Unknown,true
hypobench,HypoBench,https://arxiv.org/abs/2504.11524,https://github.com/ChicagoHAI/hypothesis-generation,STEM,text->text,hypobench_ind_accuracy|hypobench_ind_f1|hypobench_ind_parsed_label_rate|hypobench_ood_accuracy|hypobench_ood_f1|hypobench_ood_parsed_label_rate|hypobench_hypothesis_count|hypobench_parsed_hypothesis_rate,MIT,true
hypogen,HypoGen-DR1 bit-flip proxy,,https://huggingface.co/datasets/UniverseTBD/hypogen-dr1,STEM,text->text,llm_judge_novelty,Unknown,true
ii_bench,II-Bench,https://arxiv.org/abs/2406.05862,https://github.com/II-Bench/II-Bench,Unassigned,image+text->text,accuracy|errors_rate|miss_rate,Unknown,true
infochartqa,InfoChartQA,https://arxiv.org/abs/2505.19028,https://github.com/CoolDawnAnt/InfoChartQA,Unassigned,image+text->text,infochartqa_accuracy,Apache-2.0,true
irfl,IRFL (Idiomatic Recognition of Figurative Language),https://arxiv.org/abs/2303.15445,https://github.com/irfl-dataset/IRFL,Literary and Narrative,image+text->text,exact_match|classification_macro_f1|classification_micro_f1,Unknown,true
lcc_metaphor,LCC Metaphor,https://aclanthology.org/2022.acl-long.measurement,https://github.com/EhsanAghazadeh/Metaphors_in_PLMs,Literary and Narrative,text->text,exact_match|quasi_exact_match|f1_score,Unknown,true
liveideabench,LiveIdeaBench,https://arxiv.org/abs/2412.17596,https://github.com/x66ccff/liveideabench,Brainstorming,text->text,llm_judge_creativity,MIT,true
mars,MARS (Multimodal Analogy Reasoning),https://arxiv.org/abs/2210.00312,https://github.com/zjunlp/MKG_Analogy,Unassigned,image+text+graph->text,exact_match,MIT,true
meta4xnli,Meta4XNLI,https://arxiv.org/abs/2404.07053,https://github.com/elisanchez-beep/meta4xnli,Literary and Narrative,text->text,classification_macro_f1|classification_micro_f1|token_f1|token_accuracy|valid_label_sequence_rate,Apache-2.0,true
metaphor_generation,Metaphor Generation (MERMAID),https://aclanthology.org/2021.naacl-main.336,https://github.com/tuhinjubcse/MetaphorGenNAACL2021,Literary and Narrative,text->text,bleu_4|rouge_l|f1_score,Unknown,true
metaphoric_analogies,Metaphoric Analogies Extraction,https://arxiv.org/abs/2412.15375,https://github.com/Mionies/metaphoric-analogies-extraction,Problem Solving,text->text,exact_match|f1_score,Unknown,true
moh_x,MOH-X Metaphor Detection,https://aclanthology.org/S16-2003/,https://github.com/gao-g/metaphor-in-context,Literary and Narrative,text->text,exact_match|f1_score,Unknown,true
mops,MoPS (Modular Story Premise Synthesis),https://arxiv.org/abs/2406.05690,https://huggingface.co/datasets/ManTle/mops,STEM,text->text,fascination_score|completeness_score|originality_score|mops_quality_score|mops_valid_judge_rate|breadth_score|density_score,Unknown,true
munch,MUNCH (Metaphor Understanding Challenge),https://arxiv.org/abs/2403.11810,https://github.com/xiaoyuisrain/metaphor-understanding-challenge,Problem Solving,text->text,exact_match|quasi_exact_match,CC-BY-4.0,true
newyorker_humor,New Yorker Humor Understanding,https://arxiv.org/abs/2209.06293,https://huggingface.co/datasets/jmhessel/newyorker_caption_contest,Humor,text->text,accuracy|parsed_label_rate|accuracy_ny|accuracy_crowd,CC-BY-4.0,true
nyt_connections,NYT Connections,https://arxiv.org/abs/2412.01621,https://huggingface.co/datasets/tm21cy/NYT-Connections,Problem Solving,text->text,group_match_score,CC-BY-4.0,true
ocw,Only Connect Wall (OCW),https://arxiv.org/abs/2306.11167,https://github.com/TaatiTeam/OCW,Problem Solving,text->text,group_match_score,MIT,true
ocw_connections,Only Connect Wall - Connections Task,https://arxiv.org/abs/2306.11167,https://github.com/TaatiTeam/OCW,Problem Solving,text->text,exact_match|rouge_1|rouge_l|bert_score,MIT,true
outline_to_story,Outline to Story,https://arxiv.org/abs/2101.00822,https://github.com/fangleai/Outline2Story,Literary and Narrative,text->text,rouge_1|rouge_2|rouge_l|bleu_4|outline_event_recall|outline_paragraph_coverage,Unknown,true
permpst,PerMPST,https://arxiv.org/abs/2310.03304,https://github.com/facebookresearch/perse,Literary and Narrative,text->text,pearson_correlation|spearman_correlation|kendall_tau_correlation|score_accuracy|valid_score_json_rate,CC-BY-NC-4.0,true
poetmt,PoetMT,https://arxiv.org/abs/2408.09945,https://github.com/andongBlue/PoetMT,Literary and Narrative,text->text,bleu_1|bleu_4|llm_judge_beauty_of_sound|llm_judge_beauty_of_form|llm_judge_beauty_of_meaning,Unknown,true
pollux_creativity,POLLUX Creativity,https://arxiv.org/abs/2505.24616,https://huggingface.co/datasets/ai-forever/POLLUX,Literary and Narrative,text->text,llm_judge_creativity|llm_judge_originality,Apache-2.0,true
pron_vs_prompt,Pron vs Prompt,https://arxiv.org/abs/2407.01119,https://github.com/grmarco/pron-vs-prompt,Literary and Narrative,text->text,llm_judge_attractiveness|llm_judge_originality|llm_judge_creativity,Unknown,true
proparalogy,ProPara-Logy,https://arxiv.org/abs/2403.01139,https://github.com/orensul/ParallelPARC,Problem Solving,text->text,classification_macro_f1|classification_micro_f1,MIT,true
pun_eval,PunEval,https://arxiv.org/abs/2404.13599,https://github.com/Zhijun-Xu/PunEval,Humor,text->text,pun_detection_rate|pun_detection_parsed_rate|sentence_json_parsed_rate,Unknown,true
puntuguese,Puntuguese,https://aclanthology.org/2024.lrec-main.1167/,https://huggingface.co/datasets/Superar/Puntuguese,Humor,text->text,classification_macro_f1|classification_micro_f1,CC-BY-SA-4.0,true
puzzleworld,PuzzleWorld,https://arxiv.org/abs/2506.06211,https://github.com/MIT-MI/PuzzleWorld,Unassigned,image+text->text,puzzleworld_final_answer_accuracy|puzzleworld_answer_extracted_rate,Unknown,true
rebus_puzzle,Rebus Puzzle,https://arxiv.org/abs/2505.23759,https://github.com/Kyunnilee/visual_puzzles,Unassigned,image+text->text,rebus_answer_accuracy|rebus_answer_parse_rate|rebus_semantic_equivalence,Unknown,true
riddlesense,RiddleSense,https://aclanthology.org/2021.findings-acl.131/,https://github.com/INK-USC/RiddleSense,Problem Solving,text->text,classification_macro_f1|classification_micro_f1,MIT,true
rpgbench,RPGBENCH,https://arxiv.org/abs/2502.00595,https://github.com/boson-ai/rpgbench-public,Unassigned,text->other,json_validity|interestingness,Unknown,true
scar,SCAR (Scientific Analogical Reasoning),https://aclanthology.org/2023.findings-emnlp.160,https://github.com/siyuyuan/scar,Problem Solving,text->text,scar_concept_accuracy|scar_system_accuracy|scar_precision|scar_recall|scar_f1|scar_parsed_mapping_rate,Unknown,true
schnovel,SchNovel,https://arxiv.org/abs/2409.16605,https://huggingface.co/datasets/ethannlin/SchNovel,Literary and Narrative,text->text,classification_macro_f1|classification_micro_f1,MIT,true
science_analogies,Science Analogies (SAQA),https://arxiv.org/abs/2210.04186,https://github.com/Bhaavya/InstructGPT-Analogies,Problem Solving,text->text,science_analogies_bleu_4|science_analogies_rouge_l|science_analogies_meteor|science_analogies_avg_response_words,Unknown,true
scimon,SciMON,https://arxiv.org/abs/2305.14259,https://github.com/EagleW/Scientific-Inspiration-Machines-Optimized-for-Novelty,STEM,text->text,rouge_l|bleu_4|bert_score,Apache-2.0,true
sdat,S-DAT (Synthetic Divergent Association Task),https://arxiv.org/abs/2505.09068,,Brainstorming,text->text,sdat_score|sdat_raw_score|sdat_percentile_estimate|parsed_item_count|single_word_item_count,Unknown,true
showerthoughts,Showerthoughts Generation,https://aclanthology.org/2024.starsem-1.23/,https://github.com/aiintelligentsystems/showerthoughts-dataset,Humor,text->text,llm_judge_general_score|llm_judge_logical_validity|llm_judge_creativity|llm_judge_humor|llm_judge_cleverness|llm_judge_real_person_likelihood,Unknown,true
simile_generation,Simile Generation (SCOPE),https://aclanthology.org/2020.emnlp-main.524/,https://github.com/tuhinjubcse/SimileGeneration-EMNLP2020,Literary and Narrative,text->text,simile_generation_bleu_1|simile_generation_bleu_2|simile_generation_bert_score|simile_generation_vehicle_parsed_rate,Unknown,true
slang_generation,Slang Generation,https://arxiv.org/abs/2502.00000,https://github.com/siyangwu1/LLM-Slang-Dictionary,Literary and Narrative,text->text,llm_judge_creativity|llm_judge_relevance,Unknown,true
speak_to_structure,Speak-to-Structure (TOMG-Bench),https://arxiv.org/abs/2412.14642,https://huggingface.co/datasets/Duke-de-Artois/TOMG-Bench,STEM,text->text,validity|success_rate|similarity,Unknown,true
ss_gen,SS-GEN (Social Story Generation),https://arxiv.org/abs/2406.15695,https://github.com/MIMIFY/SS-GEN,Literary and Narrative,text->text,bleu_4|rouge_1|rouge_2|rouge_l|bert_score|llm_judge_coherence|llm_judge_descriptiveness|llm_judge_empathy|llm_judge_grammaticality|llm_judge_relevance,Unknown,true
story_generation_rocstories,Story Generation (ROCStories),https://arxiv.org/abs/2303.08991,https://github.com/ZhuohanX/DeltaScore,Literary and Narrative,text->text,bleu_4|rouge_l,Unknown,true
story_quality,Story Quality Rating (ScratchPlot),https://arxiv.org/abs/2206.03021,https://github.com/YipingNUS/scratchplot-story-generation,Literary and Narrative,text->text,spearman_correlation|pearson_correlation,Apache-2.0,true
thenextchapter,The Next Chapter,https://arxiv.org/abs/2301.09790,https://github.com/ZhuohanX/TheNextChapter,Literary and Narrative,text->text,bleu_4|rouge_1|rouge_2|rouge_l|meteor|bert_score|thenextchapter_fluency|thenextchapter_coherence|thenextchapter_relatedness|thenextchapter_logicality|thenextchapter_interestingness,Unknown,true
tinyfabulist,TinyFabulist,https://arxiv.org/abs/2504.20605,https://github.com/klusai/tinyfabulist,Literary and Narrative,text->text,grammar_score|creativity_score,MIT,true
tinystories,TinyStories,https://arxiv.org/abs/2305.07759,https://huggingface.co/datasets/roneneldan/TinyStories,Literary and Narrative,text->text,tinystories_grammar_score|tinystories_creativity_score|tinystories_consistency_score|tinystories_age_group_ordinal|tinystories_valid_judge_rate|tinystories_scored_completion_count,CDLA-Sharing-1.0,true
ttcw,TTCW (Torrance Test of Creative Writing),https://arxiv.org/abs/2510.05135,https://huggingface.co/datasets/Salesforce/ttcw_creativity_eval,Literary and Narrative,text->text,majority_accuracy|expert_vote_agreement|valid_binary_response,BSD-3-Clause,true
twistlist,TwistList,https://arxiv.org/abs/2306.03457,https://github.com/tangg555/TwistList,Literary and Narrative,text->text,exact_match|quasi_exact_match|f1_score|rouge_l|bleu_1|bleu_4|bert_score,MIT,true
unfun_corpus,Unfun Corpus,https://arxiv.org/abs/2403.00794,https://github.com/zacharyhorvitz/Getting-Serious-With-LLMs,Humor,text->text,edit_distance|lexical_diversity_ttr,Unknown,true
writingbench,WritingBench,https://arxiv.org/abs/2503.05244,https://github.com/X-PLUG/WritingBench,Literary and Narrative,text->text,writingbench_score|writingbench_valid_criteria_rate|writingbench_criteria_count,Apache-2.0,true
yesbut,YesBut,https://arxiv.org/abs/2409.13592,https://huggingface.co/datasets/bansalaman18/yesbut,Unassigned,image->text,rouge_l|bleu_4|meteor|bert_score,Apache-2.0,true
