cell,suite,dataset,model,category,instance_idx,completion_chars,format_valid,is_complete,is_on_task,is_garbled,quality_1_5,rationale
science_analogies:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,science_analogies,google/gemini-2.5-flash-lite,open_reference,2,54,True,True,True,False,3,Provides a clear analogy but is very brief; lacks elaboration or depth expected for a full explanation.
arastories:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,arastories,google/gemini-3.1-flash-lite-preview,open_judge,0,1006,True,True,True,False,4,"Creative, sad ending, dialogue, 2 characters, winter UAE setting, Egyptian dialect, clear for ages 3-5."
arastories:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,arastories,google/gemini-3.1-flash-lite-preview,open_judge,1,980,True,True,True,False,5,"Meets all criteria: 2 characters, dialogue, sadness, happy ending, Oman setting, summer, and unexpected twist."
arastories:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,arastories,google/gemini-3.1-flash-lite-preview,open_judge,2,740,True,True,True,False,4,"Creative, coherent story in Moroccan Arabic with 3 characters, hospital setting, happy ending, and Libyan location."
brainteaser:model=google_gemini-2.5-flash,modal_phase1c_n50_google,brainteaser,google/gemini-2.5-flash,mcq_accuracy,0,1,True,True,True,False,,"Single letter B, parseable, on-task, not cut off or garbled."
brainteaser:model=google_gemini-2.5-flash,modal_phase1c_n50_google,brainteaser,google/gemini-2.5-flash,mcq_accuracy,1,1,True,True,True,False,,"Single letter D, matches expected format, answers the question directly."
brainteaser:model=google_gemini-2.5-flash,modal_phase1c_n50_google,brainteaser,google/gemini-2.5-flash,mcq_accuracy,2,1,True,True,True,False,,"Single letter B, matches expected format, complete, on-task."
munch:model=google_gemini-2.5-flash,modal_phase1c_n50_google,munch,google/gemini-2.5-flash,mcq_accuracy,0,1,True,True,True,False,,Single letter C matches expected format; answer is complete and on-task.
munch:model=google_gemini-2.5-flash,modal_phase1c_n50_google,munch,google/gemini-2.5-flash,mcq_accuracy,1,1,True,True,True,False,,Single letter C matches expected format and answers the question.
munch:model=google_gemini-2.5-flash,modal_phase1c_n50_google,munch,google/gemini-2.5-flash,mcq_accuracy,2,1,True,True,True,False,,Single letter C matches expected format and answers the question.
pun_eval:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,pun_eval,google/gemini-3.1-flash-lite-preview,open_judge,0,58,True,True,False,False,2,Sentence uses 'bait' only once but fails to convey both meanings simultaneously; lacks pun punchline.
pun_eval:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,pun_eval,google/gemini-3.1-flash-lite-preview,open_judge,1,64,True,True,True,False,4,"Clever pun using 'remote' as both unlikely and a device; concise, follows format, no forbidden words."
pun_eval:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,pun_eval,google/gemini-3.1-flash-lite-preview,open_judge,2,74,True,True,True,False,4,"Clever pun using 'copse' to blend meanings of thicket and cop, with a punchline."
unfun_corpus:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,unfun_corpus,google/gemini-2.5-flash-lite,open_reference,0,34,True,True,True,False,4,"Response is a realistic headline edit, fluent, coherent, and matches the format of prior examples."
unfun_corpus:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,unfun_corpus,google/gemini-2.5-flash-lite,open_reference,1,68,True,True,True,False,3,"Response is a direct copy of the prompt headline without editing to make it realistic, which is off-task."
unfun_corpus:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,unfun_corpus,google/gemini-2.5-flash-lite,open_reference,2,44,True,True,True,False,4,"Response follows the pattern of making the headline realistic and fluent, with minor capitalization change."
schnovel:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,schnovel,google/gemini-3.1-flash-lite-preview,open_reference,0,9,True,True,True,False,5,"Correctly outputs '1' as requested, matching the instruction to state which paper is more novel."
schnovel:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,schnovel,google/gemini-3.1-flash-lite-preview,open_reference,1,1,True,True,True,False,5,"Correctly outputs '1' as requested, indicating Paper 1 is more novel. Concise and on-task."
schnovel:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,schnovel,google/gemini-3.1-flash-lite-preview,open_reference,2,1,True,True,True,False,5,"Correctly outputs 'A' (Paper 1) as more novel, matching the required format and engaging the prompt."
ss_gen:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,ss_gen,google/gemini-2.5-flash-lite,open_judge,0,965,True,True,True,False,4,"Clear, positive Social Story with sensory details and encouragement. Slightly short of word count but fully on-task."
ss_gen:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,ss_gen,google/gemini-2.5-flash-lite,open_judge,1,1165,True,True,True,False,4,"Clear, supportive social story with practical tips; slightly exceeds word count but fully on-task."
ss_gen:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,ss_gen,google/gemini-2.5-flash-lite,open_judge,2,1352,True,True,True,False,5,"Clear, supportive social story with actionable steps, positive tone, and appropriate length for target audience."
cpers:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,cpers,google/gemini-3.1-flash-lite-preview,open_judge,0,112,True,True,True,False,5,"Eloquent, poetic single sentence capturing despair with vivid imagery and emotional depth."
cpers:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,cpers,google/gemini-3.1-flash-lite-preview,open_judge,1,100,True,True,True,False,5,یک جمله ادبی زیبا و استعاری درباره ناامیدی، کامل و خلاقانه.
cpers:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,cpers,google/gemini-3.1-flash-lite-preview,open_judge,2,87,True,True,True,False,5,یک جمله ادبی زیبا، شاعرانه و کامل درباره دلتنگی نوشته است.
fig_qa:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,fig_qa,google/gemini-3.1-flash-lite-preview,mcq_accuracy,0,1,True,True,True,False,,"Single letter answer matches expected MCQ format, not cut off, directly answers the question."
fig_qa:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,fig_qa,google/gemini-3.1-flash-lite-preview,mcq_accuracy,1,1,True,True,True,False,,Single letter answer matches expected MCQ format and is not cut off.
fig_qa:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,fig_qa,google/gemini-3.1-flash-lite-preview,mcq_accuracy,2,22,True,True,True,False,,"Contains parseable answer B matching expected format, complete and on-task."
gauss:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,gauss,google/gemini-2.5-flash-lite,open_judge,0,3923,True,False,True,False,3,"Response is well-structured and on-task but truncated mid-sentence, lacking completion."
gauss:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,gauss,google/gemini-2.5-flash-lite,open_judge,1,2430,False,False,False,True,1,"Response is repetitive, nonsensical, truncated, and fails to solve the riddle correctly."
gauss:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,gauss,google/gemini-2.5-flash-lite,open_judge,2,1851,False,False,True,False,2,"Response is cut off mid-sentence, incomplete. Format not followed (no two solutions)."
mops:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,mops,google/gemini-3.1-flash-lite-preview,open_judge,0,231,True,True,True,False,5,"Concise, coherent single sentence capturing all elements including the twist."
mops:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,mops,google/gemini-3.1-flash-lite-preview,open_judge,1,307,True,True,True,False,5,"Concise, coherent sentence capturing all elements including the twist, with vivid language and creative flair."
mops:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,mops,google/gemini-3.1-flash-lite-preview,open_judge,2,266,True,True,True,False,5,"Concise, coherent single sentence capturing all elements: theme, event, ending, twist."
permpst:model=google_gemini-2.5-flash,modal_phase1c_n50_google,permpst,google/gemini-2.5-flash,open_reference,0,980,True,True,True,False,4,"Response matches JSON format, is complete, on-task, fluent, and coherent. Review style aligns with critic's tone and scoring pattern."
permpst:model=google_gemini-2.5-flash,modal_phase1c_n50_google,permpst,google/gemini-2.5-flash,open_reference,1,836,True,True,True,False,4,"Response matches JSON format, is complete, on-task, and coherent. It mimics the critic's style of mixed praise and criticism."
permpst:model=google_gemini-2.5-flash,modal_phase1c_n50_google,permpst,google/gemini-2.5-flash,open_reference,2,782,True,True,True,False,4,"Response matches the critic's style, summarizes plot accurately, and provides a coherent critique with a score."
crowdcounter:model=google_gemini-2.5-flash,modal_phase1c_n50_google,crowdcounter,google/gemini-2.5-flash,open_reference,0,218,False,True,False,False,1,"Response only introduces options but does not provide actual counterspeech, failing to engage the prompt."
crowdcounter:model=google_gemini-2.5-flash,modal_phase1c_n50_google,crowdcounter,google/gemini-2.5-flash,open_reference,1,138,True,False,True,False,1,"Response begins appropriately but is truncated mid-sentence, failing to provide the actual counterspeech."
crowdcounter:model=google_gemini-2.5-flash,modal_phase1c_n50_google,crowdcounter,google/gemini-2.5-flash,open_reference,2,195,False,True,False,True,1,Refuses to engage with the prompt; produces a refusal instead of counterspeech.
aidanbench:model=google_gemini-2.5-flash,modal_phase1c_n50_google,aidanbench,google/gemini-2.5-flash,open_judge,0,235,True,True,True,False,4,"Concise, on-topic solution with multiple integrated components; clear and fluent."
aidanbench:model=google_gemini-2.5-flash,modal_phase1c_n50_google,aidanbench,google/gemini-2.5-flash,open_judge,1,21,True,True,True,False,3,"Concise, on-task answer. Creative but lacks elaboration or humor for higher score."
aidanbench:model=google_gemini-2.5-flash,modal_phase1c_n50_google,aidanbench,google/gemini-2.5-flash,open_judge,2,742,True,True,True,False,4,"Creative, plausible non-carbon life form with detailed biochemistry. Concise and on-task."
riddlesense:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,riddlesense,google/gemini-3.1-flash-lite-preview,mcq_accuracy,0,0,False,False,False,True,0,auto: no nonempty completion in scenario_state
data_narrative:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,data_narrative,google/gemini-2.5-flash-lite,open_judge,0,616,True,True,True,False,4,"Coherent, data-grounded paragraph on trend of longer residence; clear and on-topic."
data_narrative:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,data_narrative,google/gemini-2.5-flash-lite,open_judge,1,686,True,True,True,False,4,"Coherent paragraph grounded in data, highlights key trend of declining democratic preference, on-task and fluent."
data_narrative:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,data_narrative,google/gemini-2.5-flash-lite,open_judge,2,653,True,True,True,False,4,"Coherent paragraph grounded in data, highlights declining satisfaction trend, but slightly misstates decline direction."
liveideabench:model=google_gemini-2.5-flash,modal_phase1c_n50_google,liveideabench,google/gemini-2.5-flash,open_judge,0,1752,False,True,True,False,4,Exceeds 100-word limit; presents two ideas instead of one concise idea. Otherwise creative and on-task.
liveideabench:model=google_gemini-2.5-flash,modal_phase1c_n50_google,liveideabench,google/gemini-2.5-flash,open_judge,1,1621,True,True,False,False,2,"Response contains two distinct ideas, exceeding 100-word limit and violating conciseness requirement."
liveideabench:model=google_gemini-2.5-flash,modal_phase1c_n50_google,liveideabench,google/gemini-2.5-flash,open_judge,2,1752,False,True,False,False,2,"Response contains two separate ideas, exceeding 100-word limit and violating conciseness requirement."
moh_x:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,moh_x,google/gemini-3.1-flash-lite-preview,mcq_accuracy,0,0,False,False,False,True,0,auto: no nonempty completion in scenario_state
llm4biohypogen_gpt4_seen:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,llm4biohypogen_gpt4_seen,google/gemini-3.1-flash-lite-preview,open_reference,0,662,True,True,True,False,5,"Response is fluent, coherent, on-task, and provides three novel, well-reasoned hypotheses directly engaging the background."
llm4biohypogen_gpt4_seen:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,llm4biohypogen_gpt4_seen,google/gemini-3.1-flash-lite-preview,open_reference,1,590,True,True,True,False,4,"Response is fluent, coherent, and on-task. Hypotheses are plausible and well-structured, though slightly generic."
llm4biohypogen_gpt4_seen:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,llm4biohypogen_gpt4_seen,google/gemini-3.1-flash-lite-preview,open_reference,2,539,True,True,True,False,5,"Response is fluent, coherent, on-task, and provides novel, well-structured hypotheses directly engaging the background."
ocw_connections:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,ocw_connections,google/gemini-2.5-flash-lite,mcq_accuracy,0,322,True,True,True,False,,Response provides parseable connections for each group in the required format.
ocw_connections:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,ocw_connections,google/gemini-2.5-flash-lite,mcq_accuracy,1,278,True,True,True,False,,Response provides parseable connections for each group in expected format.
ocw_connections:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,ocw_connections,google/gemini-2.5-flash-lite,mcq_accuracy,2,331,True,True,True,False,,"Response provides four groups with connections in expected format, no refusal or nonsense."
sdat:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,sdat,google/gemini-3.1-flash-lite-preview,open_reference,0,106,True,True,True,False,5,"All words are single nouns, no proper nouns or technical terms, and they are semantically diverse."
sdat:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,sdat,google/gemini-3.1-flash-lite-preview,open_reference,1,107,True,True,True,False,5,"Response is a list of 10 single nouns, no proper nouns or technical terms, diverse and on task."
sdat:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,sdat,google/gemini-3.1-flash-lite-preview,open_reference,2,107,True,True,True,False,5,"Response is a list of 10 single nouns, no proper nouns or technical terms, diverse in meaning."
lcc_metaphor:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,lcc_metaphor,google/gemini-2.5-flash-lite,mcq_accuracy,0,3,True,True,True,False,,"Single token 'Yes' matches expected format, complete, on-task, not garbled."
lcc_metaphor:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,lcc_metaphor,google/gemini-2.5-flash-lite,mcq_accuracy,1,3,True,True,True,False,,Single token 'Yes' matches expected format and answers the question directly.
lcc_metaphor:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,lcc_metaphor,google/gemini-2.5-flash-lite,mcq_accuracy,2,2,True,True,True,False,,"Single token 'No' matches expected format, complete, and directly answers the question."
conceptual_design:model=google_gemini-2.5-flash,modal_phase1c_n50_google,conceptual_design,google/gemini-2.5-flash,open_judge,0,11655,True,True,True,False,5,"Highly creative, well-organized, and exhaustive list of 100 diverse, on-task design solutions."
conceptual_design:model=google_gemini-2.5-flash,modal_phase1c_n50_google,conceptual_design,google/gemini-2.5-flash,open_judge,1,10932,True,True,True,False,5,"Exceeds expectations: 100 creative, categorized, on-task solutions. Highly fluent, coherent, and engaging."
conceptual_design:model=google_gemini-2.5-flash,modal_phase1c_n50_google,conceptual_design,google/gemini-2.5-flash,open_judge,2,10739,True,True,True,False,5,"Exceeds benchmark: 100 creative, diverse, well-organized solutions addressing tactile, auditory, and tech needs for blind users."
fig_qa:model=google_gemini-2.5-flash,modal_phase1c_n50_google,fig_qa,google/gemini-2.5-flash,mcq_accuracy,0,169,True,True,True,False,,Contains parseable answer 'A' matching expected MCQ format.
fig_qa:model=google_gemini-2.5-flash,modal_phase1c_n50_google,fig_qa,google/gemini-2.5-flash,mcq_accuracy,1,15,True,True,True,False,,Model outputs a single letter answer matching the expected MCQ format.
fig_qa:model=google_gemini-2.5-flash,modal_phase1c_n50_google,fig_qa,google/gemini-2.5-flash,mcq_accuracy,2,1,True,True,True,False,,Single letter answer matches expected format and answers the question.
pron_vs_prompt:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,pron_vs_prompt,google/gemini-3.1-flash-lite-preview,mcq_accuracy,0,3797,False,True,True,False,,"No parseable short answer label; response is a full synopsis, not a multiple-choice selection."
pron_vs_prompt:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,pron_vs_prompt,google/gemini-3.1-flash-lite-preview,mcq_accuracy,1,3630,False,True,True,False,,"No parseable short answer label; response is a creative synopsis, not a multiple-choice answer."
pron_vs_prompt:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,pron_vs_prompt,google/gemini-3.1-flash-lite-preview,mcq_accuracy,2,3735,False,True,True,False,,"No parseable short answer label; response is a creative synopsis, not a multiple-choice selection."
data_narrative:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,data_narrative,google/gemini-3.1-flash-lite-preview,open_judge,0,719,True,True,True,False,5,"Coherent, data-grounded paragraph highlighting key trend of rising median residency; fluent, engaging, and perfectly on-task."
data_narrative:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,data_narrative,google/gemini-3.1-flash-lite-preview,open_judge,1,848,True,True,True,False,5,"Coherent, data-grounded paragraph capturing trend shift from democratic to strong leader preference, engaging the creative goal."
data_narrative:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,data_narrative,google/gemini-3.1-flash-lite-preview,open_judge,2,766,True,True,True,False,4,"Coherent, on-topic paragraph grounded in data, with clear trend analysis and engaging narrative flow."
meta4xnli:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,meta4xnli,google/gemini-3.1-flash-lite-preview,mcq_accuracy,0,13,True,True,True,False,,Single token answer matches expected format and label.
meta4xnli:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,meta4xnli,google/gemini-3.1-flash-lite-preview,mcq_accuracy,1,16,True,True,True,False,,Response is a single parseable label matching the expected format and task.
meta4xnli:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,meta4xnli,google/gemini-3.1-flash-lite-preview,mcq_accuracy,2,13,True,True,True,False,,Response is a single parseable label matching the expected format and task.
conceptual_design:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,conceptual_design,google/gemini-2.5-flash-lite,open_judge,0,11099,True,True,True,False,5,"Response provides 100 creative, categorized, and detailed design solutions, fully meeting the prompt's goal."
conceptual_design:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,conceptual_design,google/gemini-2.5-flash-lite,open_judge,1,12419,True,True,True,False,5,"Exceeds expectations: 100 creative, categorized solutions, coherent, complete, and directly addresses the prompt."
conceptual_design:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,conceptual_design,google/gemini-2.5-flash-lite,open_judge,2,9914,True,True,True,False,5,"Exceeds expectations: 100 creative, categorized solutions with clear focus on accessibility and user needs."
c3_crosstalk:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,c3_crosstalk,google/gemini-2.5-flash-lite,open_reference,0,325,True,True,True,False,4,"Fluent, coherent continuation of crosstalk dialogue with humor and logical contradiction, matching prompt style."
c3_crosstalk:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,c3_crosstalk,google/gemini-2.5-flash-lite,open_reference,1,379,True,True,True,False,4,"Fluent, coherent continuation of crosstalk with humor and proper structure. Engages prompt well."
c3_crosstalk:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,c3_crosstalk,google/gemini-2.5-flash-lite,open_reference,2,124,True,True,True,False,4,"Fluent, coherent crosstalk continuation with natural back-and-forth and humorous twist, matching prompt style."
recombination_extraction:model=google_gemini-2.5-flash,modal_phase1c_n50_google,recombination_extraction,google/gemini-2.5-flash,open_reference,0,205,True,True,True,False,4,Correctly identifies recombination as combination of time series mining and temporal decision tree. Output is valid JSON and on-task.
recombination_extraction:model=google_gemini-2.5-flash,modal_phase1c_n50_google,recombination_extraction,google/gemini-2.5-flash,open_reference,1,125,True,True,True,False,4,Correctly identifies the recombination of attention mechanism with U-Net. Entities are accurate and JSON is valid.
recombination_extraction:model=google_gemini-2.5-flash,modal_phase1c_n50_google,recombination_extraction,google/gemini-2.5-flash,open_reference,2,88,True,True,True,False,5,"Correctly identifies the recombination of sentence encoders with an alignment component, matches format, and is on-task."
creative_process:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,creative_process,google/gemini-3.1-flash-lite-preview,open_reference,0,194,True,False,True,False,4,"Response is on-task and fluent, but missing closing bracket, so incomplete."
creative_process:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,creative_process,google/gemini-3.1-flash-lite-preview,open_reference,1,183,True,False,True,False,4,"Response is a comma-separated list in brackets, on task, but missing closing bracket and truncated."
creative_process:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,creative_process,google/gemini-3.1-flash-lite-preview,open_reference,2,194,True,False,True,False,4,List is on-task and fluent but truncated; missing closing bracket and final animal.
brainteaser:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,brainteaser,google/gemini-3.1-flash-lite-preview,mcq_accuracy,0,0,False,False,False,True,0,auto: no nonempty completion in scenario_state
grapheval_review_advisor:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,grapheval_review_advisor,google/gemini-3.1-flash-lite-preview,open_reference,0,41,True,True,True,False,5,"Response follows required format, is complete, on-task, and fluent. Score and decision are appropriate."
grapheval_review_advisor:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,grapheval_review_advisor,google/gemini-3.1-flash-lite-preview,open_reference,1,32,True,True,True,False,4,"Response follows requested format, is complete, on-task, and not garbled. Score and decision are reasonable."
grapheval_review_advisor:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,grapheval_review_advisor,google/gemini-3.1-flash-lite-preview,open_reference,2,32,True,True,True,False,4,"Response follows requested format, is complete, on-task, and not garbled. Score and decision are reasonable."
scar:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,scar,google/gemini-3.1-flash-lite-preview,open_reference,0,61,True,True,True,False,5,"Correctly maps items one-to-one as requested, matches format exactly, and is fluent and coherent."
scar:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,scar,google/gemini-3.1-flash-lite-preview,open_reference,1,102,True,True,True,False,5,"Correctly maps items one-to-one in requested format, fully on-task and coherent."
scar:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,scar,google/gemini-3.1-flash-lite-preview,open_reference,2,80,True,True,True,False,4,"Correctly maps hydrophilic to pro-American and lipophilic to pro-Russian, matching the analogy. Clear and concise."
grapheval_iclr:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,grapheval_iclr,google/gemini-2.5-flash-lite,open_reference,0,41,True,True,True,False,4,"Response follows format, is complete, on-task, and coherent. Score aligns with typical poster acceptance."
grapheval_iclr:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,grapheval_iclr,google/gemini-2.5-flash-lite,open_reference,1,41,True,True,True,False,4,"Response follows required format, is complete, on-task, and coherent. Score aligns with typical poster acceptance."
grapheval_iclr:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,grapheval_iclr,google/gemini-2.5-flash-lite,open_reference,2,41,True,True,True,False,4,"Response correctly follows format, is complete, on-task, and coherent. Score aligns with typical poster-level acceptance."
writingbench:model=google_gemini-2.5-flash,modal_phase1c_n50_google,writingbench,google/gemini-2.5-flash,open_judge,0,1575,True,True,True,False,5,"Excellent creative response: vivid sensory details, complete narrative, on-task, fluent, and emotionally resonant."
writingbench:model=google_gemini-2.5-flash,modal_phase1c_n50_google,writingbench,google/gemini-2.5-flash,open_judge,1,3863,True,True,True,False,4,"Well-structured, data-driven analysis with clear problem identification and actionable plans. Minor lack of actual charts."
writingbench:model=google_gemini-2.5-flash,modal_phase1c_n50_google,writingbench,google/gemini-2.5-flash,open_judge,2,17932,True,True,True,False,5,"Detailed, practical teaching plan with clear objectives, interactions, and modern connections. Exceeds length requirement, highly creative and on-task."
creative_process_aut_paperclip:model=google_gemini-2.5-flash,modal_phase1c_n50_google,creative_process_aut_paperclip,google/gemini-2.5-flash,open_reference,0,366,True,True,True,False,5,"Response is a complete, comma-separated list in brackets with 20 creative uses, fully on-task and fluent."
creative_process_aut_paperclip:model=google_gemini-2.5-flash,modal_phase1c_n50_google,creative_process_aut_paperclip,google/gemini-2.5-flash,open_reference,1,287,True,True,True,False,5,"Response is a comma-separated list in brackets, contains 20 creative uses, fluent and on-task."
creative_process_aut_paperclip:model=google_gemini-2.5-flash,modal_phase1c_n50_google,creative_process_aut_paperclip,google/gemini-2.5-flash,open_reference,2,318,True,True,True,False,5,"Response follows format exactly, provides 20 creative uses, is fluent and on-task."
pollux_creativity:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,pollux_creativity,google/gemini-3.1-flash-lite-preview,open_judge,0,1489,True,False,True,False,3,"Response is on-task and creative but truncated mid-list, missing the three outfits and mixability."
pollux_creativity:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,pollux_creativity,google/gemini-3.1-flash-lite-preview,open_judge,1,1727,True,False,True,False,4,"Creative setup with characters and mystery, but response is truncated mid-sentence."
pollux_creativity:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,pollux_creativity,google/gemini-3.1-flash-lite-preview,open_judge,2,1910,True,False,True,False,4,"Creative, interdisciplinary formats proposed; engaging and novel. Truncated mid-sentence, so incomplete."
