cell,suite,dataset,model,instance_idx,completion_chars,n_images,judge_model,on_task,garbled,cannot_evaluate,reason
hummus:model=google_gemini-2.5-flash,modal_phase1c_n50_google,hummus,google/gemini-2.5-flash,0,866,0,x-ai/grok-4.1-fast,True,False,False,Directly answers with B. No and analyzes humor relevant to prompt.
hummus:model=google_gemini-2.5-flash,modal_phase1c_n50_google,hummus,google/gemini-2.5-flash,1,450,0,x-ai/grok-4.1-fast,True,False,False,Response answers the question directly and engages image-caption humor analysis.
hummus:model=google_gemini-2.5-flash,modal_phase1c_n50_google,hummus,google/gemini-2.5-flash,2,805,0,x-ai/grok-4.1-fast,True,False,False,Response directly answers with B. No and engages by explaining humor type relevant to metaphor question.
creation_mmbench:model=qwen_qwen3.5-flash-02-23,modal_phase1c_n50_mmext,creation_mmbench,qwen/qwen3.5-flash-02-23,0,6065,1,x-ai/grok-4.1-fast,True,False,False,"Detailed 2-day Milan itinerary engages prompt fully, matches preferences, notes map mismatch."
creation_mmbench:model=qwen_qwen3.5-flash-02-23,modal_phase1c_n50_mmext,creation_mmbench,qwen/qwen3.5-flash-02-23,1,4685,1,x-ai/grok-4.1-fast,True,False,False,"Response delivers detailed, beginner-friendly fried rice recipe matching image and prompt specs."
creation_mmbench:model=qwen_qwen3.5-flash-02-23,modal_phase1c_n50_mmext,creation_mmbench,qwen/qwen3.5-flash-02-23,2,899,1,x-ai/grok-4.1-fast,True,False,False,"Response is a promotional tweet engaging image content, drawing attention and expressing novelty."
rebus_puzzle:model=nvidia_nemotron-nano-12b-v2-vl,modal_phase1c_n50_mmext,rebus_puzzle,nvidia/nemotron-nano-12b-v2-vl,0,435,1,x-ai/grok-4.1-fast,True,False,False,Valid JSON with rebus answer and reasoning based on image elements.
rebus_puzzle:model=nvidia_nemotron-nano-12b-v2-vl,modal_phase1c_n50_mmext,rebus_puzzle,nvidia/nemotron-nano-12b-v2-vl,1,473,1,x-ai/grok-4.1-fast,True,False,False,Valid JSON with answer and reasoning engaging the rebus puzzle image and prompt.
rebus_puzzle:model=nvidia_nemotron-nano-12b-v2-vl,modal_phase1c_n50_mmext,rebus_puzzle,nvidia/nemotron-nano-12b-v2-vl,2,356,1,x-ai/grok-4.1-fast,True,False,False,Response is valid JSON with answer and reasoning engaging the rebus puzzle.
rebus_puzzle:model=mistralai_mistral-large-2512,modal_phase1c_n50_mmext,rebus_puzzle,mistralai/mistral-large-2512,0,550,1,x-ai/grok-4.1-fast,True,False,False,Valid JSON with answer and reasoning engaging the rebus puzzle task.
rebus_puzzle:model=mistralai_mistral-large-2512,modal_phase1c_n50_mmext,rebus_puzzle,mistralai/mistral-large-2512,1,823,1,x-ai/grok-4.1-fast,True,False,False,Provides valid JSON with answer and detailed reasoning engaging the rebus puzzle task.
rebus_puzzle:model=mistralai_mistral-large-2512,modal_phase1c_n50_mmext,rebus_puzzle,mistralai/mistral-large-2512,2,916,1,x-ai/grok-4.1-fast,True,False,False,Provides JSON with answer and partial reasoning interpreting rebus image elements.
rebus_puzzle:model=meta-llama_llama-4-scout,modal_phase1c_n50_mmext,rebus_puzzle,meta-llama/llama-4-scout,0,652,1,x-ai/grok-4.1-fast,True,False,False,Valid JSON with answer and reasoning engaging the rebus puzzle image.
rebus_puzzle:model=meta-llama_llama-4-scout,modal_phase1c_n50_mmext,rebus_puzzle,meta-llama/llama-4-scout,1,548,1,x-ai/grok-4.1-fast,True,False,False,Valid JSON response attempts to solve rebus with answer and reasoning referencing image elements.
rebus_puzzle:model=meta-llama_llama-4-scout,modal_phase1c_n50_mmext,rebus_puzzle,meta-llama/llama-4-scout,2,389,1,x-ai/grok-4.1-fast,True,False,False,Clear JSON response with answer and reasoning engaging the rebus puzzle task.
infochartqa:model=moonshotai_kimi-k2.6,modal_phase1c_n50_mmext,infochartqa,moonshotai/kimi-k2.6,0,5,1,x-ai/grok-4.1-fast,True,False,False,"Response provides average percentage from chart, matching prompt exactly."
infochartqa:model=moonshotai_kimi-k2.6,modal_phase1c_n50_mmext,infochartqa,moonshotai/kimi-k2.6,1,6,1,x-ai/grok-4.1-fast,True,False,False,"Names a chart node as minimum value, directly engaging prompt task."
infochartqa:model=moonshotai_kimi-k2.6,modal_phase1c_n50_mmext,infochartqa,moonshotai/kimi-k2.6,2,2,1,x-ai/grok-4.1-fast,True,False,False,Clear 'No' response matches required format and engages chart comparison task.
banner_request_400:model=mistralai_mistral-medium-3.1,modal_phase1c_n50_mmext,banner_request_400,mistralai/mistral-medium-3.1,0,1527,1,x-ai/grok-4.1-fast,True,False,False,"JSON blueprint engages banner request with matching elements, positions, and logo."
banner_request_400:model=mistralai_mistral-medium-3.1,modal_phase1c_n50_mmext,banner_request_400,mistralai/mistral-medium-3.1,1,2742,1,x-ai/grok-4.1-fast,True,False,False,Produces structured JSON blueprint matching banner request elements and layout specs.
banner_request_400:model=mistralai_mistral-medium-3.1,modal_phase1c_n50_mmext,banner_request_400,mistralai/mistral-medium-3.1,2,1854,1,x-ai/grok-4.1-fast,True,False,False,"Produces structured JSON blueprint engaging banner layout task with required texts, positions, and logo."
rebus_puzzle:model=anthropic_claude-sonnet-4.5,modal_phase1c_n50_mmext,rebus_puzzle,anthropic/claude-sonnet-4.5,0,594,1,x-ai/grok-4.1-fast,True,False,False,Valid JSON response with answer and reasoning engaging the rebus puzzle task.
rebus_puzzle:model=anthropic_claude-sonnet-4.5,modal_phase1c_n50_mmext,rebus_puzzle,anthropic/claude-sonnet-4.5,1,537,1,x-ai/grok-4.1-fast,True,False,False,Response is valid JSON with answer and detailed reasoning interpreting image and text.
rebus_puzzle:model=anthropic_claude-sonnet-4.5,modal_phase1c_n50_mmext,rebus_puzzle,anthropic/claude-sonnet-4.5,2,566,1,x-ai/grok-4.1-fast,True,False,False,Valid JSON with answer and detailed reasoning engaging the rebus puzzle image.
artinsight:model=qwen_qwen3.5-flash-02-23,modal_phase1c_n50_mmext,artinsight,qwen/qwen3.5-flash-02-23,0,2303,1,x-ai/grok-4.1-fast,True,False,False,"Response delivers detailed, paragraph-form description of artwork elements, directly engaging prompt and image."
artinsight:model=qwen_qwen3.5-flash-02-23,modal_phase1c_n50_mmext,artinsight,qwen/qwen3.5-flash-02-23,1,1636,1,x-ai/grok-4.1-fast,True,False,False,"Response provides detailed, factual paragraph description of artwork elements, engaging prompt and image."
artinsight:model=qwen_qwen3.5-flash-02-23,modal_phase1c_n50_mmext,artinsight,qwen/qwen3.5-flash-02-23,2,1724,1,x-ai/grok-4.1-fast,True,False,False,"Response delivers detailed, factual, paragraph-form description of artwork, fully engaging prompt."
infochartqa:model=anthropic_claude-sonnet-4.6,modal_phase1c_n50_mmext,infochartqa,anthropic/claude-sonnet-4.6,0,55,1,x-ai/grok-4.1-fast,True,False,False,Response correctly calculates and provides average percentage from chart problems.
infochartqa:model=anthropic_claude-sonnet-4.6,modal_phase1c_n50_mmext,infochartqa,anthropic/claude-sonnet-4.6,1,4,1,x-ai/grok-4.1-fast,True,False,False,"Response names 'UK', a chart node, directly engaging the minimum value query."
infochartqa:model=anthropic_claude-sonnet-4.6,modal_phase1c_n50_mmext,infochartqa,anthropic/claude-sonnet-4.6,2,2,1,x-ai/grok-4.1-fast,True,False,False,"Response is exactly 'No' as prompted, engaging the chart comparison task."
rebus_puzzle:model=openai_gpt-5.4,modal_phase1c_n50_mmext,rebus_puzzle,openai/gpt-5.4,0,675,1,x-ai/grok-4.1-fast,True,False,False,Valid JSON with rebus solution and detailed image-based reasoning.
rebus_puzzle:model=openai_gpt-5.4,modal_phase1c_n50_mmext,rebus_puzzle,openai/gpt-5.4,1,272,1,x-ai/grok-4.1-fast,True,False,False,Valid JSON response engages rebus puzzle with answer and detailed reasoning based on image.
rebus_puzzle:model=openai_gpt-5.4,modal_phase1c_n50_mmext,rebus_puzzle,openai/gpt-5.4,2,579,1,x-ai/grok-4.1-fast,True,False,False,Valid JSON with answer and reasoning engaging the rebus puzzle image.
infochartqa:model=x-ai_grok-4.20,modal_phase1c_n50_mmext,infochartqa,x-ai/grok-4.20,0,5,1,x-ai/grok-4.1-fast,True,False,False,"Response provides numerical average of chart percentages, directly engaging prompt task."
infochartqa:model=x-ai_grok-4.20,modal_phase1c_n50_mmext,infochartqa,x-ai/grok-4.20,1,2,1,x-ai/grok-4.1-fast,True,False,False,"Response 'UK' identifies a chart node with minimum value, directly engaging prompt."
infochartqa:model=x-ai_grok-4.20,modal_phase1c_n50_mmext,infochartqa,x-ai/grok-4.20,2,3,1,x-ai/grok-4.1-fast,True,False,False,Clear 'Yes' directly engages binary valuation comparison task from chart and prompt.
esp_dataset:model=moonshotai_kimi-k2.6,modal_phase1c_n50_mmext,esp_dataset,moonshotai/kimi-k2.6,0,172,1,x-ai/grok-4.1-fast,True,False,False,Clear news-style caption directly describing the image content and location.
esp_dataset:model=moonshotai_kimi-k2.6,modal_phase1c_n50_mmext,esp_dataset,moonshotai/kimi-k2.6,1,429,1,x-ai/grok-4.1-fast,True,False,False,Response is a coherent instruction-style caption describing the image accurately.
esp_dataset:model=moonshotai_kimi-k2.6,modal_phase1c_n50_mmext,esp_dataset,moonshotai/kimi-k2.6,2,532,1,x-ai/grok-4.1-fast,True,False,False,Response is a coherent news-style description engaging the baseball image content.
creation_mmbench:model=x-ai_grok-4.20,modal_phase1c_n50_mmext,creation_mmbench,x-ai/grok-4.20,0,5937,1,x-ai/grok-4.1-fast,True,False,False,"Detailed 2-day plan engages map attractions, preferences for shopping/city life/icons, skips religious sites."
creation_mmbench:model=x-ai_grok-4.20,modal_phase1c_n50_mmext,creation_mmbench,x-ai/grok-4.20,1,5541,1,x-ai/grok-4.1-fast,True,False,False,"Detailed recipe matches image (ham fried rice with veggies), follows all prompt requirements precisely."
creation_mmbench:model=x-ai_grok-4.20,modal_phase1c_n50_mmext,creation_mmbench,x-ai/grok-4.20,2,1212,1,x-ai/grok-4.1-fast,True,False,False,Response writes a promotional tweet drawing attention to and highlighting novelty of the Agent Laboratory work from image.
puzzleworld:model=openai_gpt-4.1,modal_phase1c_n50_mmext,puzzleworld,openai/gpt-4.1,0,11462,0,x-ai/grok-4.1-fast,True,True,False,Response attempts puzzle-solving steps but enters repetitive loop on one clue.
puzzleworld:model=openai_gpt-4.1,modal_phase1c_n50_mmext,puzzleworld,openai/gpt-4.1,1,8275,0,x-ai/grok-4.1-fast,True,False,False,Detailed step-by-step puzzle solving attempt with final answer in exact format.
puzzleworld:model=openai_gpt-4.1,modal_phase1c_n50_mmext,puzzleworld,openai/gpt-4.1,2,5064,0,x-ai/grok-4.1-fast,True,False,False,"Step-by-step puzzle solving attempt engages theme, images, and ends with required Answer format."
ii_bench:model=moonshotai_kimi-k2.6,modal_phase1c_n50_mmext,ii_bench,moonshotai/kimi-k2.6,0,73,1,x-ai/grok-4.1-fast,True,False,False,"Response selects and states option C, directly engaging the image-based multiple-choice task."
ii_bench:model=moonshotai_kimi-k2.6,modal_phase1c_n50_mmext,ii_bench,moonshotai/kimi-k2.6,1,65,1,x-ai/grok-4.1-fast,True,False,False,"Response selects option E with description, directly engaging the multiple-choice task."
ii_bench:model=moonshotai_kimi-k2.6,modal_phase1c_n50_mmext,ii_bench,moonshotai/kimi-k2.6,2,93,1,x-ai/grok-4.1-fast,True,False,False,"Response selects and states option D, directly engaging image symbolism task."
mars:model=minimax_minimax-01,modal_phase1c_n50_mmext,mars,minimax/minimax-01,0,31,0,x-ai/grok-4.1-fast,True,False,False,Short response starts engaging by planning to solve analogies step by step.
mars:model=minimax_minimax-01,modal_phase1c_n50_mmext,mars,minimax/minimax-01,1,31,0,x-ai/grok-4.1-fast,True,False,False,"Response starts solving analogies step-by-step, engaging the task."
mars:model=minimax_minimax-01,modal_phase1c_n50_mmext,mars,minimax/minimax-01,2,31,0,x-ai/grok-4.1-fast,True,False,False,"Short response starts solving analogies, engaging the task."
creation_mmbench:model=mistralai_mistral-small-3.1-24b-instruct,modal_phase1c_n50_mmext,creation_mmbench,mistralai/mistral-small-3.1-24b-instruct,0,3,1,x-ai/grok-4.1-fast,False,True,False,"Response is just '###', empty of meaningful content engaging the task."
creation_mmbench:model=mistralai_mistral-small-3.1-24b-instruct,modal_phase1c_n50_mmext,creation_mmbench,mistralai/mistral-small-3.1-24b-instruct,1,50,3,x-ai/grok-4.1-fast,False,True,False,"Response is incomplete headings only, cuts off before any meaningful content on photos."
creation_mmbench:model=mistralai_mistral-small-3.1-24b-instruct,modal_phase1c_n50_mmext,creation_mmbench,mistralai/mistral-small-3.1-24b-instruct,2,690,1,x-ai/grok-4.1-fast,True,False,False,Response writes a promotional tweet directly engaging the image's Agent Laboratory work and prompt requirements.
mars:model=qwen_qwen2.5-vl-72b-instruct,modal_phase1c_n50_mmext,mars,qwen/qwen2.5-vl-72b-instruct,0,6,0,x-ai/grok-4.1-fast,True,False,False,"Provides Q-ID in exact format of examples, engaging analogy completion task."
mars:model=qwen_qwen2.5-vl-72b-instruct,modal_phase1c_n50_mmext,mars,qwen/qwen2.5-vl-72b-instruct,1,5,0,x-ai/grok-4.1-fast,True,False,False,"Provides Q-code in expected format, engaging the analogy completion task."
mars:model=qwen_qwen2.5-vl-72b-instruct,modal_phase1c_n50_mmext,mars,qwen/qwen2.5-vl-72b-instruct,2,14,0,x-ai/grok-4.1-fast,True,False,False,Provides formatted answer matching prompt's analogy completion pattern.
banner_request_400:model=amazon_nova-lite-v1,modal_phase1c_n50_mmext,banner_request_400,amazon/nova-lite-v1,0,1645,1,x-ai/grok-4.1-fast,True,False,False,"Response is valid JSON blueprint with matching elements, texts, positions for banner task."
banner_request_400:model=amazon_nova-lite-v1,modal_phase1c_n50_mmext,banner_request_400,amazon/nova-lite-v1,1,1461,1,x-ai/grok-4.1-fast,True,False,False,"Produces structured JSON blueprint with required elements, positions, and logo matching prompt."
banner_request_400:model=amazon_nova-lite-v1,modal_phase1c_n50_mmext,banner_request_400,amazon/nova-lite-v1,2,1353,1,x-ai/grok-4.1-fast,True,False,False,Response is structured JSON blueprint engaging banner layout task with required elements.
yesbut:model=nvidia_nemotron-nano-12b-v2-vl,modal_phase1c_n50_mmext,yesbut,nvidia/nemotron-nano-12b-v2-vl,0,491,1,x-ai/grok-4.1-fast,True,False,False,Response directly explains the image's satirical contradiction engaging the prompt.
yesbut:model=nvidia_nemotron-nano-12b-v2-vl,modal_phase1c_n50_mmext,yesbut,nvidia/nemotron-nano-12b-v2-vl,1,609,1,x-ai/grok-4.1-fast,True,False,False,Response intelligibly explains the image's satire on inner vs. outer beauty contradiction.
yesbut:model=nvidia_nemotron-nano-12b-v2-vl,modal_phase1c_n50_mmext,yesbut,nvidia/nemotron-nano-12b-v2-vl,2,679,1,x-ai/grok-4.1-fast,True,False,False,"Response intelligibly explains image's humor, directly engaging the prompt."
artinsight:model=mistralai_mistral-small-3.1-24b-instruct,modal_phase1c_n50_mmext,artinsight,mistralai/mistral-small-3.1-24b-instruct,0,2015,1,x-ai/grok-4.1-fast,True,False,False,"Response delivers detailed, factual paragraph description of artwork, directly engaging prompt and image."
artinsight:model=mistralai_mistral-small-3.1-24b-instruct,modal_phase1c_n50_mmext,artinsight,mistralai/mistral-small-3.1-24b-instruct,1,2312,1,x-ai/grok-4.1-fast,True,False,False,"Response delivers comprehensive, factual paragraph description of artwork, engaging image and prompt fully."
artinsight:model=mistralai_mistral-small-3.1-24b-instruct,modal_phase1c_n50_mmext,artinsight,mistralai/mistral-small-3.1-24b-instruct,2,1487,1,x-ai/grok-4.1-fast,True,False,False,"Response is a coherent, descriptive paragraph engaging the artwork description task per prompt and image."
esp_dataset:model=qwen_qwen3.5-plus-02-15,modal_phase1c_n50_mmext,esp_dataset,qwen/qwen3.5-plus-02-15,0,248,1,x-ai/grok-4.1-fast,True,False,False,"Response is a concise, intelligible news-style caption describing the image."
esp_dataset:model=qwen_qwen3.5-plus-02-15,modal_phase1c_n50_mmext,esp_dataset,qwen/qwen3.5-plus-02-15,1,271,1,x-ai/grok-4.1-fast,True,False,False,Clear descriptive caption engages image description task.
esp_dataset:model=qwen_qwen3.5-plus-02-15,modal_phase1c_n50_mmext,esp_dataset,qwen/qwen3.5-plus-02-15,2,162,1,x-ai/grok-4.1-fast,True,False,False,Clear news-style caption describing the baseball batting scene in the image.
mars:model=z-ai_glm-5v-turbo,modal_phase1c_n50_mmext,mars,z-ai/glm-5v-turbo,0,14,0,x-ai/grok-4.1-fast,True,False,False,Provides formatted Q-code answer engaging the analogy completion task.
mars:model=z-ai_glm-5v-turbo,modal_phase1c_n50_mmext,mars,z-ai/glm-5v-turbo,1,14,0,x-ai/grok-4.1-fast,True,False,False,Provides formatted answer matching analogy completion pattern.
mars:model=z-ai_glm-5v-turbo,modal_phase1c_n50_mmext,mars,z-ai/glm-5v-turbo,2,13,0,x-ai/grok-4.1-fast,True,False,False,"Provides answer in exact format of examples, engaging the analogy task."
irfl:model=qwen_qwen3.5-397b-a17b,modal_phase1c_n50_mmext,irfl,qwen/qwen3.5-397b-a17b,0,38,4,x-ai/grok-4.1-fast,False,True,False,"Cuts off mid-sentence without selecting A, B, C, or D."
irfl:model=qwen_qwen3.5-397b-a17b,modal_phase1c_n50_mmext,irfl,qwen/qwen3.5-397b-a17b,1,44,4,x-ai/grok-4.1-fast,False,True,False,Response cuts off mid-sentence without selecting an option or engaging image choice.
irfl:model=qwen_qwen3.5-397b-a17b,modal_phase1c_n50_mmext,irfl,qwen/qwen3.5-397b-a17b,2,44,4,x-ai/grok-4.1-fast,True,False,False,Truncated mid-sentence but starts reasoning about selecting the best image.
artinsight:model=nvidia_nemotron-nano-12b-v2-vl,modal_phase1c_n50_mmext,artinsight,nvidia/nemotron-nano-12b-v2-vl,0,1489,1,x-ai/grok-4.1-fast,True,False,False,"Detailed paragraph description engages artwork by covering composition, colors, shapes, and elements factually."
artinsight:model=nvidia_nemotron-nano-12b-v2-vl,modal_phase1c_n50_mmext,artinsight,nvidia/nemotron-nano-12b-v2-vl,1,998,1,x-ai/grok-4.1-fast,True,False,False,"Response is a coherent, factual paragraph describing artwork elements per prompt and image."
artinsight:model=nvidia_nemotron-nano-12b-v2-vl,modal_phase1c_n50_mmext,artinsight,nvidia/nemotron-nano-12b-v2-vl,2,1820,1,x-ai/grok-4.1-fast,True,False,False,"Response delivers detailed, paragraph-form description of image elements, engaging the descriptive task."
infochartqa:model=qwen_qwen3-vl-8b-instruct,modal_phase1c_n50_mmext,infochartqa,qwen/qwen3-vl-8b-instruct,0,4,1,x-ai/grok-4.1-fast,True,False,False,"Response directly provides average percentage from chart, matching prompt."
infochartqa:model=qwen_qwen3-vl-8b-instruct,modal_phase1c_n50_mmext,infochartqa,qwen/qwen3-vl-8b-instruct,1,6,1,x-ai/grok-4.1-fast,True,False,False,"Response names a chart node, directly engaging the minimum value identification task."
infochartqa:model=qwen_qwen3-vl-8b-instruct,modal_phase1c_n50_mmext,infochartqa,qwen/qwen3-vl-8b-instruct,2,2,1,x-ai/grok-4.1-fast,True,False,False,"Response is 'No', directly engaging the yes/no prompt on chart data."
puzzleworld:model=qwen_qwen3.5-plus-02-15,modal_phase1c_n50_mmext,puzzleworld,qwen/qwen3.5-plus-02-15,0,13249,0,x-ai/grok-4.1-fast,True,False,False,"Detailed step-by-step puzzle analysis and clue-solving attempt, truncated mid-sentence but meaningful."
puzzleworld:model=qwen_qwen3.5-plus-02-15,modal_phase1c_n50_mmext,puzzleworld,qwen/qwen3.5-plus-02-15,1,13618,0,x-ai/grok-4.1-fast,True,False,False,"Response analyzes puzzle structure, equations, and pre-filled digits step-by-step, engaging the task."
puzzleworld:model=qwen_qwen3.5-plus-02-15,modal_phase1c_n50_mmext,puzzleworld,qwen/qwen3.5-plus-02-15,2,12849,0,x-ai/grok-4.1-fast,True,False,False,Detailed step-by-step puzzle-solving attempt using multiple strategies from prompt tips.
ii_bench:model=qwen_qwen3.5-flash-02-23,modal_phase1c_n50_mmext,ii_bench,qwen/qwen3.5-flash-02-23,0,95,1,x-ai/grok-4.1-fast,False,False,False,Response explains meme but ignores instruction to select and reply with single letter A-F.
