dataset,canonical_metric,raw_mean,raw_sd,n,rmse_vs_published,source
pollux_creativity,pollux_score,1.2537349397590363,0.3971597664741344,83,0.6542962650944973,agc_long_metric_z
pron_vs_prompt,pron_vs_prompt_creativity,1.8396385542168674,0.44651344661459,83,0.2198959847097808,agc_long_metric_z
proparalogy,classification_macro_f1,0.6537790629973426,0.27072179046479605,83,0.1916217271571706,agc_long_metric_z
pun_eval,pun_detection_rate,0.7132530120481928,0.17755183670248717,83,0.34816277409047675,agc_long_metric_z
puntuguese,classification_macro_f1,0.34105750073999536,0.13688465442408898,83,0.20824131432925813,agc_long_metric_z
riddlesense,classification_macro_f1,0.6279511248969986,0.23953460383332317,83,0.20898387458888498,agc_long_metric_z
rpgbench,interestingness,3.322682926829268,1.1415811525481034,82,0.7649372665942044,agc_long_metric_z
scar,scar_f1,0.7779003474781426,0.1336723092969667,83,0.22810894397326578,agc_long_metric_z
schnovel,classification_micro_f1,0.3978313253012048,0.22434755372059947,83,0.3301225319333075,agc_long_metric_z
science_analogies,science_analogies_meteor,0.0699835219221204,0.03470442884189247,83,0.3896251604875725,agc_long_metric_z
scimon,bleu_4,0.0031413410868768674,0.0025544643112231356,83,0.5072622967898818,agc_long_metric_z
sdat,sdat_score,104.16945167085773,19.828243956608517,83,0.22338331773642392,agc_long_metric_z
showerthoughts,llm_judge_cleverness,3.3373493975903616,1.052007470456353,83,0.7026649891837212,agc_long_metric_z
simile_generation,simile_generation_bleu_1,11.068587980848422,3.9062356806609744,83,0.3618291737918951,agc_long_metric_z
slang_generation,slang_parse_rate,0.9301204819277109,0.1814406707835899,83,0.7395511009206108,agc_long_metric_z
speak_to_structure,validity,0.77710843373494,0.17318064810833864,83,0.4124680410918722,agc_long_metric_z
ss_gen,llm_judge_descriptiveness,3.7533982082174853,0.5639663762183632,83,0.28783918240547607,agc_long_metric_z
story_generation_rocstories,rouge_l,0.04614576714548372,0.013760732562950623,83,0.35853128413639906,agc_long_metric_z
story_quality,pearson_correlation_pred,1.2322891566265062,0.9109085859482047,83,0.576090586810366,agc_long_metric_z
thenextchapter,meteor,0.14355145830783325,0.024098867772535813,83,1.1398864014882641,agc_long_metric_z
tinyfabulist,creativity_score,5.822168674698795,1.2392248247690296,83,0.471992031998264,agc_long_metric_z
tinystories,tinystories_creativity_score,6.965224534501645,1.0824886204724733,83,0.7615711496708577,agc_long_metric_z
ttcw,majority_accuracy,0.4091566265060241,0.18218996263801615,83,0.10327215799270772,agc_long_metric_z
twistlist,bleu_1,0.1880301882643194,0.08678990011792564,83,0.40811307890793685,agc_long_metric_z
unfun_corpus,edit_distance,5.601075634914874,5.396835849894399,83,0.6877929047629378,agc_long_metric_z
writingbench,writingbench_score,6.221244979919677,2.041272055499854,83,0.1519421203102498,agc_long_metric_z
