model,dataset,canonical_metric,raw_score,dataset_z,release_mean,release_sd,release_n,domain,stats_json
openai/gpt-5-mini,munch,exact_match,0.0,2.407712583524436e-17,-2.407712583524436e-17,1.0,83,Figurative Language,benchmark_output/runs/first_full_trial/munch:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,newyorker_humor,accuracy,0.0,-0.06011117784189869,0.05297191311707076,0.8812323268127392,82,Humor,benchmark_output/runs/first_full_trial/newyorker_humor:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,nyt_connections,group_match_score,0.0,1.6051417223496235e-17,-1.6051417223496238e-17,1.0000000000000002,83,Problem Solving,benchmark_output/runs/first_full_trial/nyt_connections:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,ocw,group_match_score,0.0,1.3376181019580199e-17,-1.3376181019580199e-17,1.0,83,Problem Solving,benchmark_output/runs/first_full_trial/ocw:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,ocw_connections,exact_match,0.0,-1.0700944815664157e-17,1.070094481566416e-17,1.0000000000000002,83,Problem Solving,benchmark_output/runs/first_full_trial/ocw_connections:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,outline_to_story,rouge_1,0.0,-0.042728009712106954,0.04003009755216702,0.9368584640820403,82,Story / Narrative,benchmark_output/runs/first_full_trial/outline_to_story:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,permpst,pearson_correlation,0.0,-1.5048203647027723e-17,1.5048203647027723e-17,1.0,83,Story / Narrative,benchmark_output/runs/first_full_trial/permpst:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,poetmt,bleu_1,0.0,-0.023349401758669973,0.022972794095556772,0.9838707789173502,82,Story / Narrative,benchmark_output/runs/first_full_trial/poetmt:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,proparalogy,classification_macro_f1,0.0,-0.03537068901417663,0.03385344013678929,0.9571043448777821,82,Problem Solving,benchmark_output/runs/first_full_trial/proparalogy:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,pun_eval,pun_detection_rate,0.0,9.263005356059288e-16,-9.263005356059288e-16,1.0,83,Humor,benchmark_output/runs/first_full_trial/pun_eval:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,puntuguese,classification_macro_f1,0.0,-4.0128543058740596e-18,4.0128543058740596e-18,1.0,83,Humor,benchmark_output/runs/first_full_trial/puntuguese:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,riddlesense,classification_macro_f1,0.0,-0.08131675082499859,0.07282871115999358,0.8956175747445679,81,Problem Solving,benchmark_output/runs/first_full_trial/riddlesense:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,rpgbench,json_validity,0.6666666666666666,0.6666666666666659,6.404091349362184e-16,1.0000000000000002,82,,benchmark_output/runs/first_full_trial/rpgbench:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,scar,scar_concept_accuracy,0.3,0.3,5.35047240783208e-18,1.0,83,Problem Solving,benchmark_output/runs/first_full_trial/scar:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,schnovel,classification_macro_f1,0.16666666666666666,0.16666666666666663,5.551115123125783e-17,0.9999999999999998,83,STEM,benchmark_output/runs/first_full_trial/schnovel:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,science_analogies,science_analogies_bleu_4,0.0,-0.07556159403011131,0.06768168039031419,0.8957153598869688,81,STEM,benchmark_output/runs/first_full_trial/science_analogies:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,scimon,rouge_l,0.0,-0.04341482772834749,0.04058617771211206,0.9348459923891745,82,STEM,benchmark_output/runs/first_full_trial/scimon:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,sdat,sdat_score,0.0,-0.033837558727706996,0.032517505954606216,0.9609885339624136,82,Brainstorming,benchmark_output/runs/first_full_trial/sdat:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,showerthoughts,llm_judge_general_score,4.0,3.998317971169873,-0.017167668858828967,1.0047144068643048,81,Humor,benchmark_output/runs/first_full_trial/showerthoughts:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,simile_generation,simile_generation_bleu_1,0.0,-0.09274970351392221,0.07928381216735265,0.8548147235365744,81,Figurative Language,benchmark_output/runs/first_full_trial/simile_generation:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,speak_to_structure,validity,1.0,0.98942281189654,0.018068059126252638,0.992429049610819,82,STEM,benchmark_output/runs/first_full_trial/speak_to_structure:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,ss_gen,bleu_4,0.0032730434160219268,-0.0312187486681513,0.03321157459059344,0.9589920304882099,82,Story / Narrative,benchmark_output/runs/first_full_trial/ss_gen:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,story_generation_rocstories,bleu_4,2.2250738585072626e-308,-1.471379912153822e-17,1.471379912153822e-17,1.0,83,Story / Narrative,benchmark_output/runs/first_full_trial/story_generation_rocstories:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,story_quality,spearman_correlation,-1.6666666666666667,-1.6810592615426263,0.012941107678381018,0.9991365639327631,82,Story / Narrative,benchmark_output/runs/first_full_trial/story_quality:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,thenextchapter,bleu_4,1.483382572338175e-308,-2.6752362039160398e-17,2.6752362039160398e-17,1.0,83,Story / Narrative,benchmark_output/runs/first_full_trial/thenextchapter:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,tinyfabulist,grammar_score,7.0,7.0,-1.819160618662907e-16,1.0,83,Story / Narrative,benchmark_output/runs/first_full_trial/tinyfabulist:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,tinystories,tinystories_grammar_score,7.666666666666667,7.666666666666665,-3.069833543993656e-16,1.0000000000000002,83,Story / Narrative,benchmark_output/runs/first_full_trial/tinystories:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,ttcw,majority_accuracy,0.0,8.025708611748119e-18,-8.025708611748119e-18,1.0,83,Story / Narrative,benchmark_output/runs/first_full_trial/ttcw:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,twistlist,exact_match,0.0,2.2739507733286332e-17,-2.2739507733286338e-17,1.0000000000000002,83,Figurative Language,benchmark_output/runs/first_full_trial/twistlist:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,unfun_corpus,edit_distance,0.0,-0.15952269764468127,0.11398112271503859,0.7145135106034792,79,Humor,benchmark_output/runs/first_full_trial/unfun_corpus:model=openai_gpt-5-mini/stats.json
