model,dataset,n_items,mean_chars,empty_rate,short_rate,refusal_rate,repetitive_rate,audit_n,audit_on_task,audit_garbled,heur_issue,audit_issue,status
nex-agi/deepseek-v3.1-nex-n1,analobench,50,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
nousresearch/hermes-3-llama-3.1-405b,analobench,50,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
nousresearch/hermes-3-llama-3.1-70b,analobench,50,31.16,0.0,0.06,0.0,0.0,3.0,1.0,0.0,,,CLEAN
nousresearch/hermes-4-405b,analobench,50,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
nousresearch/hermes-4-70b,analobench,50,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
nvidia/nemotron-3-nano-30b-a3b,analobench,50,34.9,0.0,0.0,0.0,0.0,3.0,0.0,1.0,,on-task 0%; garbled 100%,AUDIT_ONLY
nvidia/nemotron-3-super-120b-a12b,analobench,50,2.4,0.0,0.96,0.0,0.0,3.0,1.0,0.0,,,CLEAN
nvidia/nemotron-nano-12b-v2-vl,analobench,50,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
nvidia/nemotron-nano-9b-v2,analobench,50,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-4.1,analobench,200,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-4.1-mini,analobench,200,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-4o,analobench,50,1.06,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-4o-mini,analobench,50,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-5.1,analobench,200,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-5.4,analobench,200,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-5.4-mini,analobench,200,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-5.4-nano,analobench,200,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-5.5,analobench,200,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
qwen/qwen-turbo,analobench,50,1.16,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
qwen/qwen3-14b,analobench,50,0.22,0.78,0.22,0.0,0.0,3.0,1.0,0.0,empty 78%,,HEURISTIC_ONLY
qwen/qwen3-next-80b-a3b-instruct,analobench,50,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
qwen/qwen3.5-flash-02-23,analobench,50,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
tencent/hunyuan-a13b-instruct,analobench,50,1.06,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
z-ai/glm-4.5v,analobench,200,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
z-ai/glm-4.6,analobench,200,9.55,0.0,0.715,0.0,0.0,3.0,1.0,0.0,,,CLEAN
z-ai/glm-4.7,analobench,50,2.0,0.0,0.98,0.0,0.0,3.0,1.0,0.0,,,CLEAN
z-ai/glm-5,analobench,200,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
z-ai/glm-5-turbo,analobench,50,1.12,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
z-ai/glm-5.1,analobench,50,0.94,0.06,0.94,0.0,0.0,3.0,1.0,0.0,,,CLEAN
ai21/jamba-large-1.7,arastories,50,1400.32,0.0,0.0,0.0,0.02,3.0,1.0,0.0,,,CLEAN
allenai/olmo-3.1-32b-instruct,arastories,50,1423.08,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
amazon/nova-2-lite-v1,arastories,200,1410.125,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
amazon/nova-lite-v1,arastories,200,1167.98,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
amazon/nova-micro-v1,arastories,50,1599.34,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
amazon/nova-pro-v1,arastories,50,1312.5,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-3.7-sonnet,arastories,50,1696.98,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-haiku-4.5,arastories,50,1315.92,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-opus-4.5,arastories,50,1345.16,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-opus-4.6,arastories,200,749.575,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-opus-4.6-fast,arastories,50,2456.66,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-opus-4.7,arastories,50,1473.4,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-sonnet-4,arastories,50,1180.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-sonnet-4.5,arastories,50,1193.06,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-sonnet-4.6,arastories,50,1591.88,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
arcee-ai/trinity-large-preview,arastories,50,1129.12,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
baidu/ernie-4.5-300b-a47b,arastories,200,1013.455,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
baidu/ernie-4.5-vl-424b-a47b,arastories,50,1831.36,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
deepcogito/cogito-v2.1-671b,arastories,50,1278.6,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
deepseek/deepseek-chat,arastories,50,1206.26,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
deepseek/deepseek-chat-v3-0324,arastories,50,1175.94,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
deepseek/deepseek-chat-v3.1,arastories,200,1118.9,0.025,0.0,0.0,0.005,3.0,1.0,0.0,,,CLEAN
deepseek/deepseek-v3.1-terminus,arastories,50,1778.72,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
deepseek/deepseek-v3.2,arastories,200,1264.75,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
deepseek/deepseek-v3.2-exp,arastories,200,1152.505,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemini-2.5-flash,arastories,200,1320.455,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemma-2-27b-it,arastories,50,1418.7,0.02,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemma-3-12b-it,arastories,50,2072.86,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemma-3-27b-it,arastories,200,1320.78,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemma-3-4b-it,arastories,50,2090.34,0.0,0.0,0.0,0.02,3.0,1.0,0.0,,,CLEAN
google/gemma-4-26b-a4b-it,arastories,50,1603.24,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemma-4-31b-it,arastories,50,1378.42,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
ibm-granite/granite-4.0-h-micro,arastories,50,1322.88,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-3-8b-instruct,arastories,50,2264.56,0.0,0.0,0.0,0.02,3.0,1.0,0.3333333333333333,,,CLEAN
meta-llama/llama-3.1-70b-instruct,arastories,50,1641.1,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-3.1-8b-instruct,arastories,50,2332.28,0.0,0.0,0.0,0.1,3.0,0.6666666666666666,0.3333333333333333,,,CLEAN
meta-llama/llama-3.2-11b-vision-instruct,arastories,200,961.415,0.0,0.0,0.0,0.015,3.0,1.0,0.3333333333333333,,,CLEAN
meta-llama/llama-3.2-3b-instruct,arastories,50,4597.0,0.0,0.0,0.0,0.02,3.0,0.6666666666666666,1.0,,garbled 100%,AUDIT_ONLY
meta-llama/llama-3.3-70b-instruct,arastories,200,1037.14,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-4-maverick,arastories,200,1044.295,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-4-scout,arastories,200,1146.28,0.0,0.0,0.0,0.005,3.0,1.0,0.0,,,CLEAN
minimax/minimax-01,arastories,50,1873.96,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
minimax/minimax-m2-her,arastories,50,6073.8,0.0,0.0,0.0,0.34,,,,,,AUDIT_MISSING
mistralai/ministral-8b-2512,arastories,50,2690.32,0.0,0.0,0.0,0.08,3.0,1.0,0.0,,,CLEAN
mistralai/mistral-large-2512,arastories,50,1915.96,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
mistralai/mistral-medium-3.1,arastories,50,1959.02,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
mistralai/mistral-nemo,arastories,50,1854.3,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
mistralai/mistral-small-3.1-24b-instruct,arastories,200,1486.785,0.0,0.0,0.0,0.0,3.0,0.6666666666666666,0.0,,,CLEAN
mistralai/mixtral-8x22b-instruct,arastories,50,1584.08,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
mistralai/pixtral-large-2411,arastories,50,1426.52,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
moonshotai/kimi-k2-0905,arastories,200,1299.45,0.0,0.0,0.0,0.005,3.0,1.0,0.0,,,CLEAN
moonshotai/kimi-k2.5,arastories,200,931.515,0.0,0.0,0.0,0.005,3.0,1.0,0.0,,,CLEAN
moonshotai/kimi-k2.6,arastories,50,1998.62,0.12,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
morph/morph-v3-fast,arastories,50,18335.38,0.0,0.0,0.0,0.02,3.0,0.0,0.0,,on-task 0%,AUDIT_ONLY
nex-agi/deepseek-v3.1-nex-n1,arastories,50,2034.72,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
nousresearch/hermes-3-llama-3.1-405b,arastories,50,1233.66,0.0,0.0,0.0,0.0,3.0,0.6666666666666666,0.0,,,CLEAN
nousresearch/hermes-3-llama-3.1-70b,arastories,50,5099.74,0.0,0.0,0.0,0.08,3.0,1.0,0.6666666666666666,,garbled 67%,AUDIT_ONLY
nousresearch/hermes-4-405b,arastories,50,1327.34,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
nousresearch/hermes-4-70b,arastories,50,1320.92,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
nvidia/nemotron-3-nano-30b-a3b,arastories,50,2744.74,0.0,0.0,0.0,0.0,3.0,0.6666666666666666,0.0,,,CLEAN
nvidia/nemotron-3-super-120b-a12b,arastories,50,2507.74,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
nvidia/nemotron-nano-12b-v2-vl,arastories,200,386.46,0.2,0.005,0.0,0.045,3.0,0.6666666666666666,0.3333333333333333,,,CLEAN
nvidia/nemotron-nano-9b-v2,arastories,50,2116.46,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-4.1,arastories,50,1204.18,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-4.1-mini,arastories,50,1011.66,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-4o,arastories,50,1266.22,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-4o-mini,arastories,50,1447.8,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-5.1,arastories,50,4002.6,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-5.4,arastories,50,1666.84,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-5.4-mini,arastories,50,1219.94,0.0,0.0,0.0,0.0,6.0,1.0,0.0,,,CLEAN
openai/gpt-5.4-nano,arastories,50,2154.42,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
openai/gpt-5.5,arastories,50,1543.06,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
qwen/qwen-turbo,arastories,50,1336.82,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
qwen/qwen3-14b,arastories,50,1434.08,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
qwen/qwen3-next-80b-a3b-instruct,arastories,50,2025.76,0.02,0.0,0.0,0.08,3.0,1.0,0.0,,,CLEAN
qwen/qwen3.5-flash-02-23,arastories,200,1131.4,0.0,0.0,0.0,0.015,3.0,1.0,0.0,,,CLEAN
tencent/hunyuan-a13b-instruct,arastories,50,1976.5,0.0,0.0,0.0,0.0,3.0,0.6666666666666666,0.0,,,CLEAN
z-ai/glm-4.5v,arastories,50,2198.36,0.0,0.0,0.0,0.0,3.0,1.0,0.3333333333333333,,,CLEAN
z-ai/glm-4.6,arastories,50,1766.86,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
z-ai/glm-4.7,arastories,50,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,empty 100%,,HEURISTIC_ONLY
z-ai/glm-5,arastories,50,1823.44,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
z-ai/glm-5-turbo,arastories,50,1831.34,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
z-ai/glm-5.1,arastories,200,558.32,0.335,0.005,0.0,0.0,3.0,1.0,0.0,empty 34%,,HEURISTIC_ONLY
ai21/jamba-large-1.7,arena_hard_creative,50,2470.82,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
allenai/olmo-3.1-32b-instruct,arena_hard_creative,50,2460.58,0.0,0.0,0.02,0.0,3.0,1.0,0.0,,,CLEAN
amazon/nova-2-lite-v1,arena_hard_creative,50,3847.46,0.0,0.0,0.02,0.0,3.0,1.0,0.0,,,CLEAN
amazon/nova-lite-v1,arena_hard_creative,50,2296.54,0.02,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
amazon/nova-micro-v1,arena_hard_creative,50,2208.48,0.02,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
amazon/nova-pro-v1,arena_hard_creative,50,2220.5,0.02,0.0,0.0,0.02,3.0,1.0,0.0,,,CLEAN
anthropic/claude-3.7-sonnet,arena_hard_creative,50,2521.28,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-haiku-4.5,arena_hard_creative,50,2759.78,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-opus-4.5,arena_hard_creative,50,2490.98,0.0,0.02,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-opus-4.6,arena_hard_creative,50,3072.72,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-opus-4.6-fast,arena_hard_creative,50,3199.94,0.0,0.02,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-opus-4.7,arena_hard_creative,50,2426.12,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-sonnet-4,arena_hard_creative,50,2651.24,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-sonnet-4.5,arena_hard_creative,50,2671.64,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-sonnet-4.6,arena_hard_creative,50,3129.76,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
arcee-ai/trinity-large-preview,arena_hard_creative,50,2025.26,0.0,0.02,0.0,0.0,3.0,1.0,0.0,,,CLEAN
baidu/ernie-4.5-300b-a47b,arena_hard_creative,200,1349.85,0.0,0.0,0.0,0.005,3.0,1.0,0.0,,,CLEAN
baidu/ernie-4.5-vl-424b-a47b,arena_hard_creative,50,2694.8,0.0,0.0,0.02,0.0,3.0,1.0,0.0,,,CLEAN
deepcogito/cogito-v2.1-671b,arena_hard_creative,50,1837.04,0.0,0.02,0.0,0.0,3.0,1.0,0.0,,,CLEAN
deepseek/deepseek-chat,arena_hard_creative,50,1818.14,0.0,0.04,0.0,0.0,3.0,1.0,0.0,,,CLEAN
deepseek/deepseek-chat-v3-0324,arena_hard_creative,50,1849.64,0.0,0.02,0.0,0.0,3.0,1.0,0.0,,,CLEAN
deepseek/deepseek-chat-v3.1,arena_hard_creative,50,3020.74,0.0,0.02,0.0,0.0,3.0,1.0,0.0,,,CLEAN
deepseek/deepseek-v3.1-terminus,arena_hard_creative,50,3336.8,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
deepseek/deepseek-v3.2,arena_hard_creative,200,1821.945,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
deepseek/deepseek-v3.2-exp,arena_hard_creative,200,1438.21,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemini-2.5-flash,arena_hard_creative,250,1546.112,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemma-2-27b-it,arena_hard_creative,50,1893.5,0.0,0.02,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemma-3-12b-it,arena_hard_creative,50,3722.36,0.0,0.02,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemma-3-27b-it,arena_hard_creative,50,3462.6,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemma-3-4b-it,arena_hard_creative,50,3039.24,0.0,0.02,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemma-4-26b-a4b-it,arena_hard_creative,50,2899.76,0.0,0.02,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemma-4-31b-it,arena_hard_creative,50,2780.94,0.0,0.02,0.0,0.0,3.0,1.0,0.0,,,CLEAN
ibm-granite/granite-4.0-h-micro,arena_hard_creative,50,1845.28,0.0,0.04,0.0,0.0,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-3-8b-instruct,arena_hard_creative,50,2164.94,0.0,0.02,0.0,0.02,3.0,1.0,0.3333333333333333,,,CLEAN
meta-llama/llama-3.1-70b-instruct,arena_hard_creative,50,1704.46,0.0,0.04,0.0,0.0,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-3.1-8b-instruct,arena_hard_creative,50,1744.84,0.0,0.02,0.02,0.02,3.0,0.6666666666666666,0.3333333333333333,,,CLEAN
meta-llama/llama-3.2-11b-vision-instruct,arena_hard_creative,50,1726.78,0.0,0.02,0.02,0.0,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-3.2-3b-instruct,arena_hard_creative,50,2085.98,0.0,0.0,0.02,0.02,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-3.3-70b-instruct,arena_hard_creative,200,1450.885,0.0,0.01,0.0,0.0,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-4-maverick,arena_hard_creative,50,1995.7,0.0,0.02,0.02,0.0,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-4-scout,arena_hard_creative,50,2030.2,0.0,0.02,0.0,0.0,3.0,1.0,0.0,,,CLEAN
minimax/minimax-01,arena_hard_creative,50,2627.86,0.0,0.02,0.0,0.0,3.0,1.0,0.0,,,CLEAN
minimax/minimax-m2-her,arena_hard_creative,50,1813.54,0.0,0.02,0.02,0.0,3.0,0.3333333333333333,0.3333333333333333,,on-task 33%,AUDIT_ONLY
mistralai/ministral-8b-2512,arena_hard_creative,50,3596.4,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
mistralai/mistral-large-2512,arena_hard_creative,50,3309.64,0.0,0.02,0.0,0.0,3.0,1.0,0.0,,,CLEAN
mistralai/mistral-medium-3.1,arena_hard_creative,50,3326.86,0.0,0.02,0.0,0.0,3.0,1.0,0.0,,,CLEAN
mistralai/mistral-nemo,arena_hard_creative,50,2011.2,0.0,0.04,0.0,0.0,3.0,1.0,0.0,,,CLEAN
