model,dataset,n_items,mean_chars,median_chars,empty_rate,short_rate,refusal_rate,repetitive_rate,issue,path
google/gemma-3-27b-it,chinese_homophonic_puns,50,1.72,2,0.32,0.68,0.0,0.0,empty 32%,modal_phase1c_n50/chinese_homophonic_puns:model=google_gemma-3-27b-it/scenario_state.json
google/gemma-3-27b-it,humor_transfer,50,5.68,10,0.44,0.56,0.0,0.0,empty 44%,modal_phase1c_n50/humor_transfer:model=google_gemma-3-27b-it/scenario_state.json
google/gemma-3-27b-it,lcc_metaphor,50,2.58,4,0.34,0.66,0.0,0.0,empty 34%,modal_phase1c_n50/lcc_metaphor:model=google_gemma-3-27b-it/scenario_state.json
google/gemma-3-27b-it,metaphor_generation,156,35.02564102564103,44,0.3653846153846153,0.0,0.0,0.0,empty 37%,openrouter_mm_promoted_scale_textcore_v1__openrouter_google_gemma_3_27b_it/metaphor_generation:model=google_gemma-3-27b-it/scenario_state.json
google/gemma-3-27b-it,moh_x,50,2.22,3,0.46,0.54,0.0,0.0,empty 46%,modal_phase1c_n50/moh_x:model=google_gemma-3-27b-it/scenario_state.json
google/gemma-3-27b-it,munch,50,0.48,0,0.52,0.48,0.0,0.0,empty 52%,modal_phase1c_n50/munch:model=google_gemma-3-27b-it/scenario_state.json
google/gemma-3-27b-it,scimon,50,83.2,2,0.34,0.28,0.0,0.0,empty 34%,modal_phase1c_n50/scimon:model=google_gemma-3-27b-it/scenario_state.json
google/gemma-3-27b-it,showerthoughts,50,69.68,99,0.48,0.02,0.0,0.0,empty 48%,modal_phase1c_n50/showerthoughts:model=google_gemma-3-27b-it/scenario_state.json
google/gemma-3-27b-it,simile_generation,50,27.08,0,0.66,0.0,0.0,0.0,empty 66%,modal_phase1c_n50/simile_generation:model=google_gemma-3-27b-it/scenario_state.json
google/gemma-3-27b-it,unfun_corpus,50,16.94,0,0.68,0.0,0.0,0.0,empty 68%,modal_phase1c_n50/unfun_corpus:model=google_gemma-3-27b-it/scenario_state.json
meta-llama/llama-3.1-8b-instruct,unfun_corpus,50,78.48,79,0.0,0.0,0.44,0.0,refusal 44%,modal_phase1c_n50/unfun_corpus:model=meta-llama_llama-3.1-8b-instruct/scenario_state.json
meta-llama/llama-3.2-11b-vision-instruct,irfl,200,0.0,0,1.0,0.0,0.0,0.0,empty 100%,openrouter_mm_promoted_scale_mmext_v1__openrouter_meta_llama_llama_3_2_11b_vision_instruct/irfl:model=meta-llama_llama-3.2-11b-vision-instruct/scenario_state.json
meta-llama/llama-3.2-11b-vision-instruct,unfun_corpus,50,88.5,91,0.0,0.0,0.44,0.0,refusal 44%,modal_phase1c_n50/unfun_corpus:model=meta-llama_llama-3.2-11b-vision-instruct/scenario_state.json
meta-llama/llama-3.2-3b-instruct,pron_vs_prompt,50,979.7,227,0.0,0.0,0.68,0.0,refusal 68%,modal_phase1c_n50/pron_vs_prompt:model=meta-llama_llama-3.2-3b-instruct/scenario_state.json
meta-llama/llama-3.2-3b-instruct,speak_to_structure,50,93.4,113,0.0,0.02,0.9,0.0,refusal 90%,modal_phase1c_n50/speak_to_structure:model=meta-llama_llama-3.2-3b-instruct/scenario_state.json
meta-llama/llama-3.2-3b-instruct,unfun_corpus,50,109.52,105,0.0,0.0,0.96,0.0,refusal 96%,modal_phase1c_n50/unfun_corpus:model=meta-llama_llama-3.2-3b-instruct/scenario_state.json
moonshotai/kimi-k2.6,story_quality,100,0.72,1,0.44,0.56,0.0,0.0,empty 44%,openrouter_text_promoted_scale_v1__openrouter_moonshotai_kimi_k2_6/story_quality:model=moonshotai_kimi-k2.6/scenario_state.json
morph/morph-v3-fast,outline_to_story,50,9108.58,147,0.4,0.0,0.0,0.02,empty 40%,modal_phase1c_n50/outline_to_story:model=morph_morph-v3-fast/scenario_state.json
morph/morph-v3-fast,poetmt,50,98.92,0,0.52,0.0,0.0,0.0,empty 52%,modal_phase1c_n50/poetmt:model=morph_morph-v3-fast/scenario_state.json
morph/morph-v3-fast,pron_vs_prompt,50,22615.06,303,0.4,0.0,0.0,0.0,empty 40%,modal_phase1c_n50/pron_vs_prompt:model=morph_morph-v3-fast/scenario_state.json
morph/morph-v3-fast,pun_eval,50,79.34,53,0.34,0.04,0.0,0.0,empty 34%,modal_phase1c_n50/pun_eval:model=morph_morph-v3-fast/scenario_state.json
morph/morph-v3-fast,riddlesense,50,155.9,219,0.38,0.0,0.0,0.0,empty 38%,modal_phase1c_n50/riddlesense:model=morph_morph-v3-fast/scenario_state.json
morph/morph-v3-fast,scar,50,54.52,0,0.6,0.02,0.0,0.0,empty 60%,modal_phase1c_n50/scar:model=morph_morph-v3-fast/scenario_state.json
morph/morph-v3-fast,science_analogies,50,19.74,0,0.54,0.0,0.0,0.0,empty 54%,modal_phase1c_n50/science_analogies:model=morph_morph-v3-fast/scenario_state.json
morph/morph-v3-fast,sdat,50,253.62,182,0.4,0.0,0.0,0.1,empty 40%,modal_phase1c_n50/sdat:model=morph_morph-v3-fast/scenario_state.json
morph/morph-v3-fast,showerthoughts,50,18303.16,163,0.0,0.08,0.0,0.86,repetitive 86%,modal_phase1c_n50/showerthoughts:model=morph_morph-v3-fast/scenario_state.json
morph/morph-v3-fast,simile_generation,50,35.2,31,0.48,0.0,0.0,0.0,empty 48%,modal_phase1c_n50/simile_generation:model=morph_morph-v3-fast/scenario_state.json
morph/morph-v3-fast,ss_gen,50,30296.46,0,0.52,0.0,0.0,0.0,empty 52%,modal_phase1c_n50/ss_gen:model=morph_morph-v3-fast/scenario_state.json
morph/morph-v3-fast,story_quality,50,282.1,200,0.38,0.0,0.0,0.0,empty 38%,modal_phase1c_n50/story_quality:model=morph_morph-v3-fast/scenario_state.json
morph/morph-v3-fast,tinyfabulist,50,26696.6,607,0.44,0.0,0.0,0.0,empty 44%,modal_phase1c_n50/tinyfabulist:model=morph_morph-v3-fast/scenario_state.json
morph/morph-v3-fast,twistlist,50,258.9,350,0.38,0.0,0.0,0.0,empty 38%,modal_phase1c_n50/twistlist:model=morph_morph-v3-fast/scenario_state.json
qwen/qwen3-14b,analobench,50,0.22,0,0.78,0.22,0.0,0.0,empty 78%,modal_phase1c_n50/analobench:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,brainteaser,50,0.16,0,0.84,0.16,0.0,0.0,empty 84%,modal_phase1c_n50/brainteaser:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,c3_crosstalk,50,159.66,145,0.34,0.0,0.0,0.0,empty 34%,modal_phase1c_n50/c3_crosstalk:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,chinese_homophonic_puns,50,0.1,0,0.94,0.06,0.0,0.0,empty 94%,modal_phase1c_n50/chinese_homophonic_puns:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,data_narrative,50,360.22,248,0.46,0.0,0.0,0.0,empty 46%,modal_phase1c_n50/data_narrative:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,futuregen,50,170.78,0,0.78,0.0,0.0,0.0,empty 78%,modal_phase1c_n50/futuregen:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,grapheval_ai_researcher,9,8.333333333333334,0,0.7777777777777778,0.0,0.0,0.0,empty 78%,modal_phase1c_n50/grapheval_ai_researcher:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,grapheval_iclr,50,19.9,25,0.46,0.02,0.0,0.0,empty 46%,modal_phase1c_n50/grapheval_iclr:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,grapheval_review_advisor,50,22.92,32,0.4,0.0,0.0,0.0,empty 40%,modal_phase1c_n50/grapheval_review_advisor:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,historical_analogy,20,1.2,0,0.9,0.1,0.0,0.0,empty 90%,modal_phase1c_n50/historical_analogy:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,humor_transfer,50,9.38,0,0.68,0.02,0.0,0.0,empty 68%,modal_phase1c_n50/humor_transfer:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,lcc_metaphor,50,6.94,0,0.72,0.18,0.0,0.0,empty 72%,modal_phase1c_n50/lcc_metaphor:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,liveideabench,50,316.04,0,0.52,0.0,0.0,0.0,empty 52%,modal_phase1c_n50/liveideabench:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,meta4xnli,50,1.38,0,0.88,0.12,0.0,0.0,empty 88%,modal_phase1c_n50/meta4xnli:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,metaphor_generation,50,6.08,0,0.86,0.0,0.0,0.0,empty 86%,modal_phase1c_n50/metaphor_generation:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,metaphoric_analogies,50,243.12,50,0.48,0.0,0.0,0.0,empty 48%,modal_phase1c_n50/metaphoric_analogies:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,moh_x,50,0.16,0,0.92,0.08,0.0,0.0,empty 92%,modal_phase1c_n50/moh_x:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,mops,50,198.72,236,0.42,0.0,0.0,0.0,empty 42%,modal_phase1c_n50/mops:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,munch,50,0.14,0,0.86,0.14,0.0,0.0,empty 86%,modal_phase1c_n50/munch:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,newyorker_humor,50,0.12,0,0.88,0.12,0.0,0.0,empty 88%,modal_phase1c_n50/newyorker_humor:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,nyt_connections,50,26.2,0,0.76,0.0,0.0,0.0,empty 76%,modal_phase1c_n50/nyt_connections:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,ocw,50,24.1,0,0.82,0.0,0.0,0.0,empty 82%,modal_phase1c_n50/ocw:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,ocw_connections,50,223.84,0,0.52,0.0,0.0,0.0,empty 52%,modal_phase1c_n50/ocw_connections:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,permpst,50,310.4,213,0.44,0.0,0.0,0.0,empty 44%,modal_phase1c_n50/permpst:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,poetmt,50,253.88,232,0.38,0.0,0.0,0.0,empty 38%,modal_phase1c_n50/poetmt:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,proparalogy,50,0.18,0,0.82,0.18,0.0,0.0,empty 82%,modal_phase1c_n50/proparalogy:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,pun_eval,50,8.4,0,0.9,0.0,0.0,0.0,empty 90%,modal_phase1c_n50/pun_eval:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,puntuguese,50,1.38,0,0.54,0.46,0.0,0.0,empty 54%,modal_phase1c_n50/puntuguese:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,riddlesense,50,0.2,0,0.8,0.2,0.0,0.0,empty 80%,modal_phase1c_n50/riddlesense:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,scar,50,43.48,0,0.56,0.02,0.0,0.0,empty 56%,modal_phase1c_n50/scar:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,schnovel,50,1.34,0,0.56,0.44,0.0,0.0,empty 56%,modal_phase1c_n50/schnovel:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,science_analogies,50,32.6,0,0.8,0.0,0.0,0.0,empty 80%,modal_phase1c_n50/science_analogies:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,scimon,50,23.58,0,0.9,0.0,0.0,0.0,empty 90%,modal_phase1c_n50/scimon:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,sdat,50,41.06,0,0.64,0.0,0.0,0.0,empty 64%,modal_phase1c_n50/sdat:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,showerthoughts,50,7.54,0,0.94,0.0,0.0,0.0,empty 94%,modal_phase1c_n50/showerthoughts:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,simile_generation,50,5.72,0,0.92,0.0,0.0,0.0,empty 92%,modal_phase1c_n50/simile_generation:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,slang_generation,50,25.86,0,0.84,0.0,0.0,0.0,empty 84%,modal_phase1c_n50/slang_generation:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,speak_to_structure,50,7.22,0,0.84,0.04,0.0,0.02,empty 84%,modal_phase1c_n50/speak_to_structure:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,ss_gen,50,306.38,140,0.36,0.0,0.0,0.0,empty 36%,modal_phase1c_n50/ss_gen:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,thenextchapter,50,314.04,416,0.34,0.02,0.0,0.0,empty 34%,modal_phase1c_n50/thenextchapter:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,twistlist,50,16.58,0,0.76,0.0,0.0,0.0,empty 76%,modal_phase1c_n50/twistlist:model=qwen_qwen3-14b/scenario_state.json
qwen/qwen3-14b,unfun_corpus,50,6.64,0,0.92,0.0,0.0,0.0,empty 92%,modal_phase1c_n50/unfun_corpus:model=qwen_qwen3-14b/scenario_state.json
tencent/hunyuan-a13b-instruct,newyorker_humor,50,0.0,0,1.0,0.0,0.0,0.0,empty 100%,modal_phase1c_n50/newyorker_humor:model=tencent_hunyuan-a13b-instruct/scenario_state.json
z-ai/glm-4.5v,data_narrative,50,49.02,0,0.92,0.0,0.0,0.0,empty 92%,modal_phase1c_n50/data_narrative:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,fig_qa,50,303.14,412,0.36,0.0,0.0,0.0,empty 36%,modal_phase1c_n50/fig_qa:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,futuregen,50,111.44,71,0.32,0.0,0.0,0.0,empty 32%,modal_phase1c_n50/futuregen:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,grapheval_iclr,50,10.62,0,0.74,0.0,0.0,0.0,empty 74%,modal_phase1c_n50/grapheval_iclr:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,grapheval_review_advisor,50,4.06,0,0.9,0.0,0.0,0.0,empty 90%,modal_phase1c_n50/grapheval_review_advisor:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,historical_analogy,20,4.7,0,0.75,0.1,0.0,0.0,empty 75%,modal_phase1c_n50/historical_analogy:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,humor_transfer,50,5.64,9,0.32,0.68,0.0,0.0,empty 32%,modal_phase1c_n50/humor_transfer:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,hypobench,7,582.8571428571429,0,0.7142857142857143,0.0,0.0,0.0,empty 71%,modal_phase1c_n50/hypobench:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,lcc_metaphor,50,47.92,69,0.36,0.0,0.0,0.0,empty 36%,modal_phase1c_n50/lcc_metaphor:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,liveideabench,50,76.88,0,0.86,0.0,0.0,0.0,empty 86%,modal_phase1c_n50/liveideabench:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,meta4xnli,50,15.1,0,0.56,0.16,0.0,0.0,empty 56%,modal_phase1c_n50/meta4xnli:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,metaphoric_analogies,50,241.6,0,0.72,0.06,0.0,0.0,empty 72%,modal_phase1c_n50/metaphoric_analogies:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,mops,50,225.5,304,0.36,0.0,0.0,0.0,empty 36%,modal_phase1c_n50/mops:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,newyorker_humor,50,0.42,0,0.58,0.42,0.0,0.0,empty 58%,modal_phase1c_n50/newyorker_humor:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,nyt_connections,50,38.6,0,0.62,0.0,0.0,0.0,empty 62%,modal_phase1c_n50/nyt_connections:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,ocw_connections,50,120.06,0,0.6,0.0,0.0,0.0,empty 60%,modal_phase1c_n50/ocw_connections:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,outline_to_story,50,1857.34,1851,0.34,0.0,0.0,0.0,empty 34%,modal_phase1c_n50/outline_to_story:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,permpst,50,237.0,0,0.7,0.0,0.0,0.0,empty 70%,modal_phase1c_n50/permpst:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,poetmt,50,277.98,164,0.48,0.0,0.0,0.0,empty 48%,modal_phase1c_n50/poetmt:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,pron_vs_prompt,50,956.28,0,0.78,0.0,0.0,0.0,empty 78%,modal_phase1c_n50/pron_vs_prompt:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,proparalogy,50,5.82,0,0.78,0.0,0.0,0.0,empty 78%,modal_phase1c_n50/proparalogy:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,pun_eval,50,59.02,88,0.48,0.0,0.0,0.0,empty 48%,modal_phase1c_n50/pun_eval:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,puntuguese,50,2.0,0,0.56,0.44,0.0,0.0,empty 56%,modal_phase1c_n50/puntuguese:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,riddlesense,50,14.68,20,0.32,0.08,0.0,0.0,empty 32%,modal_phase1c_n50/riddlesense:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,scar,50,78.56,78,0.32,0.0,0.0,0.0,empty 32%,modal_phase1c_n50/scar:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,schnovel,50,763.22,0,0.56,0.06,0.0,0.0,empty 56%,modal_phase1c_n50/schnovel:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,science_analogies,50,24.18,0,0.74,0.0,0.0,0.0,empty 74%,modal_phase1c_n50/science_analogies:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,scimon,50,144.54,183,0.32,0.0,0.0,0.0,empty 32%,modal_phase1c_n50/scimon:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,sdat,50,146.2,0,0.72,0.0,0.0,0.0,empty 72%,modal_phase1c_n50/sdat:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,showerthoughts,50,98.36,117,0.32,0.0,0.0,0.12,empty 32%,modal_phase1c_n50/showerthoughts:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,simile_generation,50,13.88,0,0.82,0.0,0.0,0.0,empty 82%,modal_phase1c_n50/simile_generation:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,slang_generation,50,77.02,0,0.64,0.0,0.0,0.0,empty 64%,modal_phase1c_n50/slang_generation:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,speak_to_structure,50,48.66,30,0.44,0.02,0.0,0.06,empty 44%,modal_phase1c_n50/speak_to_structure:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,ss_gen,50,234.36,0,0.82,0.0,0.0,0.0,empty 82%,modal_phase1c_n50/ss_gen:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,story_quality,50,0.28,0,0.72,0.28,0.0,0.0,empty 72%,modal_phase1c_n50/story_quality:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,thenextchapter,50,87.02,0,0.84,0.0,0.0,0.0,empty 84%,modal_phase1c_n50/thenextchapter:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,tinyfabulist,50,650.1,0,0.54,0.0,0.0,0.0,empty 54%,modal_phase1c_n50/tinyfabulist:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,twistlist,50,95.9,0,0.76,0.0,0.0,0.0,empty 76%,modal_phase1c_n50/twistlist:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.5v,unfun_corpus,50,36.68,44,0.32,0.0,0.0,0.0,empty 32%,modal_phase1c_n50/unfun_corpus:model=z-ai_glm-4.5v/scenario_state.json
z-ai/glm-4.6,chinese_homophonic_puns,50,0.42,0,0.86,0.14,0.0,0.0,empty 86%,modal_phase1c_n50/chinese_homophonic_puns:model=z-ai_glm-4.6/scenario_state.json
z-ai/glm-4.6,data_narrative,50,297.86,0,0.58,0.0,0.0,0.0,empty 58%,modal_phase1c_n50/data_narrative:model=z-ai_glm-4.6v/scenario_state.json
z-ai/glm-4.6,grapheval_review_advisor,50,20.6,0,0.54,0.02,0.0,0.0,empty 54%,modal_phase1c_n50/grapheval_review_advisor:model=z-ai_glm-4.6v/scenario_state.json
z-ai/glm-4.6,historical_analogy,20,10.85,11,0.4,0.4,0.0,0.0,empty 40%,modal_phase1c_n50/historical_analogy:model=z-ai_glm-4.6/scenario_state.json
z-ai/glm-4.6,humor_transfer,50,3.74,0,0.54,0.46,0.0,0.0,empty 54%,modal_phase1c_n50/humor_transfer:model=z-ai_glm-4.6/scenario_state.json
z-ai/glm-4.6,irfl,50,0.0,0,1.0,0.0,0.0,0.0,empty 100%,modal_phase1c_n50_mmext/irfl:model=z-ai_glm-4.6v/scenario_state.json
z-ai/glm-4.6,lcc_metaphor,50,2.46,0,0.9,0.06,0.0,0.0,empty 90%,modal_phase1c_n50/lcc_metaphor:model=z-ai_glm-4.6v/scenario_state.json
z-ai/glm-4.6,meta4xnli,50,0.0,0,1.0,0.0,0.0,0.0,empty 100%,modal_phase1c_n50/meta4xnli:model=z-ai_glm-4.6v/scenario_state.json
z-ai/glm-4.6,metaphoric_analogies,200,25.585,3,0.49,0.1,0.0,0.0,empty 49%,openrouter_mm_promoted_scale_textcore_v1__openrouter_z_ai_glm_4_6v/metaphoric_analogies:model=z-ai_glm-4.6v/scenario_state.json
z-ai/glm-4.6,moh_x,50,0.64,0,0.72,0.28,0.0,0.0,empty 72%,modal_phase1c_n50/moh_x:model=z-ai_glm-4.6/scenario_state.json
z-ai/glm-4.6,munch,50,0.42,0,0.58,0.42,0.0,0.0,empty 58%,modal_phase1c_n50/munch:model=z-ai_glm-4.6/scenario_state.json
z-ai/glm-4.6,newyorker_humor,50,0.0,0,1.0,0.0,0.0,0.0,empty 100%,modal_phase1c_n50/newyorker_humor:model=z-ai_glm-4.6v/scenario_state.json
z-ai/glm-4.6,ocw,50,6.68,0,0.96,0.0,0.0,0.0,empty 96%,modal_phase1c_n50/ocw:model=z-ai_glm-4.6v/scenario_state.json
z-ai/glm-4.6,ocw_connections,50,6.08,0,0.98,0.0,0.0,0.0,empty 98%,modal_phase1c_n50/ocw_connections:model=z-ai_glm-4.6v/scenario_state.json
z-ai/glm-4.6,poetmt,50,40.66,0,0.94,0.0,0.0,0.0,empty 94%,modal_phase1c_n50/poetmt:model=z-ai_glm-4.6v/scenario_state.json
z-ai/glm-4.6,pun_eval,50,5.26,0,0.96,0.0,0.0,0.0,empty 96%,modal_phase1c_n50/pun_eval:model=z-ai_glm-4.6v/scenario_state.json
