scenario,model_id,run_suite,n_items,mean_chars,median_chars,min_chars,empty_rate,short_rate,refusal_rate,truncated_rate,finish_none_rate,repetitive_rate,fr_dist,path,n_flag_axes,flag
meta4xnli,arcee-ai_trinity-large-preview,openrouter_text_promoted_scale_v1__openrouter_arcee_ai_trinity_large_preview,200,39.275,47,10,0.0,0.31,0.0,0.69,0.0,0.0,"{'length': 138, 'stop': 62}",openrouter_text_promoted_scale_v1__openrouter_arcee_ai_trinity_large_preview/meta4xnli:model=arcee-ai_trinity-large-preview/scenario_state.json,0,False
puntuguese,deepseek_deepseek-chat-v3-0324,openrouter_text_promoted_scale_v1__openrouter_deepseek_deepseek_chat_v3_0324,200,5.985,6,3,0.0,1.0,0.0,0.285,0.0,0.0,"{'stop': 143, 'length': 57}",openrouter_text_promoted_scale_v1__openrouter_deepseek_deepseek_chat_v3_0324/puntuguese:model=deepseek_deepseek-chat-v3-0324/scenario_state.json,1,True
lcc_metaphor,arcee-ai_trinity-large-preview,openrouter_text_promoted_scale_v1__openrouter_arcee_ai_trinity_large_preview,200,70.825,70,52,0.0,0.0,0.0,0.0,1.0,0.0,{'None': 200},openrouter_text_promoted_scale_v1__openrouter_arcee_ai_trinity_large_preview/lcc_metaphor:model=arcee-ai_trinity-large-preview/scenario_state.json,1,True
puzzleworld,z-ai_glm-4.6v,openrouter_mm_promoted_scale_mmext_v1__openrouter_z_ai_glm_4_6v,200,20.3,14,7,0.0,0.875,0.0,0.0,0.0,0.0,{'stop': 200},openrouter_mm_promoted_scale_mmext_v1__openrouter_z_ai_glm_4_6v/puzzleworld:model=z-ai_glm-4.6v/scenario_state.json,1,True
puntuguese,meta-llama_llama-4-scout,openrouter_mm_promoted_scale_textcore_v1__openrouter_meta_llama_llama_4_scout,200,5.925,6,0,0.015,0.985,0.0,0.3,0.0,0.0,"{'stop': 140, 'length': 60}",openrouter_mm_promoted_scale_textcore_v1__openrouter_meta_llama_llama_4_scout/puntuguese:model=meta-llama_llama-4-scout/scenario_state.json,1,True
yesbut,xiaomi_mimo-v2-omni,openrouter_mm_promoted_scale_mmext_v1__openrouter_xiaomi_mimo_v2_omni,200,144.36,141,66,0.0,0.0,0.0,0.0,1.0,0.0,{'None': 200},openrouter_mm_promoted_scale_mmext_v1__openrouter_xiaomi_mimo_v2_omni/yesbut:model=xiaomi_mimo-v2-omni/scenario_state.json,1,True
ss_gen,qwen_qwen3-max-thinking,openrouter_text_promoted_scale_v1__openrouter_qwen_qwen3_max_thinking,200,1307.105,1307,1000,0.0,0.0,0.0,0.0,0.0,0.0,{'stop': 200},openrouter_text_promoted_scale_v1__openrouter_qwen_qwen3_max_thinking/ss_gen:model=qwen_qwen3-max-thinking/scenario_state.json,0,False
nyt_connections,bytedance-seed_seed-1.6,openrouter_text_promoted_scale_v1__openrouter_bytedance_seed_seed_1_6,200,102.595,101,60,0.0,0.0,0.0,0.0,0.0,0.0,{'stop': 200},openrouter_text_promoted_scale_v1__openrouter_bytedance_seed_seed_1_6/nyt_connections:model=bytedance-seed_seed-1.6/scenario_state.json,0,False
crowd_vote,google_gemini-3.1-flash-lite-preview,direct_google_gemini_reset_textcore_v1__google_gemini_3_1_flash_lite_preview,200,183.205,221,25,0.0,0.0,0.0,0.0,0.0,0.0,{'stop': 200},direct_google_gemini_reset_textcore_v1__google_gemini_3_1_flash_lite_preview/crowd_vote:model=google_gemini-3.1-flash-lite-preview/scenario_state.json,0,False
grapheval_review_advisor,mistralai_mistral-saba,openrouter_text_promoted_scale_v1__openrouter_mistralai_mistral_saba,200,38.36,41,31,0.0,0.0,0.0,0.0,0.0,0.0,{'stop': 200},openrouter_text_promoted_scale_v1__openrouter_mistralai_mistral_saba/grapheval_review_advisor:model=mistralai_mistral-saba/scenario_state.json,0,False
thenextchapter,rekaai_reka-edge,openrouter_text_promoted_scale_v1__openrouter_rekaai_reka_edge,200,393.65,384,98,0.0,0.0,0.0,0.0,0.0,0.0,{'stop': 200},openrouter_text_promoted_scale_v1__openrouter_rekaai_reka_edge/thenextchapter:model=rekaai_reka-edge/scenario_state.json,0,False
ocw_connections,mistralai_mistral-large-2512,openrouter_mm_promoted_scale_textcore_v1__openrouter_mistralai_mistral_large_2512,200,957.28,779,342,0.0,0.0,0.0,0.135,0.0,0.0,"{'stop': 173, 'length': 27}",openrouter_mm_promoted_scale_textcore_v1__openrouter_mistralai_mistral_large_2512/ocw_connections:model=mistralai_mistral-large-2512/scenario_state.json,0,False
twistlist,arcee-ai_trinity-large-preview,openrouter_text_promoted_scale_v1__openrouter_arcee_ai_trinity_large_preview,200,134.355,98,32,0.0,0.0,0.0,0.0,0.0,0.005,{'stop': 200},openrouter_text_promoted_scale_v1__openrouter_arcee_ai_trinity_large_preview/twistlist:model=arcee-ai_trinity-large-preview/scenario_state.json,0,False
critics_story,qwen_qwen3-vl-8b-instruct,openrouter_mm_promoted_scale_textcore_v1__openrouter_qwen_qwen3_vl_8b_instruct,200,2191.875,2218,1452,0.0,0.0,0.0,0.19,0.0,0.0,"{'stop': 162, 'length': 38}",openrouter_mm_promoted_scale_textcore_v1__openrouter_qwen_qwen3_vl_8b_instruct/critics_story:model=qwen_qwen3-vl-8b-instruct/scenario_state.json,0,False
balancecc_prompt_generation,google_gemini-3.1-flash-lite-preview,direct_google_gemini_reset_textcore_v1__google_gemini_3_1_flash_lite_preview,200,179.91,182,55,0.0,0.0,0.0,0.0,0.0,0.0,{'stop': 200},direct_google_gemini_reset_textcore_v1__google_gemini_3_1_flash_lite_preview/balancecc_prompt_generation:model=google_gemini-3.1-flash-lite-preview/scenario_state.json,0,False
grapheval_review_advisor,mistralai_mistral-small-3.1-24b-instruct,openrouter_text_promoted_scale_v1__openrouter_mistralai_mistral_small_3_1_24b_instruct,200,16.0,16,15,0.0,1.0,0.0,0.0,1.0,0.0,{'None': 200},openrouter_text_promoted_scale_v1__openrouter_mistralai_mistral_small_3_1_24b_instruct/grapheval_review_advisor:model=mistralai_mistral-small-3.1-24b-instruct/scenario_state.json,2,True
yesbut,x-ai_grok-4,openrouter_mm_promoted_scale_mmext_v1__openrouter_x_ai_grok_4,200,290.815,292,37,0.0,0.0,0.0,0.0,1.0,0.0,{'None': 200},openrouter_mm_promoted_scale_mmext_v1__openrouter_x_ai_grok_4/yesbut:model=x-ai_grok-4/scenario_state.json,1,True
alpaca_eval_2,qwen_qwen3-max-thinking,openrouter_text_promoted_scale_v1__openrouter_qwen_qwen3_max_thinking,200,2066.6,1857,3,0.0,0.005,0.0,0.1,0.0,0.02,"{'length': 20, 'stop': 180}",openrouter_text_promoted_scale_v1__openrouter_qwen_qwen3_max_thinking/alpaca_eval_2:model=qwen_qwen3-max-thinking/scenario_state.json,0,False
alpaca_eval_2,nvidia_llama-3.3-nemotron-super-49b-v1.5,openrouter_text_promoted_scale_v1__openrouter_nvidia_llama_3_3_nemotron_super_49b_v1_5,200,725.26,407,0,0.36,0.0,0.0,0.745,0.0,0.005,"{'length': 149, 'stop': 51}",openrouter_text_promoted_scale_v1__openrouter_nvidia_llama_3_3_nemotron_super_49b_v1_5/alpaca_eval_2:model=nvidia_llama-3.3-nemotron-super-49b-v1.5/scenario_state.json,0,False
outline_to_story,meta-llama_llama-3.3-70b-instruct,openrouter_text_promoted_scale_v1__openrouter_meta_llama_llama_3_3_70b_instruct,200,3301.795,3652,724,0.0,0.0,0.0,0.255,0.0,0.0,"{'stop': 149, 'length': 51}",openrouter_text_promoted_scale_v1__openrouter_meta_llama_llama_3_3_70b_instruct/outline_to_story:model=meta-llama_llama-3.3-70b-instruct/scenario_state.json,0,False
mars,z-ai_glm-4.6v,openrouter_mm_promoted_scale_mmext_v1__openrouter_z_ai_glm_4_6v,200,10.225,12,2,0.0,1.0,0.0,0.0,1.0,0.0,{'None': 200},openrouter_mm_promoted_scale_mmext_v1__openrouter_z_ai_glm_4_6v/mars:model=z-ai_glm-4.6v/scenario_state.json,2,True
unfun_corpus,qwen_qwen-vl-max,openrouter_mm_promoted_scale_textcore_v1__openrouter_qwen_qwen_vl_max,200,68.685,67,30,0.0,0.0,0.0,0.0,1.0,0.0,{'None': 200},openrouter_mm_promoted_scale_textcore_v1__openrouter_qwen_qwen_vl_max/unfun_corpus:model=qwen_qwen-vl-max/scenario_state.json,1,True
meta4xnli,xiaomi_mimo-v2-flash,openrouter_text_promoted_scale_v1__openrouter_xiaomi_mimo_v2_flash,200,9.91,10,1,0.0,1.0,0.0,0.0,0.0,0.0,{'stop': 200},openrouter_text_promoted_scale_v1__openrouter_xiaomi_mimo_v2_flash/meta4xnli:model=xiaomi_mimo-v2-flash/scenario_state.json,1,True
arn,google_gemini-3.1-flash-lite-preview,direct_google_gemini_reset_textcore_v1__google_gemini_3_1_flash_lite_preview,200,234.835,231,166,0.0,0.0,0.0,0.04,0.0,0.0,"{'stop': 192, 'length': 8}",direct_google_gemini_reset_textcore_v1__google_gemini_3_1_flash_lite_preview/arn:model=google_gemini-3.1-flash-lite-preview/scenario_state.json,0,False
amuse_chord_generation,qwen_qwen3-vl-8b-instruct,openrouter_text_promoted_scale_v1__openrouter_qwen_qwen3_vl_8b_instruct,200,700.42,627,232,0.0,0.0,0.0,0.09,0.0,0.15,"{'stop': 182, 'length': 18}",openrouter_text_promoted_scale_v1__openrouter_qwen_qwen3_vl_8b_instruct/amuse_chord_generation:model=qwen_qwen3-vl-8b-instruct/scenario_state.json,0,False
alpaca_eval_2,qwen_qwen3-vl-8b-instruct,openrouter_mm_promoted_scale_textcore_v1__openrouter_qwen_qwen3_vl_8b_instruct,200,2638.375,2719,3,0.0,0.01,0.0,0.265,0.0,0.025,"{'length': 53, 'stop': 147}",openrouter_mm_promoted_scale_textcore_v1__openrouter_qwen_qwen3_vl_8b_instruct/alpaca_eval_2:model=qwen_qwen3-vl-8b-instruct/scenario_state.json,0,False
alpaca_eval_2,xiaomi_mimo-v2.5-pro,openrouter_text_admission_scale_v1__openrouter_xiaomi_mimo_v2_5_pro,200,1595.305,1415,0,0.035,0.01,0.0,0.15,0.0,0.015,"{'length': 30, 'stop': 170}",openrouter_text_admission_scale_v1__openrouter_xiaomi_mimo_v2_5_pro/alpaca_eval_2:model=xiaomi_mimo-v2.5-pro/scenario_state.json,0,False
pun_eval,qwen_qwen-vl-max,openrouter_mm_promoted_scale_textcore_v1__openrouter_qwen_qwen_vl_max,200,117.35,109,72,0.0,0.0,0.0,0.005,0.0,0.0,"{'stop': 199, 'length': 1}",openrouter_mm_promoted_scale_textcore_v1__openrouter_qwen_qwen_vl_max/pun_eval:model=qwen_qwen-vl-max/scenario_state.json,0,False
geo_story,z-ai_glm-5.1,openrouter_text_promoted_reset_v1__openrouter_z_ai_glm_5_1,200,1756.13,1502,0,0.44,0.0,0.0,0.86,0.0,0.0,"{'length': 172, 'stop': 28}",openrouter_text_promoted_reset_v1__openrouter_z_ai_glm_5_1/geo_story:model=z-ai_glm-5.1/scenario_state.json,0,False
permpst,mistralai_mixtral-8x7b-instruct,openrouter_text_promoted_scale_v1__openrouter_mistralai_mixtral_8x7b_instruct,200,757.01,763,76,0.0,0.0,0.0,0.0,0.0,0.0,{'stop': 200},openrouter_text_promoted_scale_v1__openrouter_mistralai_mixtral_8x7b_instruct/permpst:model=mistralai_mixtral-8x7b-instruct/scenario_state.json,0,False
esp_dataset,xiaomi_mimo-v2.5,openrouter_mm_promoted_scale_mmext_v1__openrouter_xiaomi_mimo_v2_5,200,270.28,277,12,0.0,0.005,0.0,0.0,1.0,0.0,{'None': 200},openrouter_mm_promoted_scale_mmext_v1__openrouter_xiaomi_mimo_v2_5/esp_dataset:model=xiaomi_mimo-v2.5/scenario_state.json,1,True
creativemath,x-ai_grok-4.20,openrouter_mm_promoted_scale_textcore_v1__openrouter_x_ai_grok_4_20,200,1962.785,1877,311,0.0,0.0,0.0,0.325,0.0,0.0,"{'stop': 135, 'length': 65}",openrouter_mm_promoted_scale_textcore_v1__openrouter_x_ai_grok_4_20/creativemath:model=x-ai_grok-4.20/scenario_state.json,0,False
newyorker_humor,meta-llama_llama-4-scout,openrouter_mm_promoted_scale_textcore_v1__openrouter_meta_llama_llama_4_scout,200,0.99,1,0,0.01,0.99,0.0,0.0,0.0,0.0,{'stop': 200},openrouter_mm_promoted_scale_textcore_v1__openrouter_meta_llama_llama_4_scout/newyorker_humor:model=meta-llama_llama-4-scout/scenario_state.json,1,True
arastories,deepseek_deepseek-chat-v3.1,openrouter_text_promoted_scale_v1__openrouter_deepseek_deepseek_chat_v3_1,200,1118.9,1169,0,0.025,0.0,0.0,0.84,0.025,0.005,"{'length': 168, 'stop': 27, 'None': 5}",openrouter_text_promoted_scale_v1__openrouter_deepseek_deepseek_chat_v3_1/arastories:model=deepseek_deepseek-chat-v3.1/scenario_state.json,0,False
permpst,qwen_qwen3.5-9b,openrouter_mm_promoted_scale_textcore_v1__openrouter_qwen_qwen3_5_9b,200,792.51,791,180,0.0,0.0,0.0,0.0,0.0,0.0,{'stop': 200},openrouter_mm_promoted_scale_textcore_v1__openrouter_qwen_qwen3_5_9b/permpst:model=qwen_qwen3.5-9b/scenario_state.json,0,False
geo_story,qwen_qwen3-max-thinking,openrouter_text_promoted_scale_v1__openrouter_qwen_qwen3_max_thinking,200,2209.025,2214,796,0.0,0.0,0.0,0.92,0.0,0.0,"{'stop': 16, 'length': 184}",openrouter_text_promoted_scale_v1__openrouter_qwen_qwen3_max_thinking/geo_story:model=qwen_qwen3-max-thinking/scenario_state.json,0,False
fann_or_flop,google_gemini-3-flash-preview,openrouter_mm_promoted_textcore_v1__openrouter_google_gemini_3_flash_preview,200,3621.425,3659,3159,0.0,0.0,0.0,0.855,0.0,0.0,"{'length': 171, 'stop': 29}",openrouter_mm_promoted_textcore_v1__openrouter_google_gemini_3_flash_preview/fann_or_flop:model=google_gemini-3-flash-preview/scenario_state.json,0,False
critics_story,mistralai_mistral-small-3.1-24b-instruct,openrouter_text_promoted_scale_v1__openrouter_mistralai_mistral_small_3_1_24b_instruct,200,14.065,13,13,0.0,1.0,0.0,0.0,1.0,0.0,{'None': 200},openrouter_text_promoted_scale_v1__openrouter_mistralai_mistral_small_3_1_24b_instruct/critics_story:model=mistralai_mistral-small-3.1-24b-instruct/scenario_state.json,2,True
esp_dataset,x-ai_grok-4,openrouter_mm_promoted_scale_mmext_v1__openrouter_x_ai_grok_4,200,285.35,260,29,0.0,0.0,0.0,0.0,1.0,0.0,{'None': 200},openrouter_mm_promoted_scale_mmext_v1__openrouter_x_ai_grok_4/esp_dataset:model=x-ai_grok-4/scenario_state.json,1,True
fig_qa,rekaai_reka-edge,openrouter_text_promoted_scale_v1__openrouter_rekaai_reka_edge,200,28.76,27,1,0.0,0.12,0.0,0.0,0.0,0.0,{'stop': 200},openrouter_text_promoted_scale_v1__openrouter_rekaai_reka_edge/fig_qa:model=rekaai_reka-edge/scenario_state.json,0,False
chinese_homophonic_puns,deepseek_deepseek-chat-v3-0324,openrouter_text_promoted_scale_v1__openrouter_deepseek_deepseek_chat_v3_0324,200,2.61,3,1,0.0,1.0,0.0,0.0,1.0,0.0,{'None': 200},openrouter_text_promoted_scale_v1__openrouter_deepseek_deepseek_chat_v3_0324/chinese_homophonic_puns:model=deepseek_deepseek-chat-v3-0324/scenario_state.json,2,True
irfl,x-ai_grok-4,openrouter_mm_promoted_scale_mmext_v1__openrouter_x_ai_grok_4,200,1.0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,{'stop': 200},openrouter_mm_promoted_scale_mmext_v1__openrouter_x_ai_grok_4/irfl:model=x-ai_grok-4/scenario_state.json,1,True
infochartqa,xiaomi_mimo-v2-omni,openrouter_mm_promoted_scale_mmext_v1__openrouter_xiaomi_mimo_v2_omni,200,33.42,5,1,0.0,0.76,0.0,0.0,1.0,0.0,{'None': 200},openrouter_mm_promoted_scale_mmext_v1__openrouter_xiaomi_mimo_v2_omni/infochartqa:model=xiaomi_mimo-v2-omni/scenario_state.json,1,True
arn,meta-llama_llama-4-scout,openrouter_mm_promoted_scale_textcore_v1__openrouter_meta_llama_llama_4_scout,200,317.66,316,274,0.0,0.0,0.0,0.97,0.0,0.0,"{'stop': 6, 'length': 194}",openrouter_mm_promoted_scale_textcore_v1__openrouter_meta_llama_llama_4_scout/arn:model=meta-llama_llama-4-scout/scenario_state.json,0,False
esp_dataset,xiaomi_mimo-v2-omni,openrouter_mm_promoted_scale_mmext_v1__openrouter_xiaomi_mimo_v2_omni,200,330.845,356,11,0.0,0.015,0.0,0.0,1.0,0.0,{'None': 200},openrouter_mm_promoted_scale_mmext_v1__openrouter_xiaomi_mimo_v2_omni/esp_dataset:model=xiaomi_mimo-v2-omni/scenario_state.json,1,True
creation_mmbench,amazon_nova-lite-v1,openrouter_mm_promoted_scale_mmext_v1__openrouter_amazon_nova_lite_v1,200,2208.69,2299,297,0.0,0.0,0.0,0.0,0.0,0.0,{'stop': 200},openrouter_mm_promoted_scale_mmext_v1__openrouter_amazon_nova_lite_v1/creation_mmbench:model=amazon_nova-lite-v1/scenario_state.json,0,False
puntuguese,qwen_qwen3-vl-235b-a22b-instruct,openrouter_mm_promoted_scale_textcore_v1__openrouter_qwen_qwen3_vl_235b_a22b_instruct,200,3.06,3,3,0.0,1.0,0.0,0.0,0.0,0.0,{'stop': 200},openrouter_mm_promoted_scale_textcore_v1__openrouter_qwen_qwen3_vl_235b_a22b_instruct/puntuguese:model=qwen_qwen3-vl-235b-a22b-instruct/scenario_state.json,1,True
creation_mmbench,bytedance-seed_seed-2.0-lite,openrouter_mm_promoted_scale_mmext_v1__openrouter_bytedance_seed_seed_2_0_lite,200,2952.29,3126,0,0.03,0.0,0.0,0.0,0.03,0.0,"{'stop': 194, 'None': 6}",openrouter_mm_promoted_scale_mmext_v1__openrouter_bytedance_seed_seed_2_0_lite/creation_mmbench:model=bytedance-seed_seed-2.0-lite/scenario_state.json,0,False
fann_or_flop,google_gemini-3.1-flash-lite-preview,openrouter_mm_promoted_textcore_v1__openrouter_google_gemini_3_1_flash_lite_preview,200,3483.415,3505,2717,0.0,0.0,0.0,0.7,0.0,0.0,"{'length': 140, 'stop': 60}",openrouter_mm_promoted_textcore_v1__openrouter_google_gemini_3_1_flash_lite_preview/fann_or_flop:model=google_gemini-3.1-flash-lite-preview/scenario_state.json,0,False
schnovel,arcee-ai_trinity-large-preview,openrouter_text_promoted_scale_v1__openrouter_arcee_ai_trinity_large_preview,200,410.37,1,1,0.0,0.75,0.0,0.02,0.0,0.0,"{'stop': 196, 'length': 4}",openrouter_text_promoted_scale_v1__openrouter_arcee_ai_trinity_large_preview/schnovel:model=arcee-ai_trinity-large-preview/scenario_state.json,0,False
pollux_creativity,qwen_qwen3-max-thinking,openrouter_text_promoted_scale_v1__openrouter_qwen_qwen3_max_thinking,200,1209.7,1303,42,0.0,0.0,0.0,0.765,0.0,0.0,"{'stop': 47, 'length': 153}",openrouter_text_promoted_scale_v1__openrouter_qwen_qwen3_max_thinking/pollux_creativity:model=qwen_qwen3-max-thinking/scenario_state.json,0,False
riddlesense,mistralai_ministral-14b-2512,openrouter_mm_promoted_scale_textcore_v1__openrouter_mistralai_ministral_14b_2512,200,1.0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,{'stop': 200},openrouter_mm_promoted_scale_textcore_v1__openrouter_mistralai_ministral_14b_2512/riddlesense:model=mistralai_ministral-14b-2512/scenario_state.json,1,True
munch,mistralai_ministral-14b-2512,openrouter_mm_promoted_scale_textcore_v1__openrouter_mistralai_ministral_14b_2512,200,1.0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,{'None': 200},openrouter_mm_promoted_scale_textcore_v1__openrouter_mistralai_ministral_14b_2512/munch:model=mistralai_ministral-14b-2512/scenario_state.json,2,True
ocw,qwen_qwen3-max-thinking,openrouter_text_curated_smoke_v1__openrouter_qwen_qwen3_max_thinking,200,133.37,133,78,0.0,0.0,0.0,0.0,0.0,0.0,{'stop': 200},openrouter_text_curated_smoke_v1__openrouter_qwen_qwen3_max_thinking/ocw:model=qwen_qwen3-max-thinking/scenario_state.json,0,False
yesbut,xiaomi_mimo-v2.5,openrouter_mm_promoted_scale_mmext_v1__openrouter_xiaomi_mimo_v2_5,200,146.73,142,11,0.0,0.005,0.0,0.0,1.0,0.0,{'None': 200},openrouter_mm_promoted_scale_mmext_v1__openrouter_xiaomi_mimo_v2_5/yesbut:model=xiaomi_mimo-v2.5/scenario_state.json,1,True
mars,meta-llama_llama-4-scout,openrouter_mm_promoted_scale_mmext_v1__openrouter_meta_llama_llama_4_scout,200,198.245,207,37,0.0,0.0,0.0,0.0,1.0,0.0,{'None': 200},openrouter_mm_promoted_scale_mmext_v1__openrouter_meta_llama_llama_4_scout/mars:model=meta-llama_llama-4-scout/scenario_state.json,1,True
esp_dataset,meta-llama_llama-4-scout,openrouter_mm_promoted_scale_mmext_v1__openrouter_meta_llama_llama_4_scout,200,274.035,238,15,0.0,0.015,0.0,0.0,1.0,0.0,{'None': 200},openrouter_mm_promoted_scale_mmext_v1__openrouter_meta_llama_llama_4_scout/esp_dataset:model=meta-llama_llama-4-scout/scenario_state.json,1,True
puzzleworld,google_gemma-3-27b-it,openrouter_mm_promoted_scale_mmext_v1__openrouter_google_gemma_3_27b_it,200,4372.02,3729,1057,0.0,0.0,0.0,0.085,0.0,0.0,"{'stop': 183, 'length': 17}",openrouter_mm_promoted_scale_mmext_v1__openrouter_google_gemma_3_27b_it/puzzleworld:model=google_gemma-3-27b-it/scenario_state.json,0,False
speak_to_structure,mistralai_ministral-14b-2512,openrouter_mm_promoted_scale_textcore_v1__openrouter_mistralai_ministral_14b_2512,200,62.71,49,12,0.0,0.07,0.0,0.0,0.0,0.095,"{'stop': 192, 'error': 8}",openrouter_mm_promoted_scale_textcore_v1__openrouter_mistralai_ministral_14b_2512/speak_to_structure:model=mistralai_ministral-14b-2512/scenario_state.json,0,False
pun_eval,qwen_qwen3-vl-235b-a22b-instruct,openrouter_mm_promoted_scale_textcore_v1__openrouter_qwen_qwen3_vl_235b_a22b_instruct,200,131.54,130,77,0.0,0.0,0.0,0.0,0.0,0.0,{'stop': 200},openrouter_mm_promoted_scale_textcore_v1__openrouter_qwen_qwen3_vl_235b_a22b_instruct/pun_eval:model=qwen_qwen3-vl-235b-a22b-instruct/scenario_state.json,0,False
analobench,google_gemini-3.1-flash-lite-preview,direct_google_gemini_reset_textcore_v1__google_gemini_3_1_flash_lite_preview,200,1.0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,{'stop': 200},direct_google_gemini_reset_textcore_v1__google_gemini_3_1_flash_lite_preview/analobench:model=google_gemini-3.1-flash-lite-preview/scenario_state.json,1,True
liveideabench,x-ai_grok-4.20,openrouter_mm_promoted_scale_textcore_v1__openrouter_x_ai_grok_4_20,200,577.155,582,383,0.0,0.0,0.0,0.0,0.0,0.0,{'stop': 200},openrouter_mm_promoted_scale_textcore_v1__openrouter_x_ai_grok_4_20/liveideabench:model=x-ai_grok-4.20/scenario_state.json,0,False
newyorker_humor,qwen_qwen3-max-thinking,openrouter_text_curated_smoke_v1__openrouter_qwen_qwen3_max_thinking,200,1.0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,{'stop': 200},openrouter_text_curated_smoke_v1__openrouter_qwen_qwen3_max_thinking/newyorker_humor:model=qwen_qwen3-max-thinking/scenario_state.json,1,True
llm4biohypogen_gpt35_seen,deepseek_deepseek-chat-v3.1,openrouter_text_promoted_scale_v1__openrouter_deepseek_deepseek_chat_v3_1,200,527.155,521,153,0.0,0.0,0.0,0.0,0.0,0.0,{'stop': 200},openrouter_text_promoted_scale_v1__openrouter_deepseek_deepseek_chat_v3_1/llm4biohypogen_gpt35_seen:model=deepseek_deepseek-chat-v3.1/scenario_state.json,0,False
proparalogy,qwen_qwen3-vl-8b-instruct,openrouter_text_promoted_scale_v1__openrouter_qwen_qwen3_vl_8b_instruct,200,1.0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,{'stop': 200},openrouter_text_promoted_scale_v1__openrouter_qwen_qwen3_vl_8b_instruct/proparalogy:model=qwen_qwen3-vl-8b-instruct/scenario_state.json,1,True
