model,rb_acc,n_items_x,mean_z,Brainstorming,Figurative Language,Humor,Problem Solving,STEM,Story / Narrative,datasets,n_metric_obs,mean_z_intel,median_z,rank,agc_rank,aa_match_name,aa_match_conf,gpqa_diamond,hle,mmlu_pro_aa,math_500_aa,livecodebench_aa,aime_2025_aa,aime_2024_aa,scicode_aa,ifbench_aa,tau2_aa,mmmu_pro_aa,critpt_aa,intelligence_index_aa,math_index_aa,coding_index_aa,agentic_index_aa,hf_match_name,hf_match_conf,lb_match_name,lb_match_conf,zebra_match_name,zebra_match_conf,arc_agi_1,arc_agi_2,has_gpqa,has_hle,has_mmlu_pro,has_math500_or_aime,has_livecodebench,has_scicode,has_zebra,has_musr,has_bbh,has_arc_agi_2,has_intel_idx,has_math_idx,has_coding_idx,n_benchmarks_covered,lb_zebra_puzzle,lb_amps_hard,lb_olympiad,lb_math_comp,lb_web_of_lies,lb_code_generation,zebra_puzzle_acc,bbh_hf,musr_hf,math_lvl5_hf,mmlu_pro_hf,gpqa_hf,ifeval_hf,n_items_y,accuracy_strict,accuracy_parsed,mean_lev_to_D,n_errors,lsa_acc,model_underscore
moonshotai/kimi-k2-0905,0.4651698330454807,1737,0.6122258839102148,0.7324980391817175,0.3269595652881875,0.5570740807836152,0.532064299301553,0.5834855131324898,0.6779803082724224,79,387,0.27159746687813,0.3121220816394663,33,75,Kimi K2 0905,exact,0.767,0.063,0.819,,0.61,0.573,,0.307,0.417,0.734,,0.0,30.85,57.33,25.88,37.73,,none,kimi-k2-thinking,fuzzy(0.67),,none,,,True,True,True,True,True,True,True,False,False,False,True,True,True,7,46.25,96.0,80.305,96.078,,71.831,,,,,,,,500.0,0.418,0.418,2.638,0.0,0.418,moonshotai_kimi-k2-0905
z-ai/glm-5,0.4617156016119746,1737,0.6508549776714708,0.5661189907008156,0.9466639835785422,0.5511997559966273,0.6803202299556694,0.7634237867541721,0.4736806952193365,79,387,0.4172645979529268,0.3919526081886875,6,4,GLM-5 (Reasoning),exact,0.82,0.272,,,,,,0.462,0.723,0.982,,0.02,49.77,,44.18,63.14,,none,,none,,none,,,True,True,False,False,False,True,False,False,False,False,True,False,True,3,,,,,,,,,,,,,,500.0,0.202,0.206,9.15,0.0,0.206,z-ai_glm-5
qwen/qwen3-next-80b-a3b-instruct,0.4553828439838802,1737,0.3819437076011197,0.5757711510378672,0.0832590549949115,0.3747753791181454,0.2338338703622028,0.3603334706043409,0.4909444552224067,79,387,0.1700650400363198,0.2486628607538779,52,57,Qwen3 Next 80B A3B Instruct,exact,0.738,0.073,0.819,,0.684,0.663,,0.307,0.397,0.216,,0.0,20.11,66.33,15.27,14.19,,none,qwen3-next-80b-a3b-instruct,exact,,none,,,True,True,True,True,True,True,True,False,False,False,True,True,True,7,32.75,97.0,71.437,86.275,,69.014,,,,,,,,500.0,0.354,0.358,5.432,0.0,0.358,qwen_qwen3-next-80b-a3b-instruct
deepseek/deepseek-chat,0.4513529073114565,1737,-0.0537365430312662,0.1253222201284591,-0.2302938224412201,0.0858312382159173,-0.3387579293043557,-0.1129494430580316,0.0354013689269741,79,387,0.0268948515049575,0.1546277786601332,80,76,DeepSeek V3 (Dec '24),exact,0.557,0.036,0.752,0.887,0.359,0.26,0.253,0.354,0.348,0.228,,0.0,16.46,26.0,16.35,8.83,,none,,none,deepseek-v3,exact,,,True,True,True,True,True,True,True,False,False,False,True,True,True,7,,,,,,,42.1,,,,,,,500.0,0.258,0.322,8.608,0.0,0.322,deepseek_deepseek-chat
z-ai/glm-5-turbo,0.4473229706390328,1737,0.6677197377339446,0.6508630945253879,0.8741690527233861,0.6456383929155864,0.6114235382449639,0.5843494293354073,0.5948534777188307,79,387,0.411354120443493,0.3961757115025785,7,5,GLM-5-Turbo,exact,0.847,0.254,,,,,,0.436,0.732,0.985,,0.003,46.76,,36.77,66.13,,none,,none,,none,,,True,True,False,False,False,True,False,False,False,False,True,False,True,3,,,,,,,,,,,,,,500.0,0.344,0.344,7.696,0.0,0.344,z-ai_glm-5-turbo
openai/gpt-5.4,0.4386873920552677,1737,0.7367663109855592,0.9651888862672952,0.6927243989246374,0.7605675991412463,0.2622259447575811,0.8078994460481262,0.891290351054336,68,351,0.3911233569356355,0.3795841657642171,10,17,GPT-5.4 (xhigh),exact,0.92,0.416,,,,,,0.566,0.739,0.871,0.784,0.234,56.8,,57.25,67.96,,none,,none,,none,,,True,True,False,False,False,True,False,False,False,False,True,False,True,3,,,,,,,,,,,,,,500.0,0.452,0.452,1.93,0.0,0.452,openai_gpt-5.4
z-ai/glm-4.7,0.43811168681635,1737,0.5947211809989446,0.4759138311464948,1.016287630327247,0.6129980859107467,0.7235081380204033,0.5055719173822668,0.3339705642701061,79,387,0.3798455140511897,0.3659335099328324,12,9,GLM-4.7 (Reasoning),exact,0.859,0.251,0.856,,0.894,0.95,,0.451,0.679,0.959,,0.017,42.11,95.0,36.26,55.01,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,,500.0,0.046,0.046,11.75,0.0,0.046,z-ai_glm-4.7
deepseek/deepseek-chat-v3.1,0.4369602763385147,1737,0.3248699866415663,0.3980415912767275,0.1626926752221374,0.4355403607820418,0.191859325816941,0.1683150519075988,0.4831792510842468,79,387,0.28904699125765,0.3202483895627507,27,24,DeepSeek V3.1 (Reasoning),exact,0.779,0.13,0.851,,0.784,0.897,,0.391,0.415,0.374,,0.02,27.71,89.67,29.71,18.85,,none,,none,,none,0.158,0.013,True,True,True,True,True,True,False,False,False,True,True,True,True,7,,,,,,,,,,,,,,500.0,0.378,0.378,2.2,0.0,0.378,deepseek_deepseek-chat-v3.1
google/gemini-2.5-flash,0.4369602763385147,1737,0.5077461453638226,0.1664050536842829,0.8331412738002397,0.2896385438649313,0.333276718140446,0.5593326953736273,0.5445843929388374,72,372,0.3419647586181507,0.3291280178017217,14,12,Gemini 2.5 Flash (Reasoning),exact,0.79,0.111,0.832,0.981,0.695,0.733,0.823,0.394,0.503,0.316,0.691,0.011,27.04,73.33,22.21,18.76,,none,gemini-2.5-flash-lite-highthinking,fuzzy(0.67),,none,0.333,,True,True,True,True,True,True,True,False,False,False,True,True,True,7,12.75,93.0,66.633,73.529,,67.606,,,,,,,,500.0,0.416,0.416,1.678,0.0,0.416,google_gemini-2.5-flash
baidu/ernie-4.5-300b-a47b,0.4358088658606793,1737,0.3791114173308266,0.0778813218486824,0.7071123166474507,0.2717152078518089,0.4945207059421412,0.5338632434725338,0.1213682182108765,79,387,0.2428283831699793,0.2989695544595721,38,36,ERNIE 4.5 300B A47B,exact,0.811,0.035,0.776,0.931,0.467,0.413,0.493,0.315,0.391,0.0,,0.0,14.96,41.33,14.53,0.0,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,,500.0,0.412,0.412,1.922,0.0,0.412,baidu_ernie-4.5-300b-a47b
anthropic/claude-sonnet-4,0.4329303396660909,1737,0.3814616934560505,0.7039880362191221,0.154159589496131,0.5403123832013874,0.125861446925974,0.461360970893111,0.4488511633176703,79,387,0.2867345676272236,0.3477853241890591,28,26,Claude 4 Sonnet (Reasoning),exact,0.777,0.096,0.842,0.991,0.655,0.743,0.773,0.4,0.547,0.646,0.618,0.003,38.66,74.33,34.06,43.02,,none,claude-4-sonnet-20250514-thinking-64k,fuzzy(0.75),,none,0.4,0.059,True,True,True,True,True,True,True,False,False,True,True,True,True,8,52.5,86.0,83.702,85.294,,78.873,,,,,,,,500.0,0.488,0.49,2.06,0.0,0.49,anthropic_claude-sonnet-4
anthropic/claude-3.7-sonnet,0.4070236039147956,1737,0.2975733892407145,0.5958916765518404,0.1206664097592577,0.5789182250660256,0.4789535291534352,-0.0949537256254289,0.284344610535336,79,387,0.2137345585591503,0.2828849566359305,44,45,Claude 3.7 Sonnet (Reasoning),exact,0.772,0.103,0.837,0.947,0.473,0.563,0.487,0.403,0.483,0.547,,0.009,34.71,56.33,27.57,37.0,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,,500.0,0.438,0.438,1.826,0.0,0.438,anthropic_claude-3.7-sonnet
mistralai/mistral-large-2512,0.4041450777202072,1737,0.26712434339862,0.4389396632535885,0.094831996690717,-0.1144859969901199,0.5118456994557714,0.2967590378984082,0.3301297131476451,79,387,0.1381154073843393,0.2569322924196582,66,74,Mistral Large 2 (Nov '24),exact,0.486,0.04,0.697,0.736,0.293,0.14,0.11,0.292,0.312,0.307,,0.0,15.09,14.0,13.76,10.23,,none,,none,Mistral-Large-2,exact,,,True,True,True,True,True,True,True,False,False,False,True,True,True,7,,,,,,,29.0,,,,,,,500.0,0.378,0.378,2.176,9.0,0.378,mistralai_mistral-large-2512
baidu/ernie-4.5-vl-424b-a47b,0.4012665515256189,1737,0.1185076347082127,-0.728394452389602,0.0565221610033956,0.0863428182070961,0.3934659149379842,0.0442671296172967,0.1808121977134232,79,387,0.1190027358419671,0.1405121598412933,68,69,,none,,,,,,,,,,,,,,,,,,none,,none,,none,,,False,False,False,False,False,False,False,False,False,False,False,False,False,0,,,,,,,,,,,,,,500.0,0.37,0.374,45.7,0.0,0.374,baidu_ernie-4.5-vl-424b-a47b
z-ai/glm-4.6,0.3960852043753598,1737,0.2536554150842134,0.1964374840805447,0.1702546203539424,0.1798963170226537,0.2258149212589127,0.3344995350179971,0.2606769894410452,79,387,0.2926958513636944,0.3324977778730791,26,31,GLM-4.6 (Reasoning),exact,0.78,0.133,0.829,,0.695,0.86,,0.384,0.434,0.705,,0.011,32.51,86.0,29.48,41.61,,none,glm-4.6,exact,,none,,,True,True,True,True,True,True,True,False,False,False,True,True,True,7,48.25,98.0,81.414,95.098,,74.648,,,,,,,,500.0,0.222,0.222,7.472,0.0,0.222,z-ai_glm-4.6
meta-llama/llama-4-maverick,0.3955094991364421,1737,-0.4874812761336904,-0.5589520167087175,-0.8584337837134158,-0.0514840726871804,-0.6957766938549768,-0.5919739913874716,-0.3426437680280033,79,387,-0.2025939141069126,-0.0948344356211282,108,104,Llama 4 Maverick,exact,0.671,0.048,0.809,0.889,0.397,0.193,0.39,0.331,0.43,0.178,0.621,0.0,18.36,19.33,15.58,7.22,,none,,none,,none,0.044,0.0,True,True,True,True,True,True,False,False,False,True,True,True,True,7,,,,,,,,,,,,,,500.0,0.396,0.396,2.386,0.0,0.396,meta-llama_llama-4-maverick
arcee-ai/trinity-large-preview,0.3816925734024179,1737,-0.2895436248815928,-0.2551984772610286,-0.2967952006316781,-0.5613990299294166,-0.9324698474720357,-0.0556378385425522,-0.1228866750975153,79,387,-0.059988098472608,0.0583636086012146,89,86,Trinity Large Thinking,exact,0.752,0.147,,,,,,0.361,0.563,0.901,,0.009,31.87,,27.19,42.61,,none,,none,,none,,,True,True,False,False,False,True,False,False,False,False,True,False,True,3,,,,,,,,,,,,,,500.0,0.29,0.29,2.76,0.0,0.29,arcee-ai_trinity-large-preview
mistralai/mistral-medium-3.1,0.3736327000575705,1737,0.3573727865949904,0.5892285943604597,0.0354411731419596,0.100311450237853,0.4011430112937716,0.1428219151345195,0.7254058982256952,79,387,0.1510334137547363,0.268078694618456,61,72,Mistral Medium 3.1,exact,0.588,0.044,0.683,,0.406,0.383,,0.338,0.398,0.406,0.542,0.0,21.25,38.33,18.34,25.28,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,,500.0,0.366,0.366,2.264,0.0,0.366,mistralai_mistral-medium-3.1
mistralai/mixtral-8x22b-instruct,0.3696027633851468,1737,0.1258962637128984,0.4860649777888566,0.079312354824506,-0.1047065136460017,0.0092784489851787,0.2889806777959232,0.113153126601786,79,387,0.1794931237750978,0.2290269214479846,51,53,Mixtral 8x22B Instruct,exact,0.332,0.041,0.537,0.545,0.148,,0.0,0.188,,,,,9.84418267067612,,,,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,False,False,6,,,,,,,,,,,,,,500.0,0.31,0.31,2.524,0.0,0.31,mistralai_mixtral-8x22b-instruct
openai/gpt-4.1,0.3690270581462291,1737,0.4321669168357144,0.2251821765109384,0.4105158531200845,0.4574892630370357,0.488367022887718,0.473490935826141,0.4356784285833163,68,351,0.2974844871790796,0.3107301031152411,25,23,GPT-4.1,exact,0.666,0.046,0.806,0.913,0.457,0.347,0.437,0.381,0.43,0.471,0.612,0.0,26.28,34.67,21.78,27.26,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,,500.0,0.368,0.368,2.782,0.0,0.368,openai_gpt-4.1
openai/gpt-5.1,0.3649971214738054,1737,0.6432276967869643,0.7965485391796522,0.7033743861338152,0.6089651910375355,0.4780154714766634,0.490537593299274,0.7319751334615296,68,351,0.2772446315515937,0.3065238743056906,31,32,GPT-5.1 (high),exact,0.873,0.265,0.87,,0.868,0.94,,0.433,0.729,0.819,0.755,0.049,47.7,94.0,44.73,51.26,,none,gpt-5.1-codex,fuzzy(0.75),,none,,,True,True,True,True,True,True,True,False,False,False,True,True,True,7,89.0,95.0,82.244,96.078,,71.831,,,,,,,,500.0,0.314,0.314,2.406,0.0,0.314,openai_gpt-5.1
anthropic/claude-sonnet-4.6,0.3580886586067933,1737,0.4801795690952858,0.8613912020433835,0.5221531507360354,0.2504232915828079,0.6126511827241082,0.2197872321483329,0.5556062812252824,79,387,0.2997160442642382,0.3133035626133285,23,30,"Claude Sonnet 4.6 (Adaptive Reasoning, Max Effort)",exact,0.875,0.3,,,,,,0.468,0.566,0.757,0.733,0.031,51.72,,50.94,63.0,,none,claude-4-sonnet-20250514-thinking-64k,fuzzy(0.60),,none,,,True,True,False,False,False,True,True,False,False,False,True,False,True,4,52.5,86.0,83.702,85.294,,78.873,,,,,,,,500.0,0.098,0.486,4.756,0.0,0.486,anthropic_claude-sonnet-4.6
nvidia/nemotron-3-super-120b-a12b,0.3557858376511226,1737,0.23058359436823,0.1806037444729052,-0.1553133665810503,0.0774548108852637,-0.0156230030967545,0.526100282279149,0.4365594148719043,79,387,0.1156122617956165,0.2024136381184199,71,65,Llama 3.3 Nemotron Super 49B v1 (Reasoning),exact,0.643,0.065,0.785,0.959,0.277,0.547,0.583,0.282,0.381,0.269,,0.0,18.49174710104611,54.67,9.41,,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,,500.0,0.102,0.102,111.364,0.0,0.102,nvidia_nemotron-3-super-120b-a12b
anthropic/claude-haiku-4.5,0.3552101324122049,1737,0.2320708736524949,0.5832041195193831,0.0926712959924489,0.5774208918423493,0.3007728964616798,-0.1905646694091491,0.3264180985736927,79,387,0.166101217508877,0.2855568528684189,54,60,Claude 4.5 Haiku (Reasoning),exact,0.672,0.097,0.76,,0.615,0.837,,0.433,0.543,0.547,0.586,0.0,37.09,83.67,32.61,40.16,,none,claude-haiku-4-5-20251001-thinking-64k,fuzzy(0.80),,none,,,True,True,True,True,True,True,True,False,False,False,True,True,True,7,58.5,97.0,80.03,95.098,,76.056,,,,,,,,500.0,0.4,0.4,2.5,0.0,0.4,anthropic_claude-haiku-4.5
openai/gpt-4o,0.3529073114565342,1737,0.2589901086160371,-0.2794722126042022,0.4357733383864527,0.2982951062934987,0.6237306025509649,0.3613422648102111,0.0392217296471662,79,387,0.2615200680630127,0.2357627512599888,36,34,GPT-4o (Nov '24),exact,0.543,0.033,0.748,0.759,0.309,0.06,0.15,0.333,0.343,0.251,,0.0,17.32,6.0,16.67,8.38,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,,500.0,0.356,0.356,3.14,0.0,0.356,openai_gpt-4o
z-ai/glm-4.5v,0.3523316062176165,1737,-1.0147986146943888,-1.1433590499135342,-1.3280461500562342,-0.6687026229903974,-1.265385339016777,-1.3173576105587632,-0.8652951752782865,79,387,-0.8661374856681865,-0.6225552851824848,135,132,GLM-4.5V (Reasoning),exact,0.684,0.059,0.788,,0.604,0.73,,0.221,0.342,0.225,0.505,0.0,15.09,73.0,10.9,10.91,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,,500.0,0.13,0.13,10.336,0.0,0.13,z-ai_glm-4.5v
qwen/qwen3.5-flash-02-23,0.3506044905008635,1737,0.3875246518860766,0.4770717156275189,0.361719061243378,0.2406806986991706,0.253632226047661,0.6652157204915373,0.3462074329870123,79,387,0.2043051774623397,0.2452260127913229,47,46,Qwen3.5 Omni Flash,exact,0.742,0.071,,,,,,0.255,0.38,0.845,0.647,0.0,25.87,,14.04,41.63,,none,,none,,none,,,True,True,False,False,False,True,False,False,False,False,True,False,True,3,,,,,,,,,,,,,,500.0,0.772,0.774,0.838,0.0,0.774,qwen_qwen3.5-flash-02-23
qwen/qwen-turbo,0.3465745538284398,1737,-0.1439263448973866,-0.335168574530133,0.2222916463416464,-0.2729514029883499,-0.0312809853391795,0.084765307680687,-0.2680282728320665,79,387,0.0872014174190526,0.1274512913814694,75,71,Qwen2.5 Turbo,exact,0.41,0.042,0.633,0.805,0.163,,0.12,0.153,,,,,11.973563045943266,,,,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,False,False,6,,,,,,,,,,,,,,500.0,0.232,0.234,5.272,0.0,0.234,qwen_qwen-turbo
google/gemma-4-31b-it,0.3454231433506045,1737,0.6419733012298466,0.7177422174724244,1.1025786711381238,0.6858817973614291,0.4314205450606142,0.7254960350114329,0.4450974046527639,79,387,0.4535840831043313,0.4237830079651241,2,2,Gemma 4 31B (Reasoning),exact,0.857,0.227,,,,,,0.434,0.756,0.599,0.734,0.014,39.18,,38.71,40.94,,none,,none,,none,,,True,True,False,False,False,True,False,False,False,False,True,False,True,3,,,,,,,,,,,,,,500.0,0.472,0.472,1.948,0.0,0.472,google_gemma-4-31b-it
openai/gpt-5.4-mini,0.3408175014392631,1737,0.4483349581345776,0.7151401042590644,0.6254952467305678,0.5548743997015921,0.1755468882728659,0.4235868859992349,0.4298985702020597,67,344,0.2988462578441343,0.3160545010747219,24,19,GPT-5.4 mini (xhigh),exact,0.875,0.266,,,,,,0.499,0.733,0.833,0.733,0.1,48.9,,51.48,58.88,,none,gpt-5-mini,fuzzy(0.75),,none,,,True,True,False,False,False,True,True,False,False,False,True,False,True,4,41.0,98.0,78.295,89.216,,76.056,,,,,,,,500.0,0.338,0.338,2.894,0.0,0.338,openai_gpt-5.4-mini
