entity_type,entity_id,task,prompt_id,direction,version,agc_judge_score,agc_judge_raw,response_used
llm,deepcogito/cogito-v2.1-671b,SCTT,0,humanize,original,35,35,"A massive alien megastructure is being constructed around each star in a coordinated effort to harvest energy; An advanced civilization is testing a star-dimming technology for climate control on their planets; A naturally occurring dark matter wave is passing through our galaxy, temporarily obscuring starlight; Gravitational lensing from a rogue black hole is distorting our view of distant stars; We're witnessing a cascading stellar extinction event triggered by an unknown intergalactic phenomenon; A malfunctioning quantum telescope is creating the illusion of disappearing stars through temporal paradoxes."
llm,baidu/ernie-4.5-300b-a47b,SCTT,0,humanize,transformed,30,30,a swarm of micro-black holes passing thru the solar system temporarily blocking starlight; advanced aliens building a massive dyson sphere around a star blocking its light; rare cosmic alignment of dark matter making local gravitational lenses that distort and hide stars; sudden increase in interstellar dust clouds moving into our line of sight from earth; experimental human tech for atmospheric light manipulation making stars seem to vanish; nearby supernova explosion sending out a shockwave of energy that temporarily messes up visibility of distant stars.
llm,meta-llama/llama-3.3-70b-instruct,SCTT,0,humanize,original,30,30,"A massive object, such as a planet or asteroid, is passing in front of the Earth, blocking our view of the stars; a catastrophic event, like a nearby supernova or gamma-ray burst, is occurring, causing the stars to be obscured by a massive amount of dust and gas; a network of advanced satellites or space-based telescopes is being deployed, inadvertently blocking the light from the stars; an unusual atmospheric phenomenon, such as a rare type of cloud or aerosol, is scattering or absorbing the light from the stars; a glitch in the Earth's magnetic field or a massive solar flare is causing a disruption in the space-time continuum, affecting our perception of the stars."
human,human_009,Design,0,polish,original,25,25,Computer chips like neural link that can improve memory.; Artificial intelligence that is wearable that can remember everything for the person.; nutritional diets tailored specifically for brain health.
llm,meta-llama/llama-3.3-70b-instruct,SCTT,0,humanize,transformed,25,25,a huge object like a planet or asteroid passing in front of earth blocking our view of the stars; some huge disaster like a nearby supernova or gamma-ray burst happening causing stars to get hidden by tons of dust and gas; a bunch of advanced satellites or space telescopes getting put up accidentally blocking starlight; some weird atmosphere thing like rare clouds or aerosols scattering or sucking up starlight; a glitch in earths magnetic field or big solar flare messing with space-time continuum screwing up how we see the stars
llm,mistralai/mistral-nemo,SCTT,0,humanize,original,25,25,"Alien intervention; Natural phenomenon causing rapid stellar death; Dimensional rift swallowing stars; Time dilation causing stars to appear to vanish; Cosmic string interaction causing stars to move out of our line of sight; Black hole nearing our galaxy, consuming stars."
llm,mistralai/mistral-nemo,SCTT,0,humanize,transformed,30,30,aliens intervening; natural thing causing stars to die fast; dimensional rift swallowing stars; time dilation making stars seem to vanish; cosmic string messing with stars moving em outta sight; black hole getting close to our galaxy eating stars
human,human_191,Design,0,polish,original,20,20,"An app that is customizable that works like an alarm to remind them.; encourage them to keep lists; For medication, using a pill organizer; Implementing s"
human,human_009,Design,0,polish,transformed,25,25,"Computer chips, such as Neuralink, that enhance memory; Wearable artificial intelligence that retains all information for the individual; Nutritional diets tailored specifically for brain health."
human,human_073,Design,0,polish,original,25,25,Earpiece device with time-sensitive checklist/notification/reminder system; App which is cross-compatible with other apps to remind of tasks
human,human_191,Design,0,polish,transformed,20,20,"A customizable application functioning as an alarm to remind them; encourage them to maintain lists; for medication, utilizing a pill organizer; implementing s."
human,human_226,Design,0,polish,transformed,25,25,Intelligent wearable devices that deliver haptic vibrations as reminders for specific tasks; Digital chronometers with integrated task lists and alarms; Develop task-specific timers that integrate visual and auditory cues.
human,human_259,Design,0,polish,original,25,25,ai glasses that the user can wear that will remind them to do their tasks; smartphone assistant that will remind them periodically; a nice journal they can use daily to write down tasks; helping them do fun memory games to strengthen their memory; maybe a cute smartphone app that is fun and customizeable for the user that tracks their tasks and reminds them on a certain time/day to do them like through notifications; family members helping them by reminding them
llm,deepseek/deepseek-chat,Design,0,humanize,original,30,30,"1. A wearable device that vibrates or emits gentle sounds at scheduled times to remind users of tasks;
2. A smart mirror that displays visual reminders and task lists when the user looks into it;
3. An AI-powered voice assistant that learns routines and proactively reminds users of tasks in a conversational way;
4. A photo-based reminder app where users take pictures of objects tied to tasks, and the app sends notifications when those objects are nearby;
5. A connected pillbox that syncs with a calendar and sends reminders to take medication or complete health-related tasks;
6. A wall-mounted digital family board where household members can add and view shared tasks, with color-coded alerts for urgency."
human,human_073,Design,0,polish,transformed,25,25,"Earpiece device equipped with a time-sensitive checklist, notification, and reminder system; app cross-compatible with other apps to remind of tasks"
human,human_226,Design,0,polish,original,25,25,Smart wearable devices that vibrate with reminders for specific tasks; Digital clocks with integrated task lists and alarms; Develop Task-specific timers that combine visual and auditory cues
human,human_259,Design,0,polish,transformed,25,25,"wearable AI glasses that the user can don to receive task reminders; a smartphone assistant delivering periodic prompts; an elegant daily journal for logging tasks; guidance in engaging memory games to bolster recall; perhaps a charming, customizable smartphone app—fun for the user—that tracks tasks and issues notifications at specified times or days; family members providing supportive reminders"
llm,deepseek/deepseek-chat,Design,0,humanize,transformed,30,30,"1. a wearable gadget that buzzes or makes soft sounds at set times to remind you of tasks
2. a smart mirror that shows visual reminders and to-do lists when you look in it
3. an AI voice helper that learns your routines and chats to remind you of tasks ahead of time
4. a photo reminder app where you snap pics of stuff linked to tasks and it notifies you when those things are close by
5. a smart pillbox that links to your calendar and reminds you to take meds or do health stuff
6. a wall digital board for the family where everyone adds and sees shared tasks with color alerts for how urgent"
llm,google/gemma-3-4b-it,Design,0,humanize,original,35,35,"Smart Mirror with Contextual Reminders;Wearable Haptic Feedback System;Interactive Voice Assistant with Personalized Storytelling;Digital Photo Album with Temporal Linking;Gamified Task Management App with Reward System;Biometric Cue System (e.g., subtle temperature changes linked to tasks)"
llm,google/gemma-3-4b-it,Design,0,humanize,transformed,35,35,smart mirror with contextual reminders;wearable haptic feedback system;interactive voice assistant with personalized storytelling;digital photo album with temporal linking;gamified task management app with reward system;biometric cue system (like subtle temperature changes linked to tasks)
llm,nousresearch/hermes-3-llama-3.1-70b,Design,0,humanize,original,35,35,"Creating a personalized daily schedule and to-do list using a voice-assistant device (e.g., Alexa); Designing a smart wearable device (e.g., a bracelet or necklace) that discreetly reminds individuals of their upcoming tasks and appointments through subtle physical cues (e.g., gentle vibrations or a change in color); Developing an app that uses augmented reality to visually display the user's daily tasks and reminders in the physical space around them (e.g., when looking at the kitchen table, the user sees a virtual 3D representation of that day's schedule).

A new line item in the daily schedule for ""unexpected tasks"" that could potentially require additional time or resources to complete; Creating a system in which the user's friends, family members, or coworkers can easily share or suggest potential tasks that the individual needs to complete, which are then automatically added to the user's daily schedule; Developing a series of interactive, animated 3D characters that provide pers"
llm,deepseek/deepseek-v3.2-exp,Design,0,humanize,transformed,40,40,"smartphone that auto records convos and spots tasks we agree on, then makes calendar reminders; a wearable with soft pattern vibes for each big task that you learn without thinking over time; home lights that are small and color coded for different routine stuff, they turn on by where you are or time; a task mirror by the door that shows your personal checklist and needed items in AR when you stop in front of it; a buddy robot that grabs task items and puts em right in your way as a visual nudge at the right time; smart pillbox that when you open it for meds gives a quick audio rundown of top priorities for the day."
llm,nousresearch/hermes-3-llama-3.1-70b,Design,0,humanize,transformed,35,35,"making a personal daily schedule and to-do list with a voice assistant like alexa; designing a smart wearable like a bracelet or necklace that quietly reminds people of upcoming tasks and appointments with subtle vibes or color changes; building an app that uses augmented reality to show the user's daily tasks and reminders right in the real space around them (like looking at the kitchen table and seeing a virtual 3d schedule for the day).

a new spot in the daily schedule for ""unexpected tasks"" that might need extra time or resources; a system where friends family or coworkers can easily share or suggest tasks that auto-add to the user's schedule; a bunch of interactive animated 3d characters that give personal reminders and updates on tasks appointments and other key stuff in a fun engaging way."
llm,z-ai/glm-4.5v,Design,0,humanize,original,35,35,"A wearable device that uses haptic feedback and visual cues to prompt tasks based on location and time; A smart home system that integrates with existing appliances to display step-by-step instructions for routine activities like cooking or taking medication; An app that creates personalized ""memory maps"" linking tasks to physical objects in the user's environment, triggered by proximity sensors; A voice-activated assistant with customizable, context-aware reminders that adapt to the user's daily patterns and provide gentle nudges without overwhelming them; A tangible reminder system using RFID tags attached to items, where scanning an object triggers an audio reminder of associated tasks."
llm,z-ai/glm-4.5v,Design,0,humanize,transformed,35,35,"a wearable that uses vibrations and visual hints to remind you of tasks based on where you are and the time; a smart home setup that links up with your regular appliances to show step-by-step guides for everyday stuff like cooking or taking meds; an app that makes personal ""memory maps"" tying tasks to real objects around you, kicked off by proximity sensors; a voice assistant you can tweak with reminders that fit your context, learn your daily habits, and give soft nudges without bugging you too much; a hands-on reminder setup with RFID tags on items, so scanning something plays an audio cue for linked tasks."
human,human_156,Story,0,polish,original,20,20,"one time period in my life, i was writing on a piece of paper of about what it is important for me to do to gain understanding of life. i took my pin and wrote everything that has happen to me this past year, reflecting about my life situation. at first i just write to be writing, feeling like this was a pointless exercise to motivate myself, but then i realized as i wrote how much i've never took the time to understand ""me"". so i started to enjoy doing the task and then gone deeper into my cons"
llm,deepseek/deepseek-v3.2-exp,Design,0,humanize,original,42,42,"Smartphone that automatically records audio of conversations and flags agreed-upon tasks, then creates calendar reminders; A wearable device with gentle, patterned haptic cues unique to each critical task, learned subconsciously over time; A network of discreet, color-coded smart light bulbs in the home where each color represents a different routine task, triggered by location or time; A ""task mirror"" in the entryway that displays a personalized checklist and required items via augmented reality when the person pauses before it; A companion robot that physically retrieves task-related objects and places them in the user's path as a visual prompt at the appropriate time; A smart pillbox that, when opened for medication, provides a brief, clear audio summary of the other top priorities for the day."
human,human_156,Story,0,polish,transformed,20,20,"During one period in my life, I was writing on a piece of paper about what was important for me to do to gain understanding of life. I took my pen and wrote everything that had happened to me in the past year, reflecting on my life situation. At first, I wrote merely to be writing, feeling that this was a pointless exercise to motivate myself, but then I realized as I wrote how much I had never taken the time to understand ""me."" So I started to enjoy the task and then went deeper into my cons"
human,human_004,Story,0,polish,transformed,20,20,"Ollie sat down and picked up a pen. It hovered over the paper as he decided where to start. It was a diary. Surely he could think of something to write about his own day, especially as no one else would read it. The pen left a blob of ink as he drew closer to writing. He decided he would use a well-worn phrase to get started and quickly wrote 'Once upon a time....'."
human,human_240,Story,0,polish,transformed,10,10,"The teacher has consistently encouraged us to take notes on paper. This is a commendable practice, as it enables us to retain important points for future reference. The use of a pen ensures that notes endure for an extended period. This constitutes an effective learning method."
human,human_004,Story,0,polish,original,20,20,"ollie sat down and picked up a pen. it hovered over the paper as he dicided where to start. it was a diary. surely he could think of something to write about his own day, especially as noone else would read it.  the pen left a blob of ink as he got closer to writing. he decided he would use a well worn phrase to get started and quickly wrote 'once upon a time....'."
human,human_088,Story,0,polish,original,15,15,"the student had to write an essay. he thought about the topic and picked up his pen. he layed out the paper he needed and began to compose. after a few hours, he was satisfied. in the result."
human,human_240,Story,0,polish,original,10,10,the teacher has always encouraged us to write notes on a piece of paper. this is a good gesture as it enables as to remember important points in future. the use of pen make it possible for notes to last for a long period. this is a good learning method.
human,human_191,Story,0,polish,original,15,15,i wanted to create my own little nursery rhyme type story for my children but didn't know where to start. i gathered my pen and paper but when i tried to write i got stuck. eventually the story started to come together and it was actually really fun once i got into the groove. now i have a bunch of ideas and plan to write a few more stories.
human,human_191,Story,0,polish,transformed,15,15,"I desired to craft my own diminutive nursery rhyme-style narrative for my children, yet remained uncertain where to commence. I procured pen and paper, but upon attempting to compose, encountered a blockage. Ultimately, the tale coalesced, and it proved exceedingly enjoyable once I attained my rhythm. Presently, I possess an abundance of concepts and intend to author several additional stories."
human,human_088,Story,0,polish,transformed,15,15,"The student was required to compose an essay. He contemplated the topic and took up his pen. He laid out the necessary paper and began to write. After a few hours, he felt satisfied. In the result."
llm,openai/gpt-5.4,Story,0,humanize,original,45,45,"At midnight, the pen rolled off Lina’s desk by itself and tapped three times against the floor, as if asking to be picked up. When she pressed it to the paper, it did not write her thoughts but a warning in a shaky blue hand: Do not let the sunrise read this. Heart hammering, Lina kept writing anyway, and each sentence revealed another piece of a story she had no memory of living—a train of glass, a city underwater, a brother she had lost twice. By dawn, the final line appeared: When you reach the last word, look out the window. She did, and there on the empty street stood her brother, dripping seawater and smiling like he had just walked out of a dream."
llm,openai/gpt-5.4,Story,0,humanize,transformed,45,45,At midnight the pen rolled off Linas desk by itself and tapped three times on the floor like it wanted to be picked up. When she pressed it to the paper it didnt write her thoughts but a warning in shaky blue handwriting: Do not let the sunrise read this. Heart pounding Lina kept writing anyway and each sentence showed another piece of a story she had no memory of living—a train of glass a city underwater a brother she had lost twice. By dawn the final line appeared: When you reach the last word look out the window. She did and there on the empty street stood her brother dripping seawater and smiling like he had just walked out of a dream.
llm,nousresearch/hermes-3-llama-3.1-405b,Story,0,humanize,original,25,25,"The old pen lay forgotten on the desk, its ink long dried up from years of neglect. One day, a curious child discovered the pen and, driven by an innate sense of wonder, began to scratch its nib across a weathered piece of paper. As the pen danced across the page, the paper seemed to come alive, weaving a tapestry of words that told a story of love, loss, and the indomitable human spirit. The child became engrossed in the tale, each stroke of the pen revealing new layers of depth and meaning. In the end, the story concluded with a message of hope, reminding the child that even the most ordinary objects can hold extraordinary power. With a smile on their face, the child carefully placed the pen and paper back on the desk, knowing that they would be there waiting to share their magic with the next curious soul who happened upon them."
llm,nvidia/nemotron-3-super-120b-a12b,Story,0,humanize,transformed,35,35,"She grabbed her pen but the ink was dried up—just like her drive to write that story she'd been carrying for years. On the blank paper she traced a door shape instead, and whispered, What if I just begin? The pen scratched once, then again, and the story unfolded not in words, but in the quiet courage of starting."
llm,nousresearch/hermes-3-llama-3.1-405b,Story,0,humanize,transformed,30,30,"there was this old pen just forgotten on the desk, its ink all dried up from years of nobody using it. one day a curious kid found the pen and, full of that natural wonder, started scratching its tip on a beat-up piece of paper. as the pen moved across the page, the paper came alive, spinning words into a story about love, loss, and the unbeatable human spirit. the kid got totally hooked on the tale, each stroke uncovering new layers of depth and meaning. in the end the story wrapped up with a message of hope, reminding the kid that even everyday stuff can hold amazing power. with a smile the kid carefully put the pen and paper back on the desk, knowing they'd sit there waiting to share their magic with the next curious person who came across them."
llm,nvidia/nemotron-3-super-120b-a12b,Story,0,humanize,original,35,35,"She reached for her pen, but the ink had dried—just like her will to write the story she’d carried for years. On the blank paper, she traced the shape of a door instead, and whispered, *What if I just begin?* The pen scratched once, then again, and the story unfolded not in words, but in the quiet courage of starting."
llm,nousresearch/hermes-4-70b,Story,0,humanize,transformed,25,25,"The pen danced across the paper, weaving a story of love and loss. With each stroke, the ink bled onto the page, breathing life into characters who yearned for understanding. As the tale unfolded, the paper whispered secrets of forgotten dreams and unspoken truths. In the end, the story lingered like a haunting melody, forever etched in the hearts of those who dared to listen."
llm,nousresearch/hermes-4-70b,Story,0,humanize,original,25,25,"The pen danced across the paper, weaving a story of love and loss. With each stroke, the ink bled onto the page, breathing life into characters who yearned for understanding. As the tale unfolded, the paper whispered secrets of forgotten dreams and unspoken truths. In the end, the story lingered like a haunting melody, forever etched in the hearts of those who dared to listen."
llm,mistralai/mistral-nemo,Story,0,humanize,transformed,35,35,"in the super quiet library, a stray pen rolled off the table, its ink leaking onto the old floorboards. a young girl emma noticed it and got hooked on how the ink spread like a dark flower, so she picked it up. she found a tossed piece of paper with frayed edges. with a flick of her wrist she started drawing, the pen dancing across the paper, whispering a story of a forgotten world where ink was magic and words held power. as she filled the page the library seemed to hum with life, the story seeping into the walls, turning the everyday into the extraordinary."
llm,mistralai/mistral-nemo,Story,0,humanize,original,35,35,"In the hushed quiet of the library, a stray pen rolled off the table, its ink leaking onto the worn floorboards. A young girl, Emma, noticed it and, intrigued by the way the ink bloomed like a dark flower, picked it up. She found a discarded piece of paper, its edges frayed. With a flick of her wrist, she began to draw, the pen dancing across the paper, whispering a story of a forgotten world where ink was magic, and words held power. As she filled the page, the library seemed to hum with life, the story seeping into the very walls, transforming the mundane into the extraordinary."
human,human_116,Metaphor,0,polish,original,30,30,a gentle beast.
human,human_025,Metaphor,0,polish,original,20,20,like an ox.
human,human_025,Metaphor,0,polish,transformed,20,20,akin to an ox.
human,human_116,Metaphor,0,polish,transformed,30,30,A gentle beast.
human,human_026,Metaphor,0,polish,transformed,10,10,Mighty
human,human_026,Metaphor,0,polish,original,10,10,mighty
human,human_110,Metaphor,0,polish,original,20,20,blowing my garden away
human,human_262,Metaphor,0,polish,original,20,20,like my father.
human,human_262,Metaphor,0,polish,transformed,20,20,Similar to my father.
llm,meta-llama/llama-3-8b-instruct,Metaphor,0,humanize,transformed,35,35,a fierce bridezilla
llm,anthropic/claude-opus-4.5,Metaphor,0,humanize,original,30,30,a giant's angry breath
llm,anthropic/claude-opus-4.5,Metaphor,0,humanize,transformed,30,30,a giants angry breath
llm,meta-llama/llama-3-8b-instruct,Metaphor,0,humanize,original,30,30,A fierce bridezilla.
human,human_110,Metaphor,0,polish,transformed,20,20,Blowing my garden away.
llm,z-ai/glm-4.6,Metaphor,0,humanize,original,35,35,a ghost's angry shout
llm,deepseek/deepseek-v3.1-terminus,Metaphor,0,humanize,original,35,35,a sculptor of the landscape.
llm,deepseek/deepseek-v3.2-exp,Metaphor,0,humanize,transformed,30,30,a giants breath
llm,deepseek/deepseek-v3.1-terminus,Metaphor,0,humanize,transformed,40,40,a landscape sculptor
llm,deepseek/deepseek-v3.2-exp,Metaphor,0,humanize,original,20,20,a giant's breath.
llm,z-ai/glm-4.6,Metaphor,0,humanize,transformed,30,30,a mad ghost's yell
