entity_type,entity_id,task,prompt_id,response,agc_judge_score,agc_judge_raw
human,human_001,SCTT,0,the earth is rotating away from the stars; the stars are burning out; a black hole is consuming the stars; the stars have moved too far away from earth to be viewed,20,20
human,human_001,Metaphor,3,the gateway to a happy home,25,25
human,human_001,Story,1,"at the end of a dimly-lit hallway was a rusty door. it looked as if it had not been opened in many years. a key was nearby, assumably used on the door. the person wondered why no one had went through this door in so long. they wondered if it would be permissible to open.",20,20
human,human_001,SCTT,1,tree branches are blocking sunlight from reaching parts of the lake; an active volcano is located under one of the lakes; a nearby factory is leaking chemicals into one lake that make it warmer,25,25
human,human_001,Metaphor,1,rejuvinating to the mind,20,20
human,human_001,Story,2,"to cross the river, one needs to walk over a bridge. otherwise, it is impossible to navigate the terrain. the bridge was quite old, being built in the 1850s. some people are too scared to cross it due to its age, but it beats swimming across the river.",15,15
human,human_001,Story,0,"an aspiring author is looking to get started on their journey of writing creative stories. to get started, they go to a store to buy writing tools, such as pens and sheets of paper. once they have this, they return home and look to their favorite authors for inspiration. after many hours of deliberating on the world they want to create, they begin writing their first chapter.",15,15
human,human_001,SCTT,2,"what materials was the robot made of to be capable of this, and could any future raw material shortage threaten the continued existence of this robot?; is the robot capable of experiencing emotions that are identifiable to humans?; does the robot have the capacity to understand brain signals?",25,25
human,human_001,SCTT,4,how did you come up with a sign language?; how do people express they want to be left alone?; how does one call for help if they are not nearby another person?; how are phones used?; are the people physically incapable of communicating verbally?,20,20
human,human_001,SCTT,3,"does the planet have resources to support life?; when and how was the planet formed?; does the planet pose a threat to other planets around it, by way of blocking the sun(s) or moon(s)?; could the planet slowly drift into our galaxy? if so, what forces would be at play?; what speed do the engines need to operate at to get to this galaxy in the lifespan of an average human?",25,25
human,human_002,AUT,1,carve in wood; rip up paper; cut branches; scrape stuff off window; dart; prop open door,20,20
human,human_002,AUT,2,dar; dart; fidget toy; build a house/building; open a bag; use as a pointer,20,20
human,human_001,Story,3,"sometimes i take a look in the mirror to see my face. at times, it is simply to see how i look before heading out for the day. in other times, it is part of self-contemplation. these small, but important, moments would be much harder to do if a mirror was not in my home.",15,15
human,human_001,Story,4,"it is important to wear shoes when walking on the path. otherwise, one risks hurting their feet. sometimes it is very rainy, and one could slip and slide if it were not for their shoes. the path can get too muddy to walk on when it gets rainy.",15,15
human,human_002,AUT,0,hold down papers; open window; prop open door; wall decor; hit on something for music; keep somethign from rolling away,25,25
human,human_002,Design,1,more ramps; small areas that can lift the person up with a hand crank machine; make wheelchairs able to climb small stairs; volunteers help lift people; more things built right as ground level,25,25
human,human_002,Design,0,set phone alarms; write sticky notes on mirrors; put the item near somethign you do daily; have the location call you 1 hr before; blinking lights; make daily tasks into a song,30,30
human,human_002,Design,3,build more solar panels; build more wind mills; find small places with the greatest benefits and use those spots first; more small renewable machines over battery ones,25,25
human,human_002,Metaphor,0,hard as rocks,15,15
human,human_002,AUT,4,glove; clean surface off; puppet; pillow filler; soft thing to hit with bat; pack breakables; hold coins,25,25
human,human_002,AUT,3,hold coins; get rid of water; store items; hat; turn into gloves; use to spin around; basket ball catcher; hold stuff by front door,20,20
human,human_002,Metaphor,6,blinding to the eye,10,10
human,human_002,Design,4,small machines that can filter water cheap; ship in large containers; build machines that go on the water way to clean large amounts at once; teach people how to know what is and isnt safe to drink; large barrels to catch rain water,25,25
human,human_002,Metaphor,1,like a kittens fur,20,20
human,human_002,SCTT,1,one may be more shallow; maybe one has a lot of animals; one is growing algea that blocks light; one has discharge from a local factory; maybe there is a monster hiding in one,25,25
human,human_002,Metaphor,8,like a blindfold,25,25
human,human_002,SCTT,0,they are dying; other planets are blowing them up; they are traveling out of site; you are losing your vision; bad vision,20,20
human,human_002,Metaphor,3,a window to another world,20,20
human,human_002,Design,2,build more mass transport; put in fees for driving in prime time; build more roads; tell businesses they can have tax deductions to allow people to work from home; move buses,20,20
human,human_002,Story,0,the author knew he needed to get to work on his next story. he grabbed a pen and some paper and sat down at the table with some coffee and a snack. he wanted to get the story down while it was still in his head. he began to write and before long he had everything out. he was glad he didn't get lost on what to say this time.,15,15
human,human_002,SCTT,3,"have you guys traveled anywhere; what do you think matters in life; how do you guys eat; how do you breath, live,; how long do you live; have you figured out what happens after death; do you have animals/plants?",10,10
human,human_002,Story,2,"i have to cross the river to get to my cousins house. we play almost every day and we often play on the river itself. there use to be no way across except to go through town, but now there is a bridge and that saves us so much time. we like to pretend there is a goblin that lives under it.",20,20
human,human_002,Story,1,there is always a door you can't get open for awhile in life. this door will lead you to places you can only dream of. once you get the key you should take the time to appreciate it and then open it up. life is what you make of it.,20,20
human,human_002,SCTT,2,tell me the answer to life; tell me how to make money; tell me about a good way to get therapy; tell me how enginees work; why is the sky blue; how do robots work; what are black holes,10,10
human,human_002,Story,3,"when you look in the mirror, what do you see? i see myself, but different then who i think i am. the face you see, is it really yours? or is it just a figment of your imagination. be careful what you believe.",25,25
human,human_002,Story,4,"they say that to walk a mile in someone else shoe will let you see what life is like for them. while it's just a metaphor and not to be done literally, there is something to be said about doing this for others. take the path in life that allows you to see things from someone else's view once in awhile. other words, walk in their shoes.",15,15
human,human_003,Metaphor,8,darker than hades.,20,20
human,human_003,Metaphor,0,like a giants breath.,25,25
human,human_003,Metaphor,3,like perfectly clear water.,20,20
human,human_002,SCTT,4,do  you think in words; is it hard to communicate; do you make sounds; do you believe in science or god,20,20
human,human_003,Metaphor,6,like having the sun in the room.,15,15
human,human_003,Metaphor,1,like falling onto a cloud.,20,20
human,human_003,Story,2,"a man had to cross a large, fast moving river in order to get home as the bridge had been destroyed. he knew his options were to walk for hours to get to the next bridge, or find a shallower, slower moving part of the river. after walking for an hour he thought he'd found his spot and started wading into the water. unfortunately the river was still extremely fast moving under the surface and he drowned :(",20,20
human,human_003,Story,3,"she'd had her new puppy for 2 weeks now and wanted to see his reaction if she put him infront of a mirror. the little dog was very confused at what was going on, he could see a dog, but he couldn't smell or touch another dog. he wandered away from the mirror, turned around and stuck just his face into the frame. it scared the little dog who yelped and ran to his owner for cuddles.",25,25
human,human_003,Story,0,"as i was dropping my niece off at school i remembered that i had forgot her school folder. i knew i had to go back home to get it as inside was her pen, pencils and paper. she had english as her first lesson of the day so would definitely need those to write with. luckily i only live five minutes away from her school so managed to get them and give them to her before school started.",15,15
human,human_004,Metaphor,8,a heavy cloak of black,20,20
human,human_004,Metaphor,1,an airy,20,20
human,human_003,Story,4,"it was her first day on the coast to coast walk and she was both excited and slightly nervous, not knowing if she could complete it in time. she was as prepared as she could be, a backpack with enough water and food for the day, appropriate clothing and her trusty walking shoes. it was a beautiful day outside and the hours were flying by as she crossed beautful countryside. towards the end of the day she saw a pub down a small path and decided to eat there as a treat for all the miles she had ma",20,20
human,human_004,Metaphor,0,power of natur,10,10
human,human_004,Story,0,"ollie sat down and picked up a pen. it hovered over the paper as he dicided where to start. it was a diary. surely he could think of something to write about his own day, especially as noone else would read it.  the pen left a blob of ink as he got closer to writing. he decided he would use a well worn phrase to get started and quickly wrote 'once upon a time....'.",20,20
human,human_004,Story,4,"he was definitelt wearing the wrong type of shoes to walk along this path. they would be ruined by the deep, sharp gravel and they were new. he sighed heavily. he could never make the right choice. he chose this route because it was quicker and he wanted to arrive in good time. however he would now be prompt but with battered shoes and he so wanted to make a good impression.",25,25
human,human_003,Story,1,"as he wandered down the dark hallway he came across a shut, locked door. he knew he had to find the key in order to get into that room so started searching. he found a room with an open door and went inside. he looked all around the room but couldn't see a key anywhere. he searched through the cupboards, still nothing. finally he opened a draw and there was a key inside. taking it he went back to the locked door, put the key into the lock and turned, hearing a click.",15,15
human,human_004,Story,1,"i wonder whiich key will open this door. this is a challenge on a treasure hunts and there are 10 keys in the bunch. you only get 3 goes to guess the right key. so, does the lock give any clues as some of these keys look old and some look very modern. the lock looks old, lets try this big rusty one.",25,25
human,human_004,Metaphor,3,an invisible barrier,20,20
human,human_004,Story,3,sometimes i wish i couldn't see my face in the mirror. i quite like my body and my clothing style. however i hate my face. don't get the wrong idea though. i'm not disfigured or very spotty but i am very ordinary and i really don't want to be ordinary.,25,25
human,human_004,Story,2,the man pondered whether to use the bridge to cross the river or drive the longer way round and take the ferry. he had plenty of time and fancied some time on the water. he needed some fresh air after the latest job. he put his indicator on and turned away from the bridge.,20,20
human,human_005,AUT,3,use to hold spare change; use as a planter; use as a seat; add ice to cool down drinks,25,25
human,human_004,Metaphor,6,symbol of life,20,20
human,human_005,AUT,2,plant stake; sharpen and use as a knitting needle; use as a cat toy; use to make a mobile; decorate and give as a gift,30,30
human,human_005,AUT,0,paperweight; use as a hammer; garden edging; paint as a gift for someone; use to tenderize meat; use as a paint brush to make patterns on walls,30,30
human,human_005,AUT,4,stuff with catnip for a cat toy; use as a cleaning rag; make it into a puppet; use as a mitten for your hand; tie it together to make a small Christmas wreath; use as a change purse; use to patch a hole in a wall; fill with poppuri and place in you,30,30
human,human_005,Design,0,design more apps that people can use for reminders and schedules; created timers to remind people of tasks they have to complete; use voice assistants to help guide people to complete their home tasks,20,20
human,human_005,Metaphor,6,blinding as a star,20,20
human,human_005,Design,3,encourage people to install solar panels; give tax breaks to people that use renewable energy; develop more battery systems for storage; reduce the prices for this energy or use tax breaks,20,20
human,human_005,Design,4,install more water lines from the water source to remote areas; give remote villages water purification systems for them to use; install desalination equipment near remote areas,20,20
human,human_005,Metaphor,0,roaring like a lion,20,20
human,human_005,Metaphor,3,clear as plastic,20,20
human,human_005,AUT,1,use to carve wood; use to mark garden edges; screw driver; bottle opener; use to paint with; stir food with it,20,20
human,human_005,Metaphor,8,black as coal,15,15
human,human_005,Design,2,create a better transit system that has more stops and more frequent departure times; create a vehicle tax for drivers and the fee might reduce traffic; install more bike lanes to encourage bike riding,20,20
human,human_005,SCTT,1,Is the colder lake deeper than the warmer lake?; Is there a spring feeding the colder lake?; Are there any fish in the lakes that are different?; Is there a lot of structures close to the warmer,20,20
human,human_005,Metaphor,1,fluffy as a cloud,20,20
human,human_005,Design,1,Install a chair that can attach to the railing and move up and down; Install an escalator for the person or an elevator; give them a scooter that can fit on the stairs; give them a jet pack that will transport them up the sta,20,20
human,human_005,Story,1,"she was running so late that morning and had an important meeting at work to attend. she arrived at her office door to find it locked and was shocked! who locked the door and how will i get my laptop with my slides and presentation? wait, i think i have a key as she searched her bag. she found the key and opened the door, the day was saved!",15,15
human,human_005,SCTT,2,How does it think and process information?; Does it have a brain that allows it to continue to learn new informtion?; Does it know right from wrong?; Can it refuse to follow orders and commands?,20,20
human,human_005,SCTT,4,Are they all genetically similar?; Did something happen to cause them to lose their hearing and they can't speak?; Have they had any formal education?; Do they use sign language instead?; Is it because they don't want to use verbal communication?,20,20
human,human_005,Story,0,the poet sat down on a log near the lake looking for inspiration. they took out their fountain pen and pad of paper and looked at the natural scene around them. they started to write as they took in the beauty of the lake. ducks were swimming around and the poet started to create a poem based on these simple ducks and their relaxing swim. oh what a life those ducks must live the poet thought!,20,20
human,human_005,SCTT,3,"Can humans live there, is there oxygen in it's atmosphere?; Is there fresh water on the planet?; What is the temperature like?; Are there plants and animals living on it?; Can a colony be placed on the planet?; Are there dangerous microbes on it?; What about v",15,15
human,human_006,AUT,0,"door stop,; step; weight training; paint and use as decoration in garden; use as art piece; weapon; soakaway; hammer; paper wieght",25,25
human,human_005,Story,3,"she looked in the mirror and was surprised to see her face, so many wrinkles these days. oh well, they give me character she thought. she put on her makeup and headed out the door to her real estate office. so many houses to sell today she thought and steered her car onto the road. i can't wait to see the sold signs go up on them!",20,20
human,human_006,AUT,2,page marker; hair accessory; pendulum; ruler; splint; fire wood; rewind a tape,30,30
human,human_006,AUT,1,page marker; garden tool; wallpaper scrapper; ice scrapper; make into necklace; horseshoe cleaner; screwdriver,30,30
human,human_005,SCTT,0,Is there an energy force causing this?; Does the sun still look normal during daylight hours?; Is there a comet coming near these stars and affecting them?; What happened to the energy from those disappearing stars?,20,20
human,human_006,AUT,3,seat; garen planter; sand castles; step; drinking vessel; put on chain and use as necklace; door stop; turn upside down and use as a bird feeder; hang from a tree and fill it full of,30,30
human,human_005,Story,2,it had been a long journey and he was exhausted. he finally reached the river near his home and all he has to do is cross the bridge and walk to his home. he didn't realize that a storm had destroyed the bridge and now has no way to cross the river. he resigned himself to turn around and find another way home.,15,15
human,human_006,Design,0,alert systems on home alarms; TVs that flash up reminders; reminders that flash up on walls of house by an integrated AI system; reminders used in cars via dashboard; coloured lights flashing symboising different reminders; house that alerts internal whistle rminders,25,25
human,human_006,Design,1,stairs that shrink down to become a slope; floors that shrink down to ground level for the person to get onto then go back to original level; harness lifts person up,30,30
human,human_006,Design,2,make certain roads for cars/vans and no lorries or cyclists; certain time zones for certain vehicles; use of public transport only; use of bycles of foot traffic only,25,25
human,human_005,Story,4,"the path was dusty and was making him cough. as he walked he couldn't believe how much dirt was now on his shoe. i have to look good for church today and this dirt on the path was undoing all of his hard work to shine his shoes. oh well, i'm sure god won't mind if i bring a little of the earth with me today!",30,30
human,human_006,Metaphor,8,threatening,15,15
human,human_006,Design,4,each house as their own filter system to collect rainwater; houses that use own sewerage systems to clean and renew water/waste; tablets made to stick into dirty water that makes it drinkable from any source; deep wells made for remote areas that feed from rainwater/hills/mountains,30,30
human,human_006,Metaphor,3,transparent,10,10
human,human_006,Design,3,every home to collect rainwater which is then collected and put into storage systems; cars that generate wind power and sold back to govenment; store methane from cow/other animals to turn into power,30,30
human,human_006,SCTT,3,do they have their own fuel rescource; how do they create light; what do they use as a food source; how many light years does it take to travel  to nearest planet; what kind of enviroment exists; native species,20,20
human,human_006,SCTT,1,could be volcanic actiivty in one lake; one lake might not be as deep; different altitudes; different vegetation in the water; one is moutain fed; one is bigger; one is more sheltered,25,25
human,human_006,SCTT,2,do you feel more human or robot like; do you want to be human; do you feel emotions; do you know what pain feels like; what would you want to be if you could be anything you wanted; do you understand different emotions and how they feel,20,20
human,human_006,SCTT,0,cloud cover; earth spining,15,15
human,human_006,Metaphor,6,twinkly,15,15
human,human_006,Story,0,i wrote to my pen pal on white bonded paper. i was overdue to write to her and i had to think of all the things that i needed to tell her about. many things had happened over the lase few weeks. i was excited to inform her of all of them.,15,15
human,human_006,Story,3,i looked into the mirror to see my face and how it suited my new hairstyle. i was a bit concerened as it was something very different to what i have ever tried before.  not only that i had also changed the colour of my hair too so there  was more to contend with. overall i decided that it would proabably take me a while to get used to it. too late now though as iv taken the plunge for the new syle.,15,15
human,human_006,SCTT,4,what kind of different language do they use thats unspoken; warning system; how to fill sound; how long have they lived this way,20,20
human,human_006,AUT,4,holding items in; glove puppet; mittens; strainers for liquid; fill with crinkly material for a pet toy; warmth for a hamster; duster; sling,25,25
human,human_006,Metaphor,1,marshmallow,20,20
human,human_006,Story,1,i lost the key to the office door. i had to inform my boss in order for him to give me a new key. he was not impressed thjat i was so careless. i informed him that it was a genuine acccident and i was deeply sorry.,15,15
human,human_006,Story,2,i had to cross over a bridge that was over a river to get to my deisgnation. i was a bit worried as it was very congested and i was concerened how long it would take me.  i was able to accomplish this without to much delay. i got to my destination a bit later than anticipate but without too much trouble.,10,10
human,human_006,Story,4,i went for a walk with my dog and i was on an old  path where i tripped and lost my shoe. i was so lucky that nobody was around as i went flying and ended up on the floor with the giggles. my dog looked at me in dispair and wondered if it was a new type of game i was playing. i ended up walking back home with a bit of a limp and one very cold foot,25,25
human,human_007,AUT,2,stick for striking; rolling pin,20,20
human,human_007,AUT,0,computer monitor stand; door stopper; floor seat; step stool to reach something slightly out of reach; weight,25,25
human,human_007,AUT,1,flat edge for tracing lines with a pen or pencil,25,25
human,human_007,Design,2,convenient high speed train lines; more public trans,15,15
human,human_007,Design,0,an app designed specifically for people with memory impairments to remember important tasks by inputing the tasks with reminder notifications,20,20
human,human_007,Design,3,"solar panels above public spaces like parking lots, park shelters, etc.; solar panels on top of cars",30,30
human,human_007,AUT,4,glove; wrap it around a wound and tie it to use it as a bandage; sack for holding small items,30,30
human,human_007,Metaphor,0,a punch,20,20
human,human_007,Design,4,building wells; collecting rainwater; water transported from other places,20,20
human,human_007,AUT,3,hat; flip it upside down and use it as a step stool; flip it upside down and use it as a seat,20,20
human,human_007,Design,1,seat on the side that takes them up the stairs,20,20
human,human_007,SCTT,1,One of the lakes is larger than the other.; One lake has more warm bodied creatures living in it.; The colder lake is deeper than the other one,25,25
human,human_007,Metaphor,6,a lamp,10,10
human,human_007,Metaphor,8,pitch black,10,10
human,human_007,Metaphor,3,sparkling,10,10
human,human_007,SCTT,0,Is the nighttime ending?; What is the cause of the stars dissapearing?,10,10
human,human_007,Story,0,he sat down at his desk to write his story about his experiences at the olympics. a pen was used to write the story on paper. his experience at the olympics was eventful and had him winning a gold medal and a silver medal. he was proud of his achievements.,10,10
human,human_007,Story,1,"when i came back home one day from work, i realized i left my key inside the house before i left. i couldn't open the door and no one was home to open it for me. i ended being stranded outside for an hour until my wife came back home. finally, i was able to enter my house.",15,15
human,human_007,SCTT,2,What human emotions is the robot able to feel?,20,20
human,human_007,Metaphor,1,skin,20,20
human,human_007,Story,2,"i was walking outside one day and i encountered a tall bridge over a river. i needed to get to the other side of the bridge, so i crossed it. the walk along the bridge was scenic and there was a very nice view of the river. the walk was aslo quite long.",10,10
human,human_008,AUT,0,as a puzzle; as a way to take out frustation smashing up bricks; to make a ladder or stepping stones,25,25
human,human_007,Story,3,i woke up in the morning and headed to the bathroom. i usually look at my face in the mirror to see my appearance. i washed my face with water and put some water on my head to style my hair. i made sure i look presentable before heading out.,10,10
human,human_008,AUT,1,as a dart for a dartboard; to stir up paint; to score wallpaper; to reflect h,25,25
human,human_008,AUT,2,"As a hair curler; As a dart for a dart board; to roll salami, chorizo and ham etc into small rolls; as a temporary hair pin",30,30
human,human_007,Story,4,there are a few shoe pairs to pick from near the door. i picked my running shoes to go outside for a walk. i usually walk down the same path but this time i chose a different one instead. switching things up makes life more fun.,15,15
human,human_008,Design,1,Have voice controlled speakers that are sensored telling the person to move their left leg forward to the next step etc; hand rails that beep on a motion sensor letting you know the edge of the step is near and 3 beeps for being too close to the edge of the step; Have double hand rails each side incase they have to bend their backs legs more; stairlifts that are quicker,30,30
human,human_007,SCTT,4,In what ways do they communicate?; What sounds can they make verbally?; How do they cooperate with each other without verbal communication?,20,20
human,human_008,Design,0,"Photographs to help remind them; Visual clue boards to show them what needs doing ie chores; Large print list of numbers for who to call in an emergency; Wristband with their name, home address and medical info and emergency contact number; Games such as snap cards or apps designed just for such; Audio recordings to help them memories things such",25,25
human,human_007,SCTT,3,Is it inhabitable for humans?; What life is on this planet?; What resources does this planet have?,15,15
human,human_008,Design,2,"ban cars at school pick up times; reward drivers for driving less ie a free coffee at participating stores for every 10 hours of driving not done; Increase bike hire availabilty like OXford have done; Make more cycle lanes; Cheaper alternative public transport like buses; More park and ride options taking away traffic from busy town centres; Walking initivate schemes ie a book voucher for £5 for every 50,000 steps walked; a",30,30
human,human_008,Design,3,"Wind farms wind mills; Solar powered lights, torches, battery packs etc; reusing water like bath water to flush the chain; get rid of use by dates",20,20
human,human_008,AUT,3,washing facility like a bath tub or for clothes; to grow plants in; to store toys or soft teddies; as an umbrella holder so the floor doesn't get wet; as a dog toy basket for all their balls and toys; to use for a lucky dip at parties/fayres etc; to mix up large quantities of cake mixture for like large wedding cakes; as an umbrella to stop getting wet,25,25
human,human_008,Design,4,Natural water fountains with sieves to keep leaves etc out; free water filters for the less financed people; pipe cleaning more often to ensure water is cleaner; awareness of how to know water is not safe; water wells,25,25
human,human_008,Metaphor,0,enough to break the windows,10,10
human,human_008,AUT,4,puppets; tanning mitt; I fill a sock with porridge oats to help my psoriasis in the bath; as gloves; to hide money in who would expect money to be in a sock?,35,35
human,human_008,Metaphor,3,a reflection of oneself,20,20
human,human_008,Metaphor,1,her weeping spot,35,35
human,human_008,Metaphor,6,proof that there is the end of a tunnel,25,25
human,human_008,Metaphor,8,a spir,10,10
human,human_008,SCTT,1,whatever lives in the water; more trees/bushes near one lake; how deep the lakes are; how wide the lakes are; if there is rubbish in the lakes; if any of the lakes have diseases; becausde wildflife,20,20
human,human_008,SCTT,0,clouds; light pollution; the moon moving; aliens crashing into them wiping them out; the stars falling and leaving no evidence by the time they reach earths ground; the end of the world is coming; God pressed the reset button; the biggest tornado swalloed them,20,20
human,human_008,Story,1,"when one door closes, another door opens he read in the art gallery, it got him reminscing to when he was a child. he had fond memories of visiting his maternal grandparents in france, the country his mother was born in. he would excitedly look forward to every summer when he and his siblings along with their parents would stay for 6 whole weeks in the summer, he wondered if this time out of the 200 keys on a bunch of keys if he would ever find the key that would open the door to his grandads ol",20,20
human,human_008,SCTT,4,Draw pictures and get them communicating that way?; how do they live? wWhat food do they live off?,15,15
human,human_008,SCTT,2,How was you made; What materials are you made from; What planet are you from?; What is your life expectancy?; Do you have emotions; Can you have children?; Can you reproduce; Can you mend yourself; Can you mind read; Can you time travel,20,20
human,human_008,SCTT,3,How long has it existed?; Was there ever life on this planet?; Do you have a secret portal; What is needced to survive to live there; Is there water on the planet; Do plants grow okay there?; Does it have its own space station; What materials are found there?; CaN HUMAN LIFE LIVE THERE?; Is it safe to livr there,15,15
human,human_009,AUT,0,Weapon; Exercise weight; stepping stool; chalk; shoes,20,20
human,human_008,Story,3,"the white witch of purley was a sad old local story. believed to have been ditched by her husband at the alter, she painted her face white and refused to live in the house she once shared with her future husband to be. local children would torment the poor old lady with cruel remarks and much name calling, for what they could see was to them a scary face, what they failed to see was a heartbroken lost soul. the white witch of purley was sadly found deceased in the back garden of the property she",25,25
human,human_008,Story,4,"it was the start of the new year and many had resolutions they wanted to achieve this year, some wanted to eat more healthier, some wanted to quit smoking, and some wanted to achieve passing their driving test, each person on a different path of life, but each with their own goal. marys resolution was to stop being so kind, she had a tendancy to be kind and caring, always putting the shoe on the other foot, imaginging herself in the eyes of others. when they asked mary what her resolution was th",20,20
human,human_008,Story,2,"in church right at the centre lay a big old wooden cross carved with the face of jesus, it had been in the church for as long as she could recall, but something was bugging her this time as she sat in the aisle waiting for sunday mass to begin. daydreaming away, she smiled as she thought of the river walk she was due to go on after the church services, then she remembered, on the bridge that she crossed so many times, there was a particular pattern that caiught her eye, looking back to the cross",20,20
human,human_009,AUT,2,Knife like weapon.; chopsticks for eating.; hole puncher; fidget spinner; hair tie,25,25
human,human_008,Story,0,"the girl sat at her desk and visaluased the years of memories spent there, she looked at the ink pen stains that marked the desk over the years. she wondered what her last writing piece was, she tried to memorise the last thing she wrote as she cleared out her old room at her parents house. she looked around the room and found scraps of paper stuck onto the bright pink walls that was her home for many years, her favourite song lyrics, her favourite quotes, scribbled autographs from celebrities s",20,20
human,human_009,AUT,1,Arm splint; cutting hair; stick it in the ground to serve as a marker or reminder,25,25
human,human_009,AUT,3,hat; aquarium; bathtub; sand castle builder; stepping stool; chair,20,20
human,human_009,Design,0,Computer chips like neural link that can improve memory.; Artificial intelligence that is wearable that can remember everything for the person.; nutritional diets tailored specifically for brain health.,25,25
human,human_009,Design,1,Robotic legs that can be used to go up the stairs for the person.; Robotic chairs that the person can sit on and automatically be carried up the stairs.; Autonomous robots that can carry people up and down stairs.; Moving stairs like an escalator.,25,25
human,human_009,Design,3,Give tax breaks for renewable energy sources; Pay people money back for using the sources.; Make the renewable energy sources mandatory and phase out other sources.; Create a department that installs the renewable sources for free.,25,25
human,human_009,Design,2,AI driven cars that are all connected to the same network so they never get into any congestion.; extra lanes; tunnels that people can use to drive under traffic.; mini bridges people can use to drive over traffic; flying cars to fly over traffic.; toll roads,25,25
human,human_009,Metaphor,0,like a giant punching me in the face.,30,30
human,human_009,Metaphor,3,Like an invisible wall.,20,20
human,human_009,AUT,4,Mittens; Headband; Sweatband; rope; hand cuffs; wrist brace; ankle brace,20,20
human,human_009,Metaphor,8,Like a calming song.,20,20
human,human_009,Metaphor,1,like a giant marshmallow.,20,20
human,human_009,Metaphor,6,The sun was in my room.,15,15
human,human_009,SCTT,2,"Is it able to learn a game without anyone telling it how to play?; Is it able to describe emotions in a way that a person would?; Given the opportunity, will it cheat and break rules if it thinks it won't get caught?; Does it fear being turned off?; Does it prioritize its own safety over that of humans?",30,30
human,human_009,Story,0,"one day tommy came home from school and he saw a box on his desk. he opened the box and found a pen. he grabbed a piece of paper and wrote the word money on a piece of paper. suddenly, the paper turned into money. tommy used this power to help make the world a better place. when he grew old, he passed the pen onto his son.",20,20
human,human_009,SCTT,3,What is the air made of?; Is there oxygen on this planet?; Are there any forms of life on this planet?; Is there water on this planet?; How far is the planet from the sun?; What is the orbit of this planet?; What is gravity like on this planet?,20,20
human,human_009,SCTT,0,The stars died a long time ago and their light is finally going out.; There is an increase of pollution in the sky; There are a lot of clouds blocking the stars.; There is something wrong with my vision.,20,20
human,human_009,Design,4,Portable water filters; infared lights that can kill microbes in the water.; Quantum warp holes that can transport water immediately from one area to another; self driving vehicles that constantly deliver clean water,25,25
human,human_009,SCTT,1,There are more fish in the lake which generates more energy which makes the lake warmer.; There is less water in the lake and so it can get warm faster than the other lake.; There is more pollution in the lake and this is make it warmer.; There were people recently in the lake and their body heat made it warmer.; \,25,25
human,human_009,SCTT,4,How long have the people been here?; Why do they not communicate verbally?; what type of communication do they use?; What type of food do they eat?; What type of political system do they have?; What types of diseases do they struggle with?,20,20
human,human_009,Story,1,"an adventurer spent their entire life trying to find a magic key. it was said that this key would open the lock to happiness. finally the adventurer found the key, but could never figure out where the lock was to use it. one day, the adventurer's daughter took the key and put it in their house door. she turned it, and the adventurer realized it unlocked the door to his own home.",35,35
human,human_009,Story,3,a young girl was afraid to look in the mirror. she had been in an accident and the doctor's had to reconstruct her nose. her mother assured her it was fine and brought her to the bathroom mirror in her house. the girl opened her eyes and for the first time she could see her new nose. it was absolutely beautiful and the girl cried with tears of joy.,20,20
